adashmoq             |блуждать, заблудиться                                                                                                     |[sound:uz_adashmoq.mp3]
og'rimoq             |болеть, причинять боль                                                                                                    |[sound:uz_og'rimoq.mp3]
og'riq               |боль                                                                                                                      |[sound:uz_og'riq.mp3]
og'zaki              |устный                                                                                                                    |[sound:uz_og'zaki.mp3]
osh                  |1. плов [см. palov] <br> 2. горячая пища                                                                                  |[sound:uz_osh.mp3]
oshmoq               |возрастать, повышаться, умножаться                                                                                        |[sound:uz_oshmoq.mp3]
oshna                |приятель, друг, знакомый                                                                                                  |[sound:uz_oshna.mp3]
oshpaz               |повар, кулинар                                                                                                            |[sound:uz_oshpaz.mp3]
oshqozon             |желудок                                                                                                                   |[sound:uz_oshqozon.mp3]
och                  |голодный                                                                                                                  |[sound:uz_och.mp3]
ochiq                |1. открытый, раскрытый <br> 2. ясный                                                                                      |[sound:uz_ochiq.mp3]
ochko'z              |жадный, алчный                                                                                                            |[sound:uz_ochko'z.mp3]
ochlik               |голод, голодовка                                                                                                          |[sound:uz_ochlik.mp3]
ochmoq               |открывать, открыть                                                                                                        |[sound:uz_ochmoq.mp3]
pahlavon             |богатырь, атлет, борец; силач                                                                                             |[sound:uz_pahlavon.mp3]
pakana               |1. малорослый, низкорослый <br> 2. карлик                                                                                 |[sound:uz_pakana.mp3]
palak                |плеть [дыни, арбуза]                                                                                                      |[sound:uz_palak.mp3]
pana                 |прикрытие, укрытие                                                                                                        |[sound:uz_pana.mp3]
panja                |кисть руки, пятерня                                                                                                       |[sound:uz_panja.mp3]
panjara              |ограда, решётка                                                                                                           |[sound:uz_panjara.mp3]
paqir                |ведро [см. chelak]                                                                                                        |[sound:uz_paqir.mp3]
par                  |пух, перо                                                                                                                 |[sound:uz_par.mp3]
parda                |занавес; занавеска, портьера, штора                                                                                       |[sound:uz_parda.mp3]
parranda             |птица                                                                                                                     |[sound:uz_parranda.mp3]
parvarish qilmoq     |ухаживать                                                                                                                 |[sound:uz_parvarish_qilmoq.mp3]
parcha               |кусок, кусочек                                                                                                            |[sound:uz_parcha.mp3]
past                 |низкий, невысокий                                                                                                         |[sound:uz_past.mp3]
pastki               |нижний                                                                                                                    |[sound:uz_pastki.mp3]
pastlamoq            |понижаться, снижаться                                                                                                     |[sound:uz_pastlamoq.mp3]
pat                  |перо [птичье]                                                                                                             |[sound:uz_pat.mp3]
paxta                |1. хлопок, хлопчатник <br> 2. хлопок, вата                                                                                |[sound:uz_paxta.mp3]
paxtakor             |хлопкороб                                                                                                                 |[sound:uz_paxtakor.mp3]
paydo bo'lmoq        |появляться, возникать                                                                                                     |[sound:uz_paydo_bo'lmoq.mp3]
paypoq               |носки, чулки                                                                                                              |[sound:uz_paypoq.mp3]
payt                 |время, пора                                                                                                               |[sound:uz_payt.mp3]
payshanba            |четверг                                                                                                                   |[sound:uz_payshanba.mp3]
pashsha              |муха                                                                                                                      |[sound:uz_pashsha.mp3]
pachaq               |побитый, измятый, раздавленный                                                                                            |[sound:uz_pachaq.mp3]
pachaqlamoq          |измять, помять, раздавить                                                                                                 |[sound:uz_pachaqlamoq.mp3]
peshana              |лоб                                                                                                                       |[sound:uz_peshana.mp3]
peshin               |полдень [см. tush]                                                                                                        |[sound:uz_peshin.mp3]
pilla                |кокон, коконы                                                                                                             |[sound:uz_pilla.mp3]
pillachi             |шелковод                                                                                                                  |[sound:uz_pillachi.mp3]
piyoda               |1. пеший, пешеход <br> 2. пешка                                                                                           |[sound:uz_piyoda.mp3]
piyoz                |лук                                                                                                                       |[sound:uz_piyoz.mp3]
pishirmoq            |варить [сварить], жарить [пожарить], печь [испечь]                                                                        |[sound:uz_pishirmoq.mp3]
pishloq              |сыр                                                                                                                       |[sound:uz_pishloq.mp3]
pishmoq              |1. вариться [кушанье]; жариться <br> 2. зреть, созревать, спеть, поспевать                                                |[sound:uz_pishmoq.mp3]
pichan               |сено                                                                                                                      |[sound:uz_pichan.mp3]
pichirlamoq          |шептать, прошептать, нашёптывать                                                                                          |[sound:uz_pichirlamoq.mp3]
pichoq               |нож                                                                                                                       |[sound:uz_pichoq.mp3]
poda                 |стадо                                                                                                                     |[sound:uz_poda.mp3]
podsho               |царь                                                                                                                      |[sound:uz_podsho.mp3]
polvon               |силач, борец, богатырь                                                                                                    |[sound:uz_polvon.mp3]
portlamoq            |взрываться, разрываться                                                                                                   |[sound:uz_portlamoq.mp3]
posbon               |страж                                                                                                                     |[sound:uz_posbon.mp3]
poyabzal             |обувь                                                                                                                     |[sound:uz_poyabzal.mp3]
poyga                |бега, скачки; пробег                                                                                                      |[sound:uz_poyga.mp3]
poygachi             |участник скачек или пробега                                                                                               |[sound:uz_poygachi.mp3]
poylamoq             |ждать, выжидать, поджидать [см. kutmoq]                                                                                   |[sound:uz_poylamoq.mp3]
poytaxt              |столица                                                                                                                   |[sound:uz_poytaxt.mp3]
poshna               |каблук                                                                                                                    |[sound:uz_poshna.mp3]
pufak                |пузырь, резиновый шар                                                                                                     |[sound:uz_pufak.mp3]
pufakcha             |пузырёк                                                                                                                   |[sound:uz_pufakcha.mp3]
puflamoq             |дуть                                                                                                                      |[sound:uz_puflamoq.mp3]
pul                  |деньги                                                                                                                    |[sound:uz_pul.mp3]
puchuq               |курносый                                                                                                                  |[sound:uz_puchuq.mp3]
po'st                |кожица, шкурка; кожура, корка                                                                                             |[sound:uz_po'st.mp3]
po'stloq             |кора, корьё                                                                                                               |[sound:uz_po'stloq.mp3]
po'choq              |кожура, скорлупа, кожица, шелуха                                                                                          |[sound:uz_po'choq.mp3]
qabr                 |могила                                                                                                                    |[sound:uz_qabr.mp3]
qabriston            |кладбище                                                                                                                  |[sound:uz_qabriston.mp3]
qadam                |шаг, поступь                                                                                                              |[sound:uz_qadam.mp3]
qadamoq              |вонзать; застёгивать, пришивать                                                                                           |[sound:uz_qadamoq.mp3]
qafas                |клетка                                                                                                                    |[sound:uz_qafas.mp3]
qalam                |карандаш                                                                                                                  |[sound:uz_qalam.mp3]
qaldirg'och          |ласточка                                                                                                                  |[sound:uz_qaldirg'och.mp3]
qalin                |1. толстый <br> 2. плотный <br> 3. густой <br> 4. обильный, густой                                                        |[sound:uz_qalin.mp3]
qalpoq               |шапка                                                                                                                     |[sound:uz_qalpoq.mp3]
qaltiramoq           |дрожать, трепетать, трястись                                                                                              |[sound:uz_qaltiramoq.mp3]
qand                 |кусковой сахар                                                                                                            |[sound:uz_qand.mp3]
qanday               |как, какой, каков                                                                                                         |[sound:uz_qanday.mp3]
qani                 |где                                                                                                                       |[sound:uz_qani.mp3]
qanot                |крыло, крылья                                                                                                             |[sound:uz_qanot.mp3]
qancha               |сколько                                                                                                                   |[sound:uz_qancha.mp3]
qaramoq              |смотреть, глядеть                                                                                                         |[sound:uz_qaramoq.mp3]
qarash               |взгляд                                                                                                                    |[sound:uz_qarash.mp3]
qari                 |старый, старик, старец                                                                                                    |[sound:uz_qari.mp3]
qarimoq              |стареть, стариться                                                                                                        |[sound:uz_qarimoq.mp3]
qarindosh            |родственник, родня                                                                                                        |[sound:uz_qarindosh.mp3]
qariya               |старик                                                                                                                    |[sound:uz_qariya.mp3]
qarich               |пядь                                                                                                                      |[sound:uz_qarich.mp3]
qarmoq               |удочка                                                                                                                    |[sound:uz_qarmoq.mp3]
qarsak               |хлопок [аплодисменты]                                                                                                     |[sound:uz_qarsak.mp3]
qarz                 |долг, задолженность                                                                                                       |[sound:uz_qarz.mp3]
qarg'a               |ворона                                                                                                                    |[sound:uz_qarg'a.mp3]
qatiq                |кислое молоко                                                                                                             |[sound:uz_qatiq.mp3]
qatnashmoq           |принимать участие, участвовать, посещать                                                                                  |[sound:uz_qatnashmoq.mp3]
qator                |ряд                                                                                                                       |[sound:uz_qator.mp3]
qattiq               |твёрдый, крепкий, жесткий                                                                                                 |[sound:uz_qattiq.mp3]
qavat                |1. слой, пласт <br> 2. этаж                                                                                               |[sound:uz_qavat.mp3]
qayerga              |куда                                                                                                                      |[sound:uz_qayerga.mp3]
qayerda              |где                                                                                                                       |[sound:uz_qayerda.mp3]
qayerdan             |откуда                                                                                                                    |[sound:uz_qayerdan.mp3]
qayiq                |лодка                                                                                                                     |[sound:uz_qayiq.mp3]
qaymoq               |сливки, сметана                                                                                                           |[sound:uz_qaymoq.mp3]
qaynamoq             |кипеть                                                                                                                    |[sound:uz_qaynamoq.mp3]
qaynatma             |варёный                                                                                                                   |[sound:uz_qaynatma.mp3]
qaynoq               |1. горячий <br> 2. кипучий                                                                                                |[sound:uz_qaynoq.mp3]
qaysar               |упрямый                                                                                                                   |[sound:uz_qaysar.mp3]
qaysarlik            |упрямство                                                                                                                 |[sound:uz_qaysarlik.mp3]
qaysi                |какой, который                                                                                                            |[sound:uz_qaysi.mp3]
qaytmoq              |1. возвращаться <br> 2. отступать, отказываться                                                                           |[sound:uz_qaytmoq.mp3]
qashimoq             |чесать, почёсывать                                                                                                        |[sound:uz_qashimoq.mp3]
qachon               |когда                                                                                                                     |[sound:uz_qachon.mp3]
qidirmoq             |искать, разыскивать                                                                                                       |[sound:uz_qidirmoq.mp3]
qil                  |волос, волосок                                                                                                            |[sound:uz_qil.mp3]
qilich               |сабля, шпага, меч                                                                                                         |[sound:uz_qilich.mp3]
qilichbozlik         |фехтование, рубка                                                                                                         |[sound:uz_qilichbozlik.mp3]
qilmoq               |делать                                                                                                                    |[sound:uz_qilmoq.mp3]
qimirlamoq           |шевелиться, колебаться, качаться                                                                                          |[sound:uz_qimirlamoq.mp3]
qimmat               |дорогой                                                                                                                   |[sound:uz_qimmat.mp3]
qirq                 |сорок                                                                                                                     |[sound:uz_qirq.mp3]
qirqmoq              |резать, отрезать, срезать, подрезать                                                                                      |[sound:uz_qirqmoq.mp3]
qirg'ich             |тёрка                                                                                                                     |[sound:uz_qirg'ich.mp3]
qirg'oq              |берег [см. yoqa, bet]                                                                                                     |[sound:uz_qirg'oq.mp3]
qisqa                |короткий, краткий, сокращённый                                                                                            |[sound:uz_qisqa.mp3]
qisqarmoq            |укорачиваться, сокращаться                                                                                                |[sound:uz_qisqarmoq.mp3]
qitiqlamoq           |щекотать                                                                                                                  |[sound:uz_qitiqlamoq.mp3]
qiyin                |трудный, затруднительный, сложный                                                                                         |[sound:uz_qiyin.mp3]
qiyom                |варенье                                                                                                                   |[sound:uz_qiyom.mp3]
qiyshiq              |кривой, искревлённый косой                                                                                                |[sound:uz_qiyshiq.mp3]
qiz                  |девочка, девушка                                                                                                          |[sound:uz_qiz.mp3]
qizarmoq             |краснеть                                                                                                                  |[sound:uz_qizarmoq.mp3]
qizil                |красный                                                                                                                   |[sound:uz_qizil.mp3]
qiziq                |интересный, занимательный, забавный                                                                                       |[sound:uz_qiziq.mp3]
qiziqish             |интерес                                                                                                                   |[sound:uz_qiziqish.mp3]
qiziqmoq             |интересоваться, увлекаться                                                                                                |[sound:uz_qiziqmoq.mp3]
qizg'anchiq          |скупой, жадный                                                                                                            |[sound:uz_qizg'anchiq.mp3]
qish                 |зима                                                                                                                      |[sound:uz_qish.mp3]
qishki               |зимний                                                                                                                    |[sound:uz_qishki.mp3]
qishlamoq            |зимовать, проводить зиму [где-л.]                                                                                         |[sound:uz_qishlamoq.mp3]
qoida                |правило                                                                                                                   |[sound:uz_qoida.mp3]
qolmoq               |оставаться                                                                                                                |[sound:uz_qolmoq.mp3]
qoloq                |1. отстающий, неуспевающий <br> 2. отсталый, неразвитый                                                                   |[sound:uz_qoloq.mp3]
qon                  |кровь                                                                                                                     |[sound:uz_qon.mp3]
qonamoq              |кровоточить                                                                                                               |[sound:uz_qonamoq.mp3]
qop                  |мешок                                                                                                                     |[sound:uz_qop.mp3]
qoplamoq             |1. насыпать в мешки, набивать в мешки <br> 2. покрывать, охватывать, окружать со всех сторон                              |[sound:uz_qoplamoq.mp3]
qopqoq               |крышка                                                                                                                    |[sound:uz_qopqoq.mp3]
qor                  |снег                                                                                                                      |[sound:uz_qor.mp3]
qora                 |чёрный                                                                                                                    |[sound:uz_qora.mp3]
qoraymoq             |чернеть, темнеть                                                                                                          |[sound:uz_qoraymoq.mp3]
qorbobo              |Дед Мороз                                                                                                                 |[sound:uz_qorbobo.mp3]
qorin                |живот, пузо, брюхо                                                                                                        |[sound:uz_qorin.mp3]
qorong'i             |тёмный, мрачный; тьма, темнота                                                                                            |[sound:uz_qorong'i.mp3]
qorovul              |1. охранник, сторож <br> 2. дворник                                                                                       |[sound:uz_qorovul.mp3]
qorqiz               |снегурочка                                                                                                                |[sound:uz_qorqiz.mp3]
qovoq                |тыква                                                                                                                     |[sound:uz_qovoq.mp3]
qovun                |дыня                                                                                                                      |[sound:uz_qovun.mp3]
qovurma              |жареный                                                                                                                   |[sound:uz_qovurma.mp3]
qovurmoq             |жарить                                                                                                                    |[sound:uz_qovurmoq.mp3]
qovurg'a             |ребро                                                                                                                     |[sound:uz_qovurg'a.mp3]
qoyil qolmoq         |восхищаться                                                                                                               |[sound:uz_qoyil_qolmoq.mp3]
qozon                |котёл, казан                                                                                                              |[sound:uz_qozon.mp3]
qog'oz               |бумага                                                                                                                    |[sound:uz_qog'oz.mp3]
qosh                 |бровь, брови                                                                                                              |[sound:uz_qosh.mp3]
qoshiq               |ложка                                                                                                                     |[sound:uz_qoshiq.mp3]
qochmoq              |бежать, убегать                                                                                                           |[sound:uz_qochmoq.mp3]
quduq                |колодец                                                                                                                   |[sound:uz_quduq.mp3]
qulay                |удобный, благоприятный, подходящий                                                                                        |[sound:uz_qulay.mp3]
qulamoq              |падать, рухнуть; опрокидываться, сваливаться                                                                              |[sound:uz_qulamoq.mp3]
qulaylik             |удобство                                                                                                                  |[sound:uz_qulaylik.mp3]
qulf                 |1. замок <br> 2. запертый                                                                                                 |[sound:uz_qulf.mp3]
qulflamoq            |запиратьназамок, закрыватьназамок                                                                                         |[sound:uz_qulflamoq.mp3]
quloq                |ухо, уши                                                                                                                  |[sound:uz_quloq.mp3]
qum                  |песок                                                                                                                     |[sound:uz_qum.mp3]
qurbaqa              |лягушка                                                                                                                   |[sound:uz_qurbaqa.mp3]
qurilish             |строительство, стройка                                                                                                    |[sound:uz_qurilish.mp3]
qurimoq              |сохнуть, высыхать, засыхать                                                                                               |[sound:uz_qurimoq.mp3]
qurmoq               |строить, воздвигать, сооружать                                                                                            |[sound:uz_qurmoq.mp3]
qurt                 |гусеница, червь                                                                                                           |[sound:uz_qurt.mp3]
quruq                |сухой; засохший, высохший                                                                                                 |[sound:uz_quruq.mp3]
quruqlik             |суша                                                                                                                      |[sound:uz_quruqlik.mp3]
quruvchi             |строитель                                                                                                                 |[sound:uz_quruvchi.mp3]
qusmoq               |рвать [тошнить]                                                                                                           |[sound:uz_qusmoq.mp3]
qutqarmoq            |освобождать, спасать                                                                                                      |[sound:uz_qutqarmoq.mp3]
quvlamoq             |гоняться, гнаться                                                                                                         |[sound:uz_quvlamoq.mp3]
quvnoq               |весёлый, радостный                                                                                                        |[sound:uz_quvnoq.mp3]
quvonmoq             |радоваться, веселиться, [см. sevinmoq]                                                                                    |[sound:uz_quvonmoq.mp3]
quvonch              |радость, веселье [см. sevinch]                                                                                            |[sound:uz_quvonch.mp3]
quvur                |труба, металлическая труба                                                                                                |[sound:uz_quvur.mp3]
quvvat               |сила, мощь, энергия [см. kuch]                                                                                            |[sound:uz_quvvat.mp3]
quyon                |заяц, кролик                                                                                                              |[sound:uz_quyon.mp3]
quyosh               |солнце                                                                                                                    |[sound:uz_quyosh.mp3]
quymoq               |лить, вливать, наливать                                                                                                   |[sound:uz_quymoq.mp3]
quyoshli             |солнечный                                                                                                                 |[sound:uz_quyoshli.mp3]
quyuq                |густой                                                                                                                    |[sound:uz_quyuq.mp3]
qush                 |птица                                                                                                                     |[sound:uz_qush.mp3]
quchoqlamoq          |обнимать                                                                                                                  |[sound:uz_quchoqlamoq.mp3]
qo'l                 |рука, руки                                                                                                                |[sound:uz_qo'l.mp3]
qo'lqop              |перчатки, рукавицы                                                                                                        |[sound:uz_qo'lqop.mp3]
qo'ltiq              |подмышки                                                                                                                  |[sound:uz_qo'ltiq.mp3]
qo'nmoq              |садиться, опускаться                                                                                                      |[sound:uz_qo'nmoq.mp3]
qo'ng'iroq           |звонок, колокольчик                                                                                                       |[sound:uz_qo'ng'iroq.mp3]
qo'riqlamoq          |охранять                                                                                                                  |[sound:uz_qo'riqlamoq.mp3]
qo'rqmoq             |опасаться, пугаться, бояться                                                                                              |[sound:uz_qo'rqmoq.mp3]
qo'rqoq              |трусливый, пугливый, боязливый, трус                                                                                      |[sound:uz_qo'rqoq.mp3]
qo'y                 |овца, баран                                                                                                               |[sound:uz_qo'y.mp3]
qo'ymoq              |ставить, класть                                                                                                           |[sound:uz_qo'ymoq.mp3]
qo'zi(choq)          |ягнёнок                                                                                                                   |[sound:uz_qo'zi(choq).mp3]
qo'g'irchoq          |кукла                                                                                                                     |[sound:uz_qo'g'irchoq.mp3]
qo'shiq              |песня [см. ashula]                                                                                                        |[sound:uz_qo'shiq.mp3]
qo'shiqaytmoq        |петь                                                                                                                      |[sound:uz_qo'shiqaytmoq.mp3]
qo'shni              |сосед, соседка                                                                                                            |[sound:uz_qo'shni.mp3]
rahbar               |руководитель                                                                                                              |[sound:uz_rahbar.mp3]
rahmat               |благодарность, благодарю                                                                                                  |[sound:uz_rahmat.mp3]
rais                 |председатель                                                                                                              |[sound:uz_rais.mp3]
rang                 |1. краска <br> 2. цвет                                                                                                    |[sound:uz_rang.mp3]
raqam                |1. цифра <br> 2. номер                                                                                                    |[sound:uz_raqam.mp3]
raqqos               |танцор, плясун                                                                                                            |[sound:uz_raqqos.mp3]
raqqosa              |танцовщица, плясунья                                                                                                      |[sound:uz_raqqosa.mp3]
raqs                 |танец, пляска                                                                                                             |[sound:uz_raqs.mp3]
rasm                 |рисунок, изображение, картинка                                                                                            |[sound:uz_rasm.mp3]
rassom               |живописец, художник                                                                                                       |[sound:uz_rassom.mp3]
rayhon               |базилик                                                                                                                   |[sound:uz_rayhon.mp3]
reja                 |план                                                                                                                      |[sound:uz_reja.mp3]
rivoch               |ревень                                                                                                                    |[sound:uz_rivoch.mp3]
rohat                |1. удовольствие, наслаждение <br> 2. покой, спокойствие                                                                   |[sound:uz_rohat.mp3]
rohatlanmoq          |наслаждаться, получать удовольствие                                                                                       |[sound:uz_rohatlanmoq.mp3]
rost                 |1. правдивый, правильный, верный <br> 2. правда                                                                           |[sound:uz_rost.mp3]
rostdan              |в самом деле, действительно                                                                                               |[sound:uz_rostdan.mp3]
rozi                 |1. довольный <br> 2. согласный                                                                                            |[sound:uz_rozi.mp3]
rozilik              |согласие                                                                                                                  |[sound:uz_rozilik.mp3]
ruxsat               |разрешение, позволение                                                                                                    |[sound:uz_ruxsat.mp3]
ruxsat bermoq        |1. позволить, разрешать <br> 2. отпускать                                                                                 |[sound:uz_ruxsat_bermoq.mp3]
ruxsatsiz            |без разрешения                                                                                                            |[sound:uz_ruxsatsiz.mp3]
ro'mol               |платок                                                                                                                    |[sound:uz_ro'mol.mp3]
ro'yxat              |список, перечень                                                                                                          |[sound:uz_ro'yxat.mp3]
sabab                |причина                                                                                                                   |[sound:uz_sabab.mp3]
sababli              |1. имеющий причину <br> 2. по причине, вследствие того, что                                                               |[sound:uz_sababli.mp3]
sababsiz             |1. беспричинный <br> 2. беспричинно                                                                                       |[sound:uz_sababsiz.mp3]
sabr                 |терпение                                                                                                                  |[sound:uz_sabr.mp3]
sabr qilmoq          |терпеть, проявлять, терпение, терпеливо ждать                                                                             |[sound:uz_sabr_qilmoq.mp3]
sabzavot             |овощи                                                                                                                     |[sound:uz_sabzavot.mp3]
sabzi                |морковь                                                                                                                   |[sound:uz_sabzi.mp3]
saf                  |1. ряд, шеренга, ряды <br> 2. строй                                                                                       |[sound:uz_saf.mp3]
saflamoq             |строить, выстраивать в ряды                                                                                               |[sound:uz_saflamoq.mp3]
sahar                |раннее утро                                                                                                               |[sound:uz_sahar.mp3]
