der Mann ist hoch|the man is high
spontan handeln|to act spontaneously
dorthin gehen|to go there
ein Frühstück zubereiten|to prepare breakfast
auf den Berg klettern|to climb the mountain
im Mittelpunkt stehen|to be the center of attention
eine Freude bereiten|to give joy
die Entstehung des Lebens|the origin of life
konservative Werte|conservative values
einen vollen Magen|a full stomach
psychische Probleme|psychological problems
Salz hinzufügen|to add salt
siebzig Jahre alt|seventy years old
ein Auto versichern|to insure a car
ein Brite spricht|a Brit speaks
leicht erkennbar|easily recognizable
ein Mann namens|a man called
die Achse drehen|to turn the axle
an der Tür klingeln|to ring the doorbell
Daten speichern|to store data
einen Tee trinken|to drink tea
ein Zeuge berichten|a witness reports
hoher Aufwand|high effort
gute Kooperation|good cooperation
ein Kritiker schreiben|a critic writes
durch das Tal|through the valley
derartige Probleme|such problems
die Erste sein|to be the first
vielfach nützlich|multiple uses
einen Brief empfangen|to receive a letter
gesunde Ernährung|healthy diet
an der Küste|at the coast
mit Freunden mitkommen|to come with friends
eine Republik gründen|to found a republic
mit den Schultern zucken|to shrug shoulders
sich einer Gruppe anschließen|to join a group
eine Idee austauschen|to exchange an idea
das Tempo beschleunigen|to accelerate the speed
nach der Norm|according to the norm
eine Person anstellen|to hire a person
den Tisch decken|to set the table
eine grobe Schätzung|a rough estimate
lauter Protest|loud protest
eine Tour planen|to plan a trip
den Überblick behalten|to keep the overview
ein Geschäftsführer leiten|a manager leads
den Griff festhalten|to hold the handle
jemanden küssen|to kiss someone
ein Liter Wasser|a liter of water
das Subjekt analysieren|to analyze the subject
ein Außenminister spricht|a foreign minister speaks
eine Faser spüren|to feel a fiber
einen Schatz finden|to find a treasure
sekundäre Bedeutung|secondary importance
die Zentralbank regulieren|to regulate the central bank
alte Gebäude|old buildings
ein Angestellter spricht|an employee speaks
dankbar sein|to be grateful
etwas faszinieren|to fascinate something
im Flur stehen|to stand in the corridor
ein Hemd bügeln|to iron a shirt
inhaltliche Fehler|content errors
eine gute Begründung|a good justification
dreimal täglich|three times a day
momentan verfügbar|currently available
nicht zögern|not to hesitate
derart schnell|so fast
kreative Ideen|creative ideas
in eine Wohnung einziehen|to move into an apartment
das Ausmaß messen|to measure the extent
ein gefährlicher Feind|a dangerous enemy
Holz verbrennen|to burn wood
der Vorstand treffen|to meet the board
tiefer Atem|deep breath
große Distanz|large distance
ein Händler verkaufen|a trader sells
jemanden hassen|to hate someone
ein schönes Muster|a beautiful pattern
eine ausführliche Erklärung|a detailed explanation
alle Aspekte bedenken|to consider all aspects
politischer Terror|political terror
eine neue Verfassung|a new constitution
blind sein|to be blind
schnell einschlafen|to fall asleep quickly
die Flüchtlingskrise bewältigen|to cope with the refugee crisis
großer Ärger|great annoyance
allmählich verbessern|to improve gradually
ein Führer spricht|a leader speaks
Vitamin C nehmen|to take vitamin C
Abschied nehmen|to say goodbye
ein großer Hafen|a large harbor
die Niere spenden|to donate a kidney
ein Bild abbilden|to portray a picture
einen Rezeptor aktivieren|to activate a receptor
eine Firma etablieren|to establish a company
ein Messer schärfen|to sharpen a knife
teils sonnig|partly sunny
nach Brasilien reisen|to travel to Brazil
eine Chance ergreifen|to seize an opportunity
das Grundgesetz verstehen|to understand the basic law
die Herkunft klären|to clarify the origin
hinausgehen in den Garten|to go out into the garden
eine Katastrophe verhindern|to prevent a catastrophe
sich an die Wand lehnen|to lean against the wall
jemanden beraten|to advise someone
bürgerliche Rechte|civil rights
ein tolles Erlebnis|a great experience
kurz nachher|shortly afterwards
zum nächsten Thema übergehen|to pass to the next topic
große Wut|great rage
zum Streik aufrufen|to call for a strike
quer durch die Stadt|across the city
der Kapitän spricht|the captain speaks
mit der Situation zusammenhängen|to be connected with the situation
ein Ausländer fragen|to ask a foreigner
eine Beschäftigte informieren|to inform an employee
die Bundesliga verfolgen|to follow the national division
sich nähern|to approach
übel riechen|to smell bad
am Ufer sitzen|to sit on the shore
hohe Dichte|high density
ehe er geht|before he goes
hohe Strahlung|high radiation
ein gefährliches Virus|a dangerous virus
der fünfte Kontinent|the fifth continent
ein Milligramm wiegen|to weigh a milligram
schwedische Möbel|Swedish furniture
fließend Schwedisch sprechen|to speak Swedish fluently
sexuelle Belästigung|sexual harassment
hierher kommen|to come here
ironisch antworten|to answer ironically
ein Sprung machen|to make a jump
vorerst warten|to wait for the present
experimentelle Methoden|experimental methods
kühles Wasser|cool water
ein berühmter Maler|a famous painter
die Opposition kritisieren|to criticize the opposition
im großen Saal|in the large hall
syrische Flüchtlinge|Syrian refugees
wichtige Grundsätze|important principles
ein Kind loben|to praise a child
die Zustimmung geben|to give approval
eine böse Absicht|a bad intention
eine neue Adresse|a new address
einen starken Akzent|a strong accent
den Vertrag verlängern|to extend the contract
gesunde Nahrung|healthy food
niederländische Sprache|Dutch language
Niederländisch lernen|to learn Dutch
ein großer Planet|a large planet
Stress abbauen|to reduce stress
vermeintlich unschuldig|supposedly innocent
gut zusammenarbeiten|to cooperate well
einen Parameter ändern|to change a parameter
ein steiler Anstieg|a steep climb
ein europäischer Bürger|a European citizen
heimisch fühlen|to feel at home
interkulturelle Beziehungen|intercultural relations
die Stille genießen|to enjoy the silence
auf den Bildschirm schauen|to look at the screen
jemanden erwischen|to catch someone
ein Proton entdecken|to discover a proton
ein Schweizer spricht|a Swiss person speaks
unheimlich stark|incredibly strong
magnetische Felder|magnetic fields
einen Fehler versehen|to make a mistake
aktive Beteiligung|active participation
im Frühjahr|in the spring
einen Hut tragen|to wear a hat
auf der Hut sein|to be on guard
ein Medium nutzen|to use a medium
eine Verpflichtung eingehen|to commit to an obligation
die Abteilung wechseln|to change the department
alternativ denken|to think alternatively
um Mittag essen|to eat at noon
sich mit einem Thema befassen|to deal with a topic
das Finale gewinnen|to win the final
Hilfe gewähren|to grant help
vor Gericht aussagen|to testify in court
eine Tendenz erkennen|to recognize a trend
einen Terrorist fassen|to catch a terrorist
jemals gesehen|ever seen
der Opa erzählt|the grandpa tells
arbeitslos sein|to be unemployed
eine Auswertung machen|to conduct an evaluation
frisches Gras|fresh grass
logische Schlussfolgerung|logical conclusion
den Nachfolger bestimmen|to determine the successor
an der Situation verzweifeln|to despair over the situation
eine Herausforderung bewältigen|to overcome a challenge
eine Emotion zeigen|to show an emotion
gegen Armut kämpfen|to fight poverty
nach Australien reisen|to travel to Australia
ständig klagen|to constantly complain
schade, dass|it's a pity that
eine Scheibe Brot|a slice of bread
im Hotel verbleiben|to stay in the hotel
ein Widerspruch erkennen|to recognize a contradiction
vor der Tür dastehen|to stand in front of the door
nervös sprechen|to speak nervously
ein Land regieren|to govern a country
ein Regisseur filmen|a director films
süße Früchte|sweet fruits
eine große Villa|a large villa
weh tun|to hurt
einen Mitarbeiter entlassen|to dismiss an employee
die Pressekonferenz|the press conference
womit anfangen|with what to start
über ein Thema abstimmen|to vote on a topic
ein fairer Handel|a fair trade
eine hervorragende Leistung|an outstanding performance
umfangreiche Kenntnisse|extensive knowledge
die EZB regulieren|to regulate the ECB
die Infrastruktur verbessern|to improve the infrastructure
ein starker Konkurrent|a strong competitor
eine lustige Party|a fun party
die Wellenlänge messen|to measure the wavelength
ein treuer Anhänger|a loyal supporter
betriebliche Vorschriften|operational regulations
die Finanzierung sichern|to secure the financing
hohe Inflation|high inflation
leise murmeln|to mumble quietly
eine Plattform bieten|to provide a platform
den Markt dominieren|to dominate the market
einen Fehler einräumen|to admit a mistake
die Wahrheit herausstellen|to emphasize the truth
modische Kleidung|fashionable clothes
ein Land vereinen|to unite a country
im Bundesrat abstimmen|to vote in the Bundesrat
den Vertrag abbrechen|to break the contract
die Aufklärung fördern|to promote enlightenment
gut auskommen|to get along well
denkbare Lösung|conceivable solution
einen Fernseher kaufen|to buy a television
ein Italiener sprechen|an Italian speaks
an Geld mangeln|to lack money
natürliche Schönheit|natural beauty
Daten verarbeiten|to process data
eine Entscheidung verkünden|to announce a decision
nach Dänemark reisen|to travel to Denmark
dazwischen sitzen|to sit between
in das Auto einsteigen|to get into the car
Tibet besuchen|to visit Tibet
eine Webseite erstellen|to create a website
einem Argument widersprechen|to contradict an argument
ein Hausbesitzer|a house owner
japanische Kultur|Japanese culture
Japanisch schreiben|to write Japanese
einen Freund ärgern|to annoy a friend
eine starke Persönlichkeit|a strong personality
militärische Truppen|military troops
eine ausdrückliche Warnung|an explicit warning
eine Einschätzung geben|to give an assessment
funktionelle Geräte|functional devices
ein festes Gewebe|a firm tissue
ein positives Resultat|a positive result
einen Verwandten besuchen|to visit a relative
eine Anordnung befolgen|to follow an order
früh aufwachen|to wake up early
an der Kasse zahlen|to pay at the checkout
hohe Schulden|high debt
im Hinblick auf|with regard to
eine schwere Last|a heavy burden
zu Hause entspannen|to relax at home
ein gemütliches Zuhause|a cozy home
eine einheitliche Regelung|a uniform regulation
fünfzehn Minuten|fifteen minutes
die Grenze überschreiten|to exceed the limit
die neueste Version|the latest version
eine lange Zunge|a long tongue
dänische Traditionen|Danish traditions
Dänisch verstehen|to understand Danish
eine Einladung erhalten|to receive an invitation
eine Vielzahl von Möglichkeiten|a multitude of options
ein guter Arbeitgeber|a good employer
in einer Höhle|in a cave
eine kleine Lücke|a small gap
mehrmals täglich|several times a day
eine subjektive Meinung|a subjective opinion
unangenehme Geräusche|unpleasant noises
ein Wirtschaftsforum besuchen|to attend an economic forum
eine wichtige Angelegenheit|an important matter
charakteristische Merkmale|characteristic features
hohe Einnahmen|high revenues
den Islam studieren|to study Islam
auf Fakten basieren|to be based on facts
Lebensmittel einkaufen|to shop for groceries
eine Daten eintragen|to enter data
einen Vortrag halten|to give a lecture
ein Zelt aufstellen|to set up a tent
eine Maschine zusammensetzen|to assemble a machine
sich bedanken|to thank
eine neue Brille|a new pair of glasses
eine Sammlung beginnen|to start a collection
die Tür verschließen|to lock the door
einen Entwurf machen|to make a sketch
seither unverändert|unchanged since then
etwas ansagen|to announce something
das Wachstum hemmen|to inhibit growth
hohe Intelligenz|high intelligence
senkrecht stehen|to stand vertical
auf etwas dringen|to insist on something
einen Migranten aufnehmen|to take in a migrant
ein Gericht probieren|to try a dish
ein Turnier gewinnen|to win a tournament
Zugang verschaffen|to provide access
die Volkswirtschaft studieren|to study national economy
ein Buch bearbeiten|to edit a book
flexible Arbeitszeiten|flexible working hours
hierfür geeignet|suitable for this
ein mobiles Gerät|a mobile device
ein Übersetzer spricht|a translator speaks
wodurch bedingt|caused by what
ein Angebot zusagen|to accept an offer
ein Buchstabe fehlen|a letter missing
viel jemandem verdanken|to owe much to someone
vierzig Jahre alt|forty years old
im Vordergrund stehen|to be in the foreground
ein visueller Reiz|a visual stimulus
gut verständlich|easily comprehensible
einen Wahlkampf führen|to run an election campaign
eine flüssige Form|a liquid form
starker Sturm|strong storm
ein aktiver Akteur|an active player
etwas entnehmen|to take something from
den Raum räumen|to clear the room
konsequent handeln|to act consistently
die Armut bekämpfen|to fight poverty
hoher Gehalt|high salary
der Gehalt des Buches|the contents of the book
indes arbeiten|to work meanwhile
ein treffendes Motto|an apt motto
die Philosophie lehren|to teach philosophy
ein Radio Sender|a radio station
ein Talent fördern|to promote a talent
extra bezahlen|to pay extra
einen Fleck entfernen|to remove a stain
Fleisch fressen|to eat meat
eine Klage einreichen|to file a complaint
anfangs schwer|difficult at first
eine gute Beratung|a good consultation
die Gestaltung planen|to plan the design
eine katholische Kirche|a Catholic church
merkwürdig verhalten|to behave strangely
den Tisch bedecken|to cover the table
eine Kuh melken|to milk a cow
Daten verknüpfen|to link data
vorsichtiges Vorgehen|cautious approach
drüben wohnen|to live over there
einen Feind erschießen|to shoot an enemy
ein Nutzer anmelden|to register a user
hohe Stabilität|high stability
den Lärm verringern|to reduce the noise
juristische Fragen|legal questions
eine peinliche Situation|an embarrassing situation
eine große Anstrengung|a great effort
die Verbrechen der Nationalsozialisten|the crimes of the Nazis
eine Tat rechtfertigen|to justify an act
ein berühmtes Zitat|a famous quote
klimatische Anpassung|climate adaptation
kaputte Möbel|broken furniture
die Menschheit retten|to save humanity
eine gute Note|a good grade
tief seufzen|to sigh deeply
große Achtung|great respect
die Rechnung ausgleichen|to balance the bill
ein erfahrener Pilot|an experienced pilot
eine Vereinbarung treffen|to make an agreement
den Weg aufbrechen|to leave the path
ein Labor einrichten|to set up a laboratory
eine Bedingung voraussetzen|to assume a condition
diverse Angebote|various offers
ein Höhepunkt erreichen|to reach a peak
auf der Wiese liegen|to lie on the meadow
Anerkennung finden|to find recognition
ein ausgeprägtes Talent|a distinct talent
auf der Autobahn|on the motorway
eine Formulierung wählen|to choose a formulation
unter Berücksichtigung|considering
dementsprechend handeln|to act accordingly
einen Schreck bekommen|to get a fright
Weihnachten feiern|to celebrate Christmas
eine gute Anschluss|a good connection
eine Lizenz entziehen|to revoke a license
die Reduktion der Kosten|the reduction of costs
ein Schwein schlachten|to slaughter a pig
ein historischer Komplex|a historical complex
sofern möglich|if possible
ein Ziel anstreben|to aim at a goal
ständig beklagen|to constantly complain
sich über einig werden|to agree on something
wahre Freundschaft|true friendship
eine kleine Hütte|a small hut
einen Mantel anziehen|to put on a coat
eine genaue Prognose|an accurate forecast
zugehörige Dokumente|corresponding documents
analytische Fähigkeiten|analytical skills
ein Anliegen vortragen|to present a request
ein lockeres Gespräch|a relaxed conversation
sonstige Kosten|other costs
Geduld abwarten|to wait patiently
ein bitteres Ende|a bitter end
permanente Lösung|permanent solution
ein internationales Abkommen|an international agreement
eine knappe Abstimmung|a close vote
guter Geschmack|good taste
nachfolgend genannt|subsequently called
dem Vortrag nachfolgen|to follow the lecture
sich nach vorne neigen|to lean forward
eine sichere Rente|a secure pension
ein Taxi rufen|to call a taxi
vorhin gesehen|seen a short time ago
eine kurze Zusammenfassung|a short summary
wissenschaftliche Disziplin|scientific discipline
der Aufstieg des Berges|the climb of the mountain
keinerlei Zweifel|no doubts at all
der Mond leuchten|the moon shines
professionelle Arbeit|professional work
ein neues Semester|a new semester
ein guter Gastgeber|a good host
hinein gehen|to go in
kinetische Energie|kinetic energy
ein langes Skript|a long script
ein Produkt vertreiben|to sell a product
leicht zugänglich|easily accessible
zurzeit verfügbar|available at the moment
plötzlich versterben|to pass away suddenly
Gefühle zurückhalten|to hold back feelings
eine Abweichung feststellen|to detect a deviation
einen Hut aufsetzen|to put on a hat
ein langweiliges Buch|a boring book
einem Hobby nachgehen|to pursue a hobby
eine schiefe Linie|a crooked line
eine rote Wange|a red cheek
der Weltmeister Champion|the world champion
weiter Horizont|wide horizon
hohe Intensität|high intensity
einen Fehler korrigieren|to correct a mistake
die Linke wählen|to vote for the Left Party
neunzig Prozent|ninety percent
ein berühmter Sänger|a famous singer
ein Symptom erkennen|to recognize a symptom
einig sein|to be agreed
eine Auffassung teilen|to share a point of view
herum gehen|to go around
ein wertvolles Kunstwerk|a valuable work of art
ein großes Ministerium|a large ministry
ein Österreicher spricht|an Austrian speaks
stellvertretend handeln|to act on behalf
den Ursprung finden|to find the origin
eine mündliche Prüfung|an oral exam
neugierig sein|to be curious
auf Tiere jagen|to hunt animals
eine sichtbare Schwäche|a visible weakness
ein großes Minus|a large deficit
das Eisen schmelzen|to melt the iron
aus dem Iran|from Iran
eine besondere Eigenschaft|a unique characteristic
viel Fett|a lot of fat
ein Auto lenken|to steer a car
vorbeikommen zu Besuch|to pass by for a visit
eine coole Idee|a cool idea
Papier kleben|to stick paper
gefühlte Unsicherheit|perceived uncertainty
alles beinhalten|to contain everything
aus dem Irak|from Iraq
eine virtuelle Welt|a virtual world
der erste Vorname|the first name
wissenschaftliche Zeitschrift|scientific journal
einen Plan absetzen|to drop a plan
ein Team anführen|to lead a team
eine Tatsache bestreiten|to dispute a fact
eine kontroverse These|a controversial thesis
ein Verbrechen begehen|to commit a crime
rechtlicher Besitz|legal possession
etliche Male|quite a few times
ein Gläubiger sein|to be a creditor
mitunter schwierig|occasionally difficult
auf Eis rutschen|to slide on ice
unzählige Sterne|countless stars
nützliches Zeug|useful stuff
eine Anfrage senden|to send a request
sich auswirken|to have an effect
eine effiziente Lösung|an efficient solution
einen Plan erarbeiten|to work out a plan
eine alte Platte|an old record
siehe unten|see below
glücklich verheiratet|happily married
vorübergehende Lösung|temporary solution
vorbeigehen|to pass by
einen Film angucken|to watch a movie
diskretes Gespräch|confidential conversation
erstaunliche Ergebnisse|astonishing results
ein Gymnasium besuchen|to attend a secondary school
völlig isoliert|completely isolated
der gesuchte Mörder|the wanted murderer
erwachsene Menschen|adult people
ökologische Produkte|organic products
problematische Situation|problematic situation
die Substitution vornehmen|to make a substitution
ein nützlicher Tipp|a useful tip
jemanden auffordern|to ask someone
auf einem Hügel|on a hill
der Kanton Zürich|the canton of Zurich
aus Sachsen|from Saxony
schwanger sein|to be pregnant
aktueller Status|current status
das richtige Stichwort|the right keyword
hohes Tempo|high speed
wunderschöne Blumen|wonderful flowers
jemanden grüßen|to greet someone
der Weltmeister im Fußball|the world champion in soccer
ein angenehmer Duft|a pleasant fragrance
Jahre hinweg|for years
Probleme aufzeigen|to point out problems
modern ausgestattet|modernly furnished
eine liebe Großmutter|a dear grandmother
tiefe Leidenschaft|deep passion
ein freier Parkplatz|a free parking place
eine Form schaffen|to create a form
ha ha|ha ha
Universitätsbibliothek nutzen|to use the university library
chemische Zusammensetzung|chemical composition
technische Ausführung|technical implementation
ein geheimes Treffen|a secret meeting
rechtzeitig ankommen|to arrive in time
anwesend sein|to be present
laut brüllen|to shout loudly
nasse Kleidung|wet clothes
der Quadratmeter|the square meter
hoher Turm|tall tower
eine Beschwerde einreichen|to file a complaint
ein gutes Gewissen|a good conscience
intelligentes Design|intelligent design
Geld stehlen|to steal money
Kinder betreuen|to take care of children
wirtschaftliche Rahmenbedingungen|economic prevailing conditions
einen Suizid verhindern|to prevent a suicide
benachbarte Länder|neighboring countries
explizite Anweisungen|explicit instructions
gegebenenfalls handeln|to act if necessary
hintere Tür|rear door
eine Schaukel schwingen|to swing a swing
großen Schmerz erleiden|to suffer great pain
hoher Export|high export
den Boden kehren|to sweep the floor
reiche Phantasie|rich imagination
ein schweres Verbrechen|a serious crime
die Aktivierung durchführen|to carry out the activation
ein Geschenk aussuchen|to choose a gift
tiefe Dunkelheit|deep darkness
jemanden hauen|to hit someone
ein großes Stadion|a large stadium
Übertragung live|live broadcast
Wasserstoff nutzen|to use hydrogen
schöner Anblick|beautiful sight
aus der Firma ausscheiden|to leave the company
Durchschnitt berechnen|to calculate the average
warmes Klima|warm climate
Bild vergrößern|to enlarge an image
interessante Grafik|interesting graphic
Großteil der Bevölkerung|majority of the population
hohe Motivation|high motivation
aktuelle Software|current software
die Leute versammeln|to gather the people
wach bleiben|to stay awake
großer Hass|great hatred
Arme strecken|to stretch arms
lange telefonieren|to call for a long time
viel ertragen|to bear a lot
weite Ferne|great distance
ein weites Gelände|a large site
ein Grundstück kaufen|to buy a plot of land
Wofür ist das?|What is this for?
jederzeit bereit|ready anytime
neutral bleiben|to stay neutral
hohe Qualität|high quality
feuchte Luft|damp air
lieber Großvater|dear grandfather
gesunde Lunge|healthy lung
mithilfe eines Freundes|with the aid of a friend
einen Text umwandeln|to convert a text
Baden-Württemberg genießen|to enjoy Baden-Württemberg
im Mittelalter|in the Middle Ages
große Sehnsucht|great longing
den Mantel ablegen|to take off the coat
furchtbarer Unfall|terrible accident
die Gründung feiern|to celebrate the foundation
ein Architekt planen|an architect plans
genau differenzieren|to differentiate accurately
die Sicherheit gewährleisten|to guarantee the safety
das Buch ins Regal|the book on the shelf
einen Rucksack tragen|to carry a backpack
sensibel reagieren|to react sensitively
große Vision|great vision
vordere Plätze|front seats
an der Börse|at the stock market
Orientierung verlieren|to lose orientation
in der Luft schweben|to float in the air
den Teller nehmen|to take the plate
Englisch unterrichten|to teach English
ein Studium absolvieren|to complete a degree
alle Faktoren einbeziehen|to include all factors
gesunde Fettsäuren|healthy fatty acids
ein herrlicher Tag|a marvelous day
die Sonne untergehen|to go down the sun
eine Einschränkung setzen|to set a restriction
einen Auftrag erteilen|to give an order
aus einem Land hervorgehen|to come from a country
wichtige Fakten ignorieren|to ignore important facts
dicker Stamm|thick trunk
eine Orange pressen|to press an orange
radioaktive Strahlung|radioactive radiation
unsicher fühlen|to feel uncertain
ein Wiedersehen feiern|to celebrate a reunion
die Freunde wiedersehen|to see friends again
heutiges Datum|today's date
ein netter Kellner|a nice waiter
eine Kiste tragen|to carry a box
Gäste unterbringen|to accommodate guests
ein großes Vermögen|a large fortune
immer fröhlich|always cheerful
ein altes Grab|an old grave
Schüler motivieren|to motivate students
quantitative Daten|quantitative data
Holz spalten|to split wood
ein großes Vorhaben|a large project
eine Einigung erzielen|to reach an agreement
ein heimliches Treffen|a secret meeting
ein giftiger Pilz|a poisonous mushroom
lange Route|long route
großer Supermarkt|large supermarket
ein Ausgang finden|to find an exit
einen Beschluss fassen|to make a decision
die Bundeswehr|the Armed Forces
ein netter Kerl|a nice guy
mechanische Teile|mechanical parts
eine Zahl verdoppeln|to double a number
Ausgleich schaffen|to create balance
symmetrische Form|symmetrical shape
jemanden anklagen|to accuse someone
körperliche Behinderung|physical handicap
ein wichtiges Dokument|an important document
über die Zukunft staunen|to be astonished about the future
die Varianz berechnen|to calculate the variance
Aufmerksamkeit zuwenden|to turn attention
eine Blume abschneiden|to cut off a flower
anscheinend richtig|apparently correct
eine friedliche Demonstration|a peaceful demonstration
die Linse reinigen|to clean the lens
polnische Küche|Polish cuisine
Polnisch lernen|to learn Polish
einen Posten besetzen|to occupy a position
Sport zuschauen|to watch sports
den Wind abhalten|to keep off the wind
verstopfte Arterie|clogged artery
eine Öffnung finden|to find an opening
eine Nachricht senden|to send a message
durch den Schnee gleiten|to glide through the snow
aus Norwegen|from Norway
ein Ereignis schildern|to describe an event
einen Schrank kaufen|to buy a cabinet
gegen Terrorismus kämpfen|to fight against terrorism
Wechselkurs berechnen|to calculate the exchange rate
eine Faust ballen|to clench a fist
aus dem Land flüchten|to flee from the country
Lebensmittel lagern|to store food
die Fakten übertreiben|to exaggerate the facts
die Veröffentlichung feiern|to celebrate the publication
einen Bescheid geben|to give a reply
eine Prüfung versagen|to fail an exam
der Innenminister spricht|the Minister of the Interior speaks
klinische Studie|clinical study
das Gewicht wiegen|to weigh the weight
ein medizinischer Eingriff|a medical intervention
indische Küche|Indian cuisine
Indisch unterrichten|to teach Indian
Psychologie studieren|to study psychology
die Digitalisierung fördern|to promote digitalization
neue Einsicht gewinnen|to gain new insight
ein nettes Fräulein|a nice young lady
eine rote Rose|a red rose
ein starker Rückgang|a sharp decline
den Verstand verwirren|to confuse the mind
aufeinander stapeln|to stack on top of each other
für Freiheit demonstrieren|to demonstrate for freedom
eine Maßnahme einleiten|to introduce a measure
ein Gebäude entwerfen|to design a building
Hunderte von Menschen|hundreds of people
menschlicher Leib|human body
ein objektiver Bericht|an objective report
dem Körper schaden|to damage the body
stumm bleiben|to remain silent
tja, das ist schade|well, that's a pity
ein hoher Zaun|a high fence
der richtige Empfänger|the right recipient
eine große Hochzeit|a big wedding
maßgeblicher Einfluss|significant influence
im ersten Quartal|in the first quarter
eine breite Spalte|a wide column
einen Zettel schreiben|to write a note
klare Abgrenzung|clear boundary
eine warme Jacke|a warm jacket
die Präferenz wählen|choose the preference
mit etwas übereinstimmen|agree with something
klare Unterscheidung treffen|make a clear distinction
die Dichtung lesen|read the poetry
eine Regel einhalten|observe a rule
den Sachverhalt klären|clarify the facts
sorgfältig prüfen|examine carefully
untereinander kommunizieren|communicate with each other
unterhalb der Oberfläche|below the surface
die Bedeutung verdeutlichen|clarify the meaning
hoher Ertrag|high yield
der Finanzminister ernennen|appoint the finance minister
am Vormittag arbeiten|work in the morning
achtzig Jahre alt|eighty years old
dynamische Entwicklung|dynamic development
die Gerechtigkeit fordern|demand justice
das Auto abstellen|park the car
illegale Droge|illegal drug
fettiges Essen|greasy food
mehr Energie verbrauchen|consume more energy
illegale Einwanderer ausweisen|to expel illegal immigrants
eine Straße biegen|turn a street
die Notwendigkeit sehen|see the necessity
in Reihenfolge bringen|put in order
im Park spazieren|stroll in the park
die Erlaubnis verweigern|to refuse permission
die Zahlung bestätigen|to confirm the payment
sachlich argumentieren|argue objectively
der Athlet trainiert|the athlete trains
in einen Apfel beißen|bite into an apple
harmonische Beziehung|harmonious relationship
in der Kneipe sitzen|sit in the pub
die Veranstaltung absagen|cancel the event
mit Begeisterung|with enthusiasm
fix und fertig|quick and ready
tropische Frucht|tropical fruit
Reise nach Kanada|trip to Canada
philosophische Theorie|philosophical theory
eine Übersicht erstellen|create an overview
Information weitergeben|pass on information
hoher Zinssatz|high interest rate
das Abitur machen|take the A levels
Reise nach Asien|trip to Asia
jemanden einlassen|let someone in
eine Geste machen|make a gesture
eine Vorgabe erfüllen|meet a guideline
die Abschreibung berechnen|calculate depreciation
abstrakte Kunst|abstract art
ästhetisches Design|aesthetic design
das Licht einschalten|switch on the light
klarer Klang|clear sound
sich qualifizieren|to qualify
alte Säule|old pillar
das Geschenk übergeben|hand over the gift
das Missverständnis aufklären|clarify the misunderstanding
ein Zimmer buchen|book a room
tiefe Depression|deep depression
den Vertrag kündigen|terminate the contract
strukturelle Analyse|structural analysis
eine Anzeige schalten|place an advertisement
chinesisches Essen|Chinese food
den Dieb festnehmen|arrest the thief
die Arbeit fortfahren|continue the work
realistische Einschätzung|realistic assessment
tödlicher Unfall|fatal accident
den Vertrag unterschreiben|sign the contract
den Täter verhaften|arrest the perpetrator
eine Bombe entschärfen|defuse a bomb
heutzutage üblich|common nowadays
extreme Hitze|extreme heat
kleine Kammer|small chamber
die Notizen machen|take notes
Solidarität zeigen|show solidarity
besorgt sein|be worried
ein Konto eröffnen|open an account
lauter Lärm|loud noise
eine Option wählen|choose an option
den Rechner benutzen|use the computer
ein Schild lesen|read a sign
eine Show sehen|watch a show
soziale Unruhe|social unrest
bequem sitzen|sit comfortably
Reise nach Hessen|trip to Hesse
Kinder in den Kindergarten bringen|bring children to kindergarten
ein Rätsel lösen|solve a puzzle
einen Song schreiben|write a song
soviel ich weiß|as far as I know
der Teufel im Detail|the devil in the detail
die Zielgruppe ansprechen|address the target group
einen Anzug tragen|wear a suit
an Grippe erkranken|fall ill with flu
die Herrschaft übernehmen|take over power
infolge der Krise|as a result of the crisis
nützliche Information|useful information
oberhalb der Grenze|above the limit
der Schein trügt|appearances are deceiving
die Details übersehen|to overlook the details
eine Bedrohung darstellen|pose a threat
hohe Bereitschaft|high willingness
Blutdruck messen|measure blood pressure
die Front überwachen|to monitor the front
physische Stärke|physical strength
ein Verbot verhängen|impose a ban
eine Verschiebung beantragen|request a postponement
zugrunde gehen|go to ruin
von der Norm abweichen|deviate from the norm
eine Empfehlung aussprechen|make a recommendation
gespannt zuhören|listen eagerly
die Sicherheit sicherstellen|ensure safety
stundenlang arbeiten|work for hours
einen Bericht verfassen|write a report
die Vermittlung übernehmen|take over the mediation
materieller Wohlstand|material wealth
der Felsen am Strand|rock on the beach
inklusive Frühstück|including breakfast
kognitive Fähigkeiten|cognitive abilities
seinerseits entscheiden|decide on his part
rechtlich zustehen|be legally entitled
auffällig verhalten|behave conspicuously
aus dem Gefängnis ausbrechen|break out of prison
eine CD abspielen|play a CD
die Durchführung planen|plan the execution
guter Humor|good humor
psychologische Beratung|psychological counseling
treuer Freund|faithful friend
strenge Erziehung|strict upbringing
einen Kommentar abgeben|leave a comment
wonach fragen|ask for what
Datenbank aktualisieren|update the database
eine Meldung erhalten|receive a report
der Premierminister spricht|the prime minister speaks
eine Zeichnung anfertigen|create a drawing
klug agieren|act wisely
einen Befehl erteilen|give an order
ein Christliches Symbol|a Christian symbol
hi sagen|say hi
ein Auto schleppen|tow a car
ein Treffer erzielen|score a goal
der Helfer kommt|the helper comes
der Vizepräsident spricht|the vice president speaks
die Haustür öffnen|open the front door
die Landesregierung beschließt|the state government decides
