|part_of_speech|word_de|word_pl_de|sentence_de|word_en|sentence_en
2165|der|der Bundestag||Der Bundestag debattierte stundenlang.|Bundestag|The Bundestag debated for hours.
2166|adj|literarisch||Sein Werk hat hohen literarischen Wert.|literary|His work has high literary value.
2167|das|das Bewusstsein||Das Bewusstsein kehrte zurück.|consciousness|Consciousness returned.
2168|die|die Stiftung||Die Stiftung fördert viele Projekte.|foundation, institute, donation|The foundation supports many projects.
2169|die|die Erhöhung||Die Erhöhung der Preise trifft alle.|increase|The increase in prices affects everyone.
2170|die|die GmbH||Die GmbH wurde 1995 gegründet.|limited liability company, Ltd|The Ltd was founded in 1995.
2171|adj|ungewöhnlich||Die Architektur ist sehr ungewöhnlich.|unusual|The architecture is very unusual.
2172|das|das Fest||Das Fest findet jährlich statt.|festival, celebration|The festival takes place annually.
2173|die|die Anforderung||Die Anforderung stellt hohe Ansprüche.|requirement, demand, standard|The requirement sets high standards.
2174|adj|männlich||Die männlichen Läufer waren schneller.|male|The male runners were faster.
2175|das|das Training||Das Training beginnt um acht Uhr.|training|The training starts at eight o'clock.
2176|verb|vorgehen, geht vor, ging vor, ist vorgegangen||Die Polizei ging mit Vorsicht vor.|to go on, go ahead, be fast, have priority|The police proceeded with caution.
2177|die|die Arbeitslosigkeit||Die Arbeitslosigkeit nahm drastisch zu.|unemployment|Unemployment increased drastically.
2178|das|das Brot||Das Brot ist frisch und knusprig.|bread|The bread is fresh and crispy.
2179|die|die Geburt||Die Geburt verlief ohne Probleme.|birth|The birth went smoothly.
2180|der|der Hunger||Der Hunger trieb ihn zum Bäcker.|hunger|Hunger drove him to the bakery.
2181|adj|jüdisch||Die jüdische Gemeinde feiert heute.|Jewish|The Jewish community is celebrating today.
2182|das|das Umfeld||Das Umfeld beeinflusst das Verhalten.|milieu, environment|The environment influences behavior.
2183|adv|allzu||Das ist allzu kompliziert für ihn.|overly|That is overly complicated for him.
2184|der|der Graf||Der Graf lebt auf einem großen Anwesen.|count, earl|The count lives on a large estate.
2185|das|Indien||Indien ist ein faszinierendes Land.|India|India is a fascinating country.
2186|verb|lohnen (sich), lohnt, lohnte, hat gelohnt||Es lohnt sich, das Buch zu lesen.|to be worth it|It is worth reading the book.
2187|adj|optisch||Die optische Illusion verwirrte viele.|optical, visual|The optical illusion confused many.
2188|adj|militärisch||Die militärische Strategie war brillant.|military|The military strategy was brilliant.
2189|die|die Mühe||Die Mühe hat sich wirklich gelohnt.|effort, trouble|The effort was truly worth it.
2190|verb|unterbrechen, unterbricht, unterbrach, hat unterbrochen||Er unterbrach das Gespräch höflich.|to interrupt|He politely interrupted the conversation.
2191|adj|grundlegend||Grundlegende Ideen waren entscheidend.|basic, fundamental|Basic ideas were crucial.
2192|das|das Boot||Das Boot schaukelt auf den Wellen.|boat|The boat rocks on the waves.
2193|das|das Dutzend||Ein Dutzend Eier liegen im Korb.|dozen|A dozen eggs are in the basket.
2194|verb|zurückziehen, zieht zurück, zog zurück, hat zurückgezogen||Er zog seine Bewerbung zurück.|to withdraw|He withdrew his application.
2195|verb|klopfen, klopft, klopfte, hat geklopft||Er klopfte, aber niemand öffnete.|to knock, beat|He knocked, but no one opened the door.
2196|verb|nachweisen, weist nach, wies nach, hat nachgewiesen||Er konnte seine Unschuld nachweisen.|to prove|He was able to prove his innocence.
2197|die|die Wolke||Eine dunkle Wolke zog über den Himmel.|cloud|A dark cloud moved across the sky.
2198|verb|aufmachen, macht auf, machte auf, hat aufgemacht||Er machte die Tür ganz leise auf.|to open|He opened the door very quietly.
2199|verb|kennzeichnen, kennzeichnet, kennzeichnete, hat gekennzeichnet||Das Gebiet ist deutlich gekennzeichnet.|to characterize, mark|The area is clearly marked.
2200|die|die Jugend||Die Jugend von heute ist gut vernetzt.|youth|The youth of today are well connected.
2201|verb|wundern (sich), wundert, wunderte, hat gewundert||Er wundert sich über das Ergebnis.|to be surprised, wonder|He is surprised by the result.
2202|die|die Interpretation||Die Interpretation ist umstritten.|interpretation|The interpretation is controversial.
2203|die|die Leber||Die Leber ist ein lebenswichtiges Organ.|liver|The liver is a vital organ.
2204|die|die Stellung||Ihre Stellung in der Firma ist sicher.|position, standing|Her position in the company is secure.
2205|verb|aufheben, hebt auf, hob auf, hat aufgehoben||Er hebt das Buch vom Boden auf.|to pick up, keep, lift|He picks up the book from the floor.
2206|die|die Belastung||Die Belastung der Brücke ist sehr hoch.|load, strain|The strain on the bridge is very high.
2207|adj|heilig||Das Land ist den Menschen heilig.|holy|The land is holy to the people.
2208|der|der Umfang||Der Umfang des Projekts ist groß.|circumference, size, extent, length|The extent of the project is large.
2209|die|die Beobachtung||Die Beobachtung ergab neue Erkenntnisse.|observation|The observation yielded new insights.
2210|verb|erfinden, erfindet, erfand, hat erfunden||Er erfindet ständig neue Geschichten.|to invent|He constantly invents new stories.
2211|verb|erfordern, erfordert, erforderte, hat erfordert||Das Projekt erfordert viel Geduld.|to require, demand|The project requires a lot of patience.
2212|der|der Gebrauch||Der Gebrauch des Werkzeugs war einfach.|use|The use of the tool was simple.
2213|der|der Landtag||Der Landtag debattiert über das Gesetz.|parliament|The parliament is debating the law.
2214|der|der Verkehr||Der Verkehr stockte plötzlich.|traffic|The traffic suddenly stalled.
2215|verb|aufhalten, hält auf, hielt auf, hat aufgehalten||Der Stau hält den Verkehr auf.|to stop, hold up, delay|The traffic jam holds up the traffic.
2216|verb|schneiden, schneidet, schnitt, hat geschnitten||Er schneidet das Brot in Scheiben.|to cut|He cuts the bread into slices.
2217|der|der Kauf||Der Kauf wurde schnell abgewickelt.|purchase|The purchase was quickly completed.
2218|das|das Öl||Das Öl wird aus Oliven gepresst.|oil|The oil is pressed from olives.
2219|der|der Betrag||Der Betrag wurde bereits überwiesen.|amount|The amount has already been transferred.
2220|verb|herauskommen, kommt heraus, kam heraus, ist herausgekommen (rauskommen)||Das Buch kommt im Herbst heraus.|to come out|The book comes out in the fall.
2221|das|das Fahrrad||Das Fahrrad steht vor der Tür.|bicycle|The bicycle is standing in front of the door.
2222|die|die Koordination||Die Koordination war schwierig.|coordination|The coordination was difficult.
2223|die|die Nutzung||Die Nutzung von Solarenergie nimmt zu.|use|The use of solar energy is increasing.
2224|der|der Park||Wir trafen uns im Park zum Picknick.|park|We met in the park for a picnic.
2225|verb|resultieren, resultiert, resultierte, hat resultiert||Aus Fehlern resultieren oft Probleme.|to result|Mistakes often result in problems.
2226|verb|schmecken, schmeckt, schmeckte, hat geschmeckt||Das Essen schmeckt hervorragend.|to taste|The food tastes excellent.
2227|verb|starren, starrt, starrte, hat gestarrt||Er starrte minutenlang auf das Bild.|to stare|He stared at the picture for minutes.
2228|verb|verpassen, verpasst, verpasste, hat verpasst||Er hat den letzten Bus verpasst.|to miss|He missed the last bus.
2229|verb|vorwerfen, wirft vor, warf vor, hat vorgeworfen||Er warf ihm vor, gelogen zu haben.|to accuse, reproach|He accused him of lying.
2230|der|der Bauch||Mein Bauch fühlt sich komisch an.|belly|My belly feels strange.
2231|der|der Verkauf||Der Verkauf lief besser als erwartet.|sale|The sale went better than expected.
2232|die|die Vorbereitung||Die Vorbereitung kostet viel Zeit.|preparation|The preparation takes a lot of time.
2233|verb|ausrichten, richtet aus, richtete aus, hat ausgerichtet||Er richtet die Feier im Garten aus.|to tell, align, line up, send|He is organizing the party in the garden.
2234|verb|rühren, rührt, rührte, hat gerührt||Er rührt den Kaffee mit dem Löffel um.|to stir, move|He stirs the coffee with the spoon.
2235|der|der Trend||Der Trend geht zu nachhaltiger Mode.|trend|The trend is towards sustainable fashion.
2236|verb|aktivieren, aktiviert, aktivierte, hat aktiviert||Er aktiviert das neue Konto online.|to mobilize, activate|He activates the new account online.
2237|der|der Mechanismus||Der Mechanismus wurde repariert.|mechanism|The mechanism was repaired.
2238|der|der Nutzen||Der Nutzen des Produkts ist fraglich.|benefit, profit, use|The benefit of the product is questionable.
2239|die|die Hose||Die Hose ist viel zu eng geworden.|trousers, pants|The pants have become much too tight.
2240|verb|lügen, lügt, log, hat gelogen||Er lügt immer, wenn er Angst hat.|to (tell a) lie|He always lies when he is afraid.
2241|verb|ansetzen, setzt an, setzte an, hat angesetzt||Er setzte den Schnitt präzise an.|to position, estimate, fix|He positioned the cut precisely.
2242|adj|arabisch||Das arabische Essen ist köstlich.|Arabian, Arabic|The Arabian food is delicious.
2243|das|das Arabisch||Arabisch ist schwer zu lernen.|Arabic|Arabic is difficult to learn.
2244|verb|mischen, mischt, mischte, hat gemischt||Er mischt die Farben sorgfältig.|to mix, blend|He mixes the colors carefully.
2245|verb|beruhen, beruht, beruhte, hat beruht||Die Entscheidung beruht auf Fakten.|to be based|The decision is based on facts.
2246|das|Japan||Japan ist bekannt für seine Technik.|Japan|Japan is known for its technology.
2247|die|die City||Die City ist heute sehr belebt.|city center|The city center is very lively today.
2248|die|die Klausur||Die Klausur war schwer, aber machbar.|exam|The exam was difficult, but doable.
2249|adv|innen||Es ist warm und trocken innen.|inside|It is warm and dry inside.
2250|die|die Membran||Die Membran filtert das Wasser effektiv.|membrane|The membrane filters the water effectively.
2251|das|das Metall||Das Metall ist schwer und kalt.|metal|The metal is heavy and cold.
2252|das|das Netzwerk||Das soziale Netzwerk wächst ständig.|network|The social network is constantly growing.
2253|adj|systematisch||Das systematische Vorgehen half sehr.|systematic|The systematic approach helped a lot.
2254|die|die Technologie||Die Technologie entwickelt sich schnell.|technology|The technology is developing quickly.
2255|die|die Trennung||Die Trennung fiel beiden schwer.|separation|The separation was hard for both of them.
2256|die, das|die E-Mail||Die E-Mail wurde sofort gesendet.|e-mail|The e-mail was sent immediately.
2257|verb|mitmachen, macht mit, machte mit, hat mitgemacht||Er macht bei der Challenge mit.|to join in, take part|He is taking part in the challenge.
2258|der|der Manager||Der Manager traf die Entscheidung.|manager|The manager made the decision.
2259|die|die Oma||Die Oma backt die besten Plätzchen.|grandma|Grandma bakes the best cookies.
2260|die|die Umfrage||Die Umfrage zeigt klare Ergebnisse.|survey|The survey shows clear results.
2261|die|die Operation||Die Operation verlief erfolgreich.|operation, surgery|The operation was successful.
2262|die|die Probe||Die Probe wurde ins Labor geschickt.|sample, test, rehearsal|The sample was sent to the lab.
2263|verb|bedienen, bedient, bediente, hat bedient||Er bedient die Maschine mühelos.|to serve, operate|He operates the machine effortlessly.
2264|der|der Mut||Er hat den Mut, die Wahrheit zu sagen.|courage|He has the courage to tell the truth.
2265|adj|nachhaltig||Nachhaltige Lösungen wurden gesucht.|lasting, sustainable|Sustainable solutions were sought.
2266|verb|zusehen, sieht zu, sah zu, hat zugesehen||Sie sieht ihm beim Spielen zu.|to watch|She watches him play.
2267|verb|bevorzugen, bevorzugt, bevorzugte, hat bevorzugt||Er bevorzugt Tee statt Kaffee.|to prefer|He prefers tea over coffee.
2268|adv|hierzu||Hierzu gibt es keine weiteren Fragen.|with it, concerning this|There are no further questions concerning this.
2269|der|der Fischer||Der Fischer brachte frischen Fisch.|fisherman|The fisherman brought fresh fish.
2270|der|der Ruf||Der Ruf des Adlers hallte durch das Tal.|reputation, call|The call of the eagle echoed through the valley.
2271|die|die Überlegung||Nach kurzer Überlegung änderte sie sich.|thought, thinking|After brief thought, she changed her mind.
2272|die|die Begegnung||Die Begegnung mit ihm war ein Zufall.|encounter, meeting|The encounter with him was a coincidence.
2273|der|der Schlag||Der Schlag traf ihn völlig unerwartet.|blow|The blow hit him completely unexpectedly.
2274|adv|daraufhin||Daraufhin änderte er seine Meinung.|as a result|As a result, he changed his mind.
2275|die|die Handlung||Die Handlung entwickelt sich langsam.|action, plot|The plot develops slowly.
2276|die|die Marke||Die Marke ist weltweit bekannt.|brand, stamp|The brand is known worldwide.
2277|verb|angreifen, greift an, griff an, hat angegriffen||Der Hund greift den Eindringling an.|to attack|The dog attacks the intruder.
2278|verb|finanzieren, finanziert, finanzierte, hat finanziert||Er finanzierte das Projekt allein.|to finance|He financed the project alone.
2279|adv|freilich||Freilich, das ist eine gute Idee.|of course|Of course, that is a good idea.
2280|die|die Hinsicht||In dieser Hinsicht ist es klar.|respect|In this respect, it is clear.
2281|der|der Schlüssel||Der Schlüssel passt ins Schloss.|key|The key fits in the lock.
2282|verb|deuten, deutet, deutete, hat gedeutet||Er deutet auf das Bild an der Wand.|to point, indicate, interpret|He points to the picture on the wall.
2283|adj|glatt||Die Straße war nach dem Regen glatt.|smooth, slippery|The street was slippery after the rain.
2284|adj|schrecklich||Der Unfall war wirklich schrecklich.|terrible|The accident was truly terrible.
2285|adj|weich||Das Kissen ist angenehm weich.|soft|The pillow is pleasantly soft.
2286|die|die Klinik||Die Klinik wurde neu eröffnet.|clinic, hospital|The clinic was newly opened.
2287|adj|bedeutend||Das war eine bedeutende Entdeckung.|important, significant|That was a significant discovery.
2288|das|das Organ||Das Organ spielt eine zentrale Rolle.|organ|The organ plays a central role.
2289|verb|besprechen, bespricht, besprach, hat besprochen||Sie besprechen die Details des Plans.|to discuss|They are discussing the details of the plan.
2290|die|die Oberfläche||Die Oberfläche glänzt in der Sonne.|surface|The surface shines in the sun.
2291|der|der Standort||Der Standort bietet viele Vorteile.|site, location|The location offers many advantages.
2292|der|der Zufall||Der Zufall führte uns zusammen.|chance, coincidence|Chance brought us together.
2293|die|die Armee||Die Armee marschierte durch die Stadt.|army|The army marched through the city.
2294|adj|kräftig||Er hat einen kräftigen Händedruck.|strong|He has a strong handshake.
2295|der|der Nerv||Der Nerv schmerzt bei jeder Bewegung.|nerve|The nerve hurts with every movement.
2296|die|die Niederlage||Die Niederlage schmerzt ihn tief.|defeat|The defeat hurts him deeply.
2297|der|der Termin||Der Termin beim Arzt steht fest.|appointment, date|The appointment with the doctor is set.
2298|adj|angenehm||Das angenehme Gespräch endet positiv.|pleasant|The pleasant conversation ended positively.
2299|die|die Synthese||Die Synthese gelang im Labor problemlos.|synthesis|The synthesis was successfully completed in the lab.
2300|das|das Drama||Das Drama endete tragisch für alle.|drama|The drama ended tragically for everyone.
2301|der|der Konsum||Der Konsum von Zucker nimmt zu.|consumption|The consumption of sugar is increasing.
2302|die|die Vorschrift||Die Vorschrift wurde geändert.|instruction, regulation|The regulation was changed.
2303|adj|winzig||In dem winzigen Raum steht nur ein Bett.|tiny|There is only a bed in the tiny room.
2304|der|der Flug||Der Flug dauerte acht Stunden.|flight|The flight lasted eight hours.
2305|das|das Holz||Er hackte Holz für den Winter.|wood|He chopped wood for the winter.
2306|adj|künstlerisch||Seine künstlerische Arbeit beeindruckt.|artistic|His artistic work is impressive.
2307|die|die Förderung||Die Förderung kam von der Regierung.|support, promotion, funding|The funding came from the government.
2308|der|der Impuls||Ein starker Impuls bewegte den Pendel.|stimulus, impulse|A strong impulse moved the pendulum.
2309|die|die Planung||Die Planung der Reise war schwierig.|planning, plan|The planning of the trip was difficult.
2310|der|der Verdacht||Der Verdacht fiel auf den Nachbarn.|suspicion|The suspicion fell on the neighbor.
2311|verb|vorgeben, gibt vor, gab vor, hat vorgegeben||Er gibt vor, nichts zu wissen.|to use as an excuse, set in advance, pretend|He pretends to know nothing.
2312|der|der Witz||Er erzählte einen lustigen Witz.|joke|He told a funny joke.
2313|adj|aufmerksam||Der aufmerksame Zuhörer stellte Fragen.|attentive|The attentive listener asked questions.
2314|der|der Mangel||Es gibt einen Mangel an Wasser.|lack, shortage, defect|There is a lack of water.
2315|verb|ausführen, führt aus, führte aus, hat ausgeführt||Er führte die Aufgabe präzise aus.|to carry out, perform|He carried out the task precisely.
2316|adj|analog||Das analoge System wird ersetzt.|analog, analogous|The analog system is being replaced.
2317|verb|befürchten, befürchtet, befürchtete, hat befürchtet||Sie befürchten das Schlimmste.|to fear|They fear the worst.
2318|prep|hinsichtlich||Hinsichtlich dessen bin ich zufrieden.|with regard to|With regard to that, I am satisfied.
2319|die|die Katze||Die Katze sprang leise auf den Tisch.|cat|The cat jumped quietly onto the table.
2320|adj|äußere (r, s)||Das äußere Tor war verschlossen.|outer, external|The outer gate was locked.
2321|die|die Halle||Die Halle war voll mit Menschen.|hall|The hall was full of people.
2322|die|die Häufigkeit||Die Häufigkeit der Ereignisse nimmt zu.|frequency|The frequency of events is increasing.
2323|das|das Kapital||Das Kapital des Unternehmens wächst.|capital|The company's capital is growing.
2324|die|die Revolution||Die Revolution veränderte alles.|revolution|The revolution changed everything.
2325|verb|zuordnen, ordnet zu, ordnete zu, hat zugeordnet||Er ordnet die Dateien dem Projekt zu.|to assign, classify|He assigns the files to the project.
2326|verb|aussetzen, setzt aus, setzte aus, hat ausgesetzt||Er musste das Training kurz aussetzen.|to suspend, expose, skip, sit out|He had to skip the training briefly.
2327|der|der Lohn||Der Lohn wurde pünktlich überwiesen.|wage, pay, reward|The wage was transferred on time.
2328|das|das Vermögen||Das Vermögen wurde gerecht verteilt.|assets, fortune, ability|The assets were distributed fairly.
2329|die|die Verwaltung||Die Verwaltung arbeitet effizient.|administration|The administration works efficiently.
2330|conj|zumal||Zumal du hier bist, fangen wir an.|particularly, especially|Since you are here, we can start.
2331|das|das Kohlenstoffdioxid||Kohlenstoffdioxid ist ein Gas.|carbon dioxide|Carbon dioxide is a gas.
2332|adj|ordentlich||Das Büro ist immer ordentlich.|neat, proper, orderly|The office is always neat.
2333|verb|stoppen, stoppt, stoppte, hat gestoppt||Er stoppte den Wagen rechtzeitig.|to stop|He stopped the car in time.
2334|der|der Bundeskanzler||Der Bundeskanzler sprach zur Nation.|federal chancellor|The Federal Chancellor spoke to the nation.
2335|der|der Rat||Der Rat des Lehrers war hilfreich.|advice|The teacher's advice was helpful.
2336|der|der Bewohner||Die Bewohner waren freundlich.|inhabitant, resident, occupant|The residents were friendly.
2337|adj|gewöhnlich||Er führt ein ganz gewöhnliches Leben.|usual|He leads a very usual life.
2338|adj|großartig||Das Konzert war einfach großartig.|great, splendid, superb, terrific|The concert was simply great.
2339|verb|trainieren, trainiert, trainierte, hat trainiert||Er trainiert täglich im Fitnessstudio.|to train, coach|He trains daily at the gym.
2340|die|die Variante||Es gibt eine neue Variante des Spiels.|variant, variation|There is a new variant of the game.
2341|das|das Medikament||Das Medikament wirkt sehr schnell.|medicine, drug|The medicine works very quickly.
2342|der|der Ring||Der Ring fiel zu Boden und rollte weg.|ring|The ring fell to the ground and rolled away.
2343|adj|beliebig||Wählen Sie eine beliebige Option aus.|any, as you like|Select any option you like.
2344|das|das HGB (Handelsgesetzbuch)||Das HGB regelt den Handel genau.|Commercial Code|The Commercial Code regulates trade precisely.
2345|verb|versetzen, versetzt, versetzte, hat versetzt||Er wurde nach Berlin versetzt.|to move, transfer|He was transferred to Berlin.
2346|verb|verurteilen, verurteilt, verurteilte, hat verurteilt||Der Richter verurteilt den Dieb.|to condemn|The judge condemns the thief.
2347|das|das Vorjahr||Das Vorjahr brachte gute Ergebnisse.|previous year|The previous year brought good results.
2348|adj|gezielt||Gezielte Maßnahmen führten zum Erfolg.|targeted, purposeful, pointed, well-aimed|Targeted actions led to success.
2349|die|die Kommune||Die Kommune plant neue Wohnprojekte.|municipality, local authority|The municipality plans new housing projects.
2350|der|der Mord||Der Mord wurde schnell aufgeklärt.|murder|The murder was quickly solved.
2351|adj|extern||Das externe Problem löst sich schnell.|external|The external problem is resolved quickly.
2352|die|die Partie||Die Partie endete unentschieden.|game|The game ended in a draw.
2353|adj|stetig||Die stetige Verbesserung fiel auf.|constant|The constant improvement was noticeable.
2354|adj|dumm||Das war wirklich eine sehr dumme Idee.|stupid|That was really a very stupid idea.
2355|verb|erwidern, erwidert, erwiderte, hat erwidert||Er erwidert ihren Gruß höflich.|to reply|He politely replies to her greeting.
2356|die|die Identität||Seine Identität bleibt unbekannt.|identity|His identity remains unknown.
2357|der|der Stock||Das Büro ist im dritten Stockwerk.|stick, floor|The office is on the third floor.
2358|das|das Gefäß||Das Gefäß war mit Wasser gefüllt.|vessel|The vessel was filled with water.
2359|verb|atmen, atmet, atmete, hat geatmet||Der Patient atmet tief ein und aus.|to breathe|The patient breathes in and out deeply.
2360|die|die Milch||Die Milch steht im Kühlschrank.|milk|The milk is in the refrigerator.
2361|die|die Tiefe||Die Tiefe des Sees ist unbekannt.|depth|The depth of the lake is unknown.
2362|verb|unternehmen, unternimmt, unternahm, hat unternommen||Sie unternahmen eine Reise nach Asien.|to undertake, do, take action|They undertook a trip to Asia.
2363|adj|moralisch||Moralische Fragen wurden besprochen.|moral|Moral questions were discussed.
2364|pron|selbe (r, s)||Er trägt denselben Hut wie gestern.|same|He is wearing the same hat as yesterday.
2365|verb|stärken, stärkt, stärkte, hat gestärkt||Er stärkt sein Immunsystem durch Sport.|to strengthen|He strengthens his immune system through sports.
2366|der|der Millimeter||Ein Millimeter machte den Unterschied.|millimeter|One millimeter made the difference.
2367|die|die FDP (Freie Demokratische Partei)||Die FDP strebt eine Steuerreform an.|FDP|The FDP is striving for a tax reform.
2368|der|der Konsument||Der Konsument hat hohe Erwartungen.|consumer|The consumer has high expectations.
2369|die|die Reform||Die Reform brachte viele Veränderungen.|reform|The reform brought many changes.
2370|der|der Richter||Der Richter spricht das Urteil.|judge|The judge delivers the verdict.
2371|verb|verwandeln, verwandelt, verwandelte, hat verwandelt||Er verwandelte das Zimmer in ein Büro.|to transform, turn into|He transformed the room into an office.
2372|verb|streiten, streitet, stritt, hat gestritten||Sie stritten sich um das Geld.|to quarrel, argue|They quarreled over the money.
2373|verb|widmen, widmet, widmete, hat gewidmet||Sie widmet ihr Leben der Kunst.|to dedicate|She dedicates her life to art.
2374|verb|bereitstellen, stellt bereit, stellte bereit, hat bereitgestellt||Wir stellen die Mittel bereit.|to provide, put on|We are providing the resources.
2375|verb|hinterlassen, hinterlässt, hinterließ, hat hinterlassen||Er hat eine Nachricht hinterlassen.|to leave|He left a message.
2376|verb|analysieren, analysiert, analysierte, hat analysiert||Sie analysiert die Daten sehr genau.|to analyze|She analyzes the data very precisely.
2377|der|der Gipfel||Der Gipfel des Berges war schneebedeckt.|peak, summit|The summit of the mountain was snow-covered.
2378|der|der Nachteil||Der Nachteil ist offensichtlich.|disadvantage|The disadvantage is obvious.
2379|adv|versus||Es geht um Team A versus Team B.|versus|It's Team A versus Team B.
2380|adj|vertraut||Er ist mit der Technik vertraut.|familiar, close|He is familiar with the technology.
2381|das|das Baby||Das Baby schläft tief und fest.|baby|The baby is sleeping soundly.
2382|die|die Sitzung||Die Sitzung dauert zwei Stunden.|meeting, session|The meeting lasts two hours.
2383|adj|sportlich||Seine sportliche Leistung war top.|athletic|His athletic performance was top.
2384|die|die Wärme||Die Wärme des Feuers war angenehm.|warmth, heat|The warmth of the fire was pleasant.
2385|adj|eventuell||Das eventuelle Problem löst sich auf.|possible|The possible problem resolves itself.
2386|die|die Gemeinschaft||Die Gemeinschaft arbeitete eng zusammen.|community|The community worked closely together.
2387|verb|kennenlernen, lernt kennen, lernte kennen, hat kennengelernt||Er lernte sie auf einer Party kennen.|to meet, get to know|He met her at a party.
2388|der|der Unternehmer||Der Unternehmer investierte klug.|entrepreneur, employer|The entrepreneur invested wisely.
2389|die|die Dienstleistung||Diese Dienstleistung wird oft genutzt.|service|This service is frequently used.
2390|adj|intern||Die internen Daten wurden ausgewertet.|internal|The internal data was analyzed.
2391|der|der Investor||Der Investor plant ein großes Projekt.|investor|The investor is planning a large project.
2392|die|die Periode||Die Periode dauerte mehrere Jahre.|period|The period lasted several years.
2393|adj|schriftlich||Die schriftliche Aussage war eindeutig.|written|The written statement was clear.
2394|adj|genetisch||Genetische Merkmale beeinflussen vieles.|genetic|Genetic traits influence many things.
2395|der|der Einwohner||Der Einwohner verließ die Stadt.|inhabitant|The inhabitant left the city.
2396|verb|testen, testet, testete, hat getestet||Wir haben das System getestet.|to test|We tested the system.
2397|verb|umgeben, gibt um, gab um, hat umgegeben||Das Haus ist von Bäumen umgeben.|to surround, enclose|The house is surrounded by trees.
2398|adj|lebendig||Die Stadt ist nachts besonders lebendig.|living, lively|The city is especially lively at night.
2399|verb|waschen, wäscht, wusch, hat gewaschen||Er wäscht das Auto jeden Samstag.|to wash|He washes the car every Saturday.
2400|das|das Hormon||Hormone beeinflussen das Verhalten.|hormone|Hormones influence behavior.
2401|das|das Lebensmittel||Lebensmittel sind teuer geworden.|food|Food has become expensive.
2402|die|die Zeile||Schreib eine Zeile in das Buch.|line|Write a line in the book.
2403|verb|belasten, belastet, belastete, hat belastet||Diese Entscheidung belastet uns alle.|to load, burden|This decision burdens us all.
2404|adj|braun||Die Blätter sind braun geworden.|brown|The leaves have turned brown.
2405|die|die Ehe||Ihre Ehe dauert schon seit 20 Jahren.|marriage|Their marriage has lasted for 20 years.
2406|der|der Passagier||Der Passagier hat seinen Sitz gefunden.|passenger|The passenger found his seat.
2407|die|die Kindheit||Die Kindheit verbrachte er auf dem Land.|childhood|He spent his childhood in the countryside.
2408|das|Ungarn||Ungarn ist ein schönes Reiseziel.|Hungary|Hungary is a beautiful travel destination.
2409|der|der Verbraucher||Der Verbraucher verlangt Qualität.|consumer|The consumer demands quality.
2410|die|die Vielfalt||Die Vielfalt der Blumen ist erstaunlich.|diversity, variety|The variety of flowers is astonishing.
2411|die|die Entschuldigung||Er bot eine Entschuldigung an.|apology, excuse|He offered an apology.
2412|verb|flüstern, flüstert, flüsterte, hat geflüstert||Sie flüstert ihm ein Geheimnis ins Ohr.|to whisper|She whispers a secret into his ear.
2413|adv|geradezu||Das war geradezu unmöglich zu lösen.|downright|That was downright impossible to solve.
2414|die|die Koalition||Die Koalition hat sich geeinigt.|coalition|The coalition has reached an agreement.
2415|die|die Mischung||Die Mischung schmeckt hervorragend.|mixture, blend, combination|The blend tastes excellent.
2416|adj|zukünftig||Zukünftige Projekte sind geplant.|future|Future projects are planned.
2417|verb|erledigen, erledigt, erledigte, hat erledigt||Ich werde das sofort erledigen.|to settle, take care|I will take care of that immediately.
2418|die|die Existenz||Die Existenz des Tieres ist bewiesen.|existence|The existence of the animal is proven.
2419|der|der Geruch||Der Geruch von Kaffee weckte ihn.|smell|The smell of coffee woke him up.
2420|verb|herkommen, kommt her, kam her, ist hergekommen||Ich weiß nicht genau, wo sie herkommt.|to come here|I don't know exactly where she comes from.
2421|der|der Sitz||Der Sitz des Unternehmens ist in Berlin.|seat, headquarters|The headquarters of the company are in Berlin.
2422|die|die Serie||Die Serie gewann viele Preise.|series|The series won many awards.
2423|verb|ahnen, ahnt, ahnte, hat geahnt||Er ahnte nichts von der Überraschung.|to sense, suspect|He didn't suspect anything about the surprise.
2424|die|die Entfernung||Die Entfernung zum Ziel war groß.|distance|The distance to the goal was great.
2425|verb|stützen, stützt, stützte, hat gestützt||Das Gebäude stützt sich auf Pfeiler.|to support, base on|The building is supported by pillars.
2426|die|die Wahrnehmung||Die Wahrnehmung ist subjektiv.|perception|Perception is subjective.
2427|die|die Liga||Die Liga plant eine neue Saison.|league|The league is planning a new season.
2428|der|der Schlaf||Der Schlaf kommt spät in der Nacht.|sleep|Sleep comes late at night.
2429|verb|einschränken, schränkt ein, schränkte ein, hat eingeschränkt||Er schränkt seine Ausgaben ein.|to restrict, reduce|He is restricting his expenses.
2430|die|die Kette||Die Kette riss plötzlich unter der Last.|chain|The chain suddenly snapped under the weight.
2431|die|die Säure||Die Säure reagierte mit dem Metall.|acid|The acid reacted with the metal.
2432|die|die Strafe||Die Strafe folgt auf das Vergehen.|punishment, penalty|The penalty follows the offense.
2433|der|der Franzose||Der Franzose spricht gut Deutsch.|Frenchman, French|The Frenchman speaks German well.
2434|das|das Konzert||Das Konzert endete mit großem Applaus.|concert|The concert ended with great applause.
2435|der|der Kontext||Der Kontext der Rede war unklar.|context|The context of the speech was unclear.
2436|der|der Transport||Der Transport verlief reibungslos.|transportation|The transportation went smoothly.
2437|verb|abbauen, baut ab, baute ab, hat abgebaut||Er baut den alten Schuppen ab.|to reduce, dismantle|He is dismantling the old shed.
