adashmoq[sound:adashmoq_1.mp3]                         |блуждать, заблудиться
poytaxt[sound:poytaxt_1.mp3]                           |столица
poshna[sound:poshna_1.mp3]                             |каблук
pufak[sound:pufak_1.mp3]                               |пузырь, резиновый шар
pufakcha[sound:pufakcha_1.mp3]                         |пузырёк
puflamoq[sound:puflamoq_1.mp3]                         |дуть
pul[sound:pul_1.mp3]                                   |деньги
puchuq[sound:puchuq_1.mp3]                             |курносый
poʻst[sound:po‘st_1.mp3]                               |кожица, шкурка; кожура, корка
poʻstloq[sound:po‘stloq_1.mp3]                         |кора, корьё
poʻchoq[sound:po‘choq_1.mp3]                           |кожура, скорлупа, кожица, шелуха
qabr[sound:qabr_1.mp3]                                 |могила
qabriston[sound:qabriston_1.mp3]                       |кладбище
qadam[sound:qadam_1.mp3]                               |шаг, поступь
qadamoq[sound:qadamoq_1.mp3]                           |вонзать; застёгивать, пришивать
qafas[sound:qafas_1.mp3]                               |клетка
qalam[sound:qalam_1.mp3]                               |карандаш
qaldirgʻoch[sound:qaldirg‘och_1.mp3]                   |ласточка
qalin[sound:qalin_1.mp3]                               |1. толстый ; 2. плотный ; 3. густой; 4. обильный, густой
qalpoq[sound:qalpoq_1.mp3]                             |шапка
qaltiramoq[sound:qaltiramoq_1.mp3]                     |дрожать, трепетать, трястись
qand[sound:qand_1.mp3]                                 |кусковой сахар
qanday[sound:qanday_1.mp3]                             |как, какой, каков
qani[sound:qani_1.mp3]                                 |где
qanot[sound:qanot_1.mp3]                               |крыло, крылья
qancha[sound:qancha_1.mp3]                             |сколько
qaramoq[sound:qaramoq_1.mp3]                           |смотреть, глядеть
qarash[sound:qarash_1.mp3]                             |взгляд
qari[sound:qari_1.mp3]                                 |старый, старик, старец
qarimoq[sound:qarimoq_1.mp3]                           |стареть, стариться
qarindosh[sound:qarindosh_1.mp3]                       |родственник, родня
qariya[sound:qariya_1.mp3]                             |старик
qarich[sound:qarich_1.mp3]                             |пядь
qarmoq[sound:qarmoq_1.mp3]                             |удочка
qarsak[sound:qarsak_1.mp3]                             |хлопок [аплодисменты]
qarz[sound:qarz_1.mp3]                                 |долг, задолженность
qargʻa[sound:qarg‘a_1.mp3]                             |ворона
qatiq[sound:qatiq_1.mp3]                               |кислое молоко
qatnashmoq[sound:qatnashmoq_1.mp3]                     |принимать участие, участвовать, посещать
qator[sound:qator_1.mp3]                               |ряд
qattiq[sound:qattiq_1.mp3]                             |твёрдый, крепкий, жесткий
qavat[sound:qavat_1.mp3]                               |1. слой, пласт; 2. этаж
qayerga[sound:qayerga_1.mp3]                           |куда
qayerda[sound:qayerda_1.mp3]                           |где
qayerdan[sound:qayerdan_1.mp3]                         |откуда
qayiq[sound:qayiq_1.mp3]                               |лодка
qaymoq[sound:qaymoq_1.mp3]                             |сливки, сметана
qaynamoq[sound:qaynamoq_1.mp3]                         |кипеть
qaynatma[sound:qaynatma_1.mp3]                         |варёный
qaynoq[sound:qaynoq_1.mp3]                             |1. горячий ; 2. кипучий
qaysar[sound:qaysar_1.mp3]                             |упрямый
qaysarlik[sound:qaysarlik_1.mp3]                       |упрямство
qaysi[sound:qaysi_1.mp3]                               |какой, который
qaytmoq[sound:qaytmoq_1.mp3]                           |1. возвращаться; 2. отступать, отказываться
qashimoq[sound:qashimoq_1.mp3]                         |чесать, почёсывать
qachon[sound:qachon_1.mp3]                             |когда
qidirmoq[sound:qidirmoq_2.mp3]                         |искать, разыскивать
qil[sound:qil_1.mp3]                                   |волос, волосок
qilich[sound:qilich_1.mp3]                             |сабля, шпага, меч
qilichbozlik[sound:qilichbozlik_1.mp3]                 |фехтование, рубка
qilmoq[sound:qilmoq_1.mp3]                             |делать
qimirlamoq[sound:qimirlamoq_1.mp3]                     |шевелиться, колебаться, качаться
qimmat[sound:qimmat_1.mp3]                             |дорогой
qirq[sound:qirq_1.mp3]                                 |сорок
qirqmoq[sound:qirqmoq_1.mp3]                           |резать, отрезать, срезать, подрезать
qirgʻich[sound:qirg‘ich_1.mp3]                         |тёрка
qirgʻoq[sound:qirgʻoq_1.mp3]                           |берег [см. yoqa, bet]
qisqa[sound:qisqa_1.mp3]                               |короткий, краткий, сокращённый
qisqarmoq[sound:qisqarmoq_1.mp3]                       |укорачиваться, сокращаться
qitiqlamoq[sound:qitiqlamoq_2.mp3]                     |щекотать
qiyin[sound:qiyin_1.mp3]                               |трудный, затруднительный, сложный
qiyom[sound:qiyom_1.mp3]                               |варенье
qiyshiq[sound:qiyshiq_1.mp3]                           |кривой, искревлённый косой
qiz[sound:qiz_1.mp3]                                   |девочка, девушка
qizarmoq[sound:qizarmoq_1.mp3]                         |краснеть
qizil[sound:qizil_1.mp3]                               |красный
qiziq[sound:qiziq_1.mp3]                               |интересный, занимательный, забавный
qiziqish[sound:qiziqish_1.mp3]                         |интерес
qiziqmoq[sound:qiziqmoq_1.mp3]                         |интересоваться, увлекаться
qizgʻanchiq[sound:qizg‘anchiq_1.mp3]                   |скупой, жадный
qish[sound:qish_1.mp3]                                 |зима
qishki[sound:qishki_1.mp3]                             |зимний
qishlamoq[sound:qishlamoq_1.mp3]                       |зимовать, проводить зиму [где-л. ]
qoida[sound:qoida_1.mp3]                               |правило
qolmoq[sound:qolmoq_1.mp3]                             |оставаться
qoloq[sound:qoloq_1.mp3]                               |1. отстающий, неуспевающий ; 2. отсталый, неразвитый
qon[sound:qon_1.mp3]                                   |кровь
qonamoq[sound:qonamoq_1.mp3]                           |кровоточить
qop[sound:qop_1.mp3]                                   |мешок
qoplamoq[sound:qoplamoq_1.mp3]                         |1. насыпать в мешки, набивать в мешки; 2. покрывать, охватывать, окружать со всех сторон
qopqoq[sound:qopqoq_1.mp3]                             |крышка
qor[sound:qor_1.mp3]                                   |снег
qora[sound:qora_1.mp3]                                 |чёрный
qoraymoq[sound:qoraymoq_1.mp3]                         |чернеть, темнеть
qorbobo[sound:qorbobo_1.mp3]                           |Дед Мороз
qorin[sound:qorin_1.mp3]                               |живот, пузо, брюхо
qorongʻi[sound:qorong‘i_1.mp3]                         |тёмный, мрачный ; тьма, темнота
qorovul[sound:qorovul_1.mp3]                           |1. охранник, сторож; 2. дворник
qorqiz[sound:qorqiz_1.mp3]                             |снегурочка
qovoq[sound:qovoq_1.mp3]                               |тыква
qovun[sound:qovun_1.mp3]                               |дыня
qovurma[sound:qovurma_1.mp3]                           |жареный
qovurmoq[sound:qovurmoq_1.mp3]                         |жарить
qovurgʻa[sound:qovurg‘a_1.mp3]                         |ребро
qoyil qolmoq[sound:qoyil_qolmoq_1.mp3]                 |восхищаться
qozon[sound:qozon_1.mp3]                               |котёл, казан
qogʻoz[sound:qog‘oz_1.mp3]                             |бумага
qosh[sound:qosh_1.mp3]                                 |бровь, брови
qoshiq[sound:qoshiq_1.mp3]                             |ложка
qochmoq[sound:qochmoq_1.mp3]                           |бежать, убегать
quduq[sound:quduq_1.mp3]                               |колодец
qulay[sound:qulay_1.mp3]                               |удобный, благоприятный, подходящий
qulamoq[sound:qulamoq_1.mp3]                           |падать, рухнуть; опрокидываться, сваливаться
qulaylik[sound:qulaylik_1.mp3]                         |удобство
qulf[sound:qulf_1.mp3]                                 |1. замок; 2. запертый
qulflamoq[sound:qulflamoq_1.mp3]                       |запиратьназамок, закрыватьназамок
quloq[sound:quloq_1.mp3]                               |ухо, уши
qum[sound:qum_1.mp3]                                   |песок
qurbaqa[sound:qurbaqa_1.mp3]                           |лягушка
qurilish[sound:qurilish_1.mp3]                         |строительство, стройка
qurimoq[sound:qurimoq_1.mp3]                           |сохнуть, высыхать, засыхать
qurmoq[sound:qurmoq_1.mp3]                             |строить, воздвигать, сооружать
qurt[sound:qurt_1.mp3]                                 |гусеница, червь
quruq[sound:quruq_1.mp3]                               |сухой; засохший, высохший
quruqlik[sound:quruqlik_1.mp3]                         |суша
quruvchi[sound:quruvchi_1.mp3]                         |строитель
qusmoq[sound:qusmoq_1.mp3]                             |рвать [тошнить]
qutqarmoq[sound:qutqarmoq_1.mp3]                       |освобождать, спасать
quvlamoq[sound:quvlamoq_1.mp3]                         |гоняться, гнаться
quvnoq[sound:quvnoq_1.mp3]                             |весёлый, радостный
quvonmoq[sound:quvonmoq_1.mp3]                         |радоваться, веселиться, [см. sevinmoq]
quvonch[sound:quvonch_1.mp3]                           |радость, веселье [см. sevinch]
quvur[sound:quvur_1.mp3]                               |труба, металлическая труба
quvvat[sound:quvvat_1.mp3]                             |сила, мощь, энергия [см. kuch]
quyon[sound:quyon_1.mp3]                               |заяц, кролик
quyosh[sound:quyosh_1.mp3]                             |солнце
quymoq[sound:quymoq_1.mp3]                             |лить, вливать, наливать
quyoshli[sound:quyoshli_1.mp3]                         |солнечный
quyuq[sound:quyuq_1.mp3]                               |густой
qush[sound:qush_1.mp3]                                 |птица
quchoqlamoq[sound:quchoqlamoq_1.mp3]                   |обнимать
qoʻl[sound:qo‘l_1.mp3]                                 |рука, руки
qoʻlqop[sound:qo‘lqop_1.mp3]                           |перчатки, рукавицы
qoʻltiq[sound:qo‘ltiq_1.mp3]                           |подмышки
qoʻnmoq[sound:qo‘nmoq_1.mp3]                           |садиться, опускаться
qoʻngʻiroq[sound:qo‘ng‘iroq_1.mp3]                     |звонок, колокольчик
qoʻriqlamoq[sound:qo‘riqlamoq_1.mp3]                   |охранять
qoʻrqmoq[sound:qo‘rqmoq_1.mp3]                         |опасаться, пугаться, бояться
qoʻrqoq[sound:qo‘rqoq_1.mp3]                           |трусливый, пугливый, боязливый, трус
qoʻy[sound:qo‘y_1.mp3]                                 |овца, баран
qoʻymoq[sound:qo‘ymoq_1.mp3]                           |ставить, класть
qoʻzi(choq)[sound:qo‘zi(choq)_1.mp3]                   |ягнёнок
qoʻgʻirchoq[sound:qo‘g‘irchoq_1.mp3]                   |кукла
qoʻshiq[sound:qoʻshiq_1.mp3]                           |песня [см. ashula]
qoʻshiqaytmoq[sound:qo‘shiqaytmoq_1.mp3]               |петь
qoʻshni[sound:qo‘shni_1.mp3]                           |сосед, соседка
rahbar[sound:rahbar_1.mp3]                             |руководитель
rahmat[sound:rahmat_1.mp3]                             |благодарность, благодарю
rais[sound:rais_1.mp3]                                 |председатель
rang[sound:rang_2.mp3]                                 |1. краска; 2. цвет
raqam[sound:raqam_1.mp3]                               |1. цифра; 2. номер
raqqos[sound:raqqos_1.mp3]                             |танцор, плясун
raqqosa[sound:raqqosa_1.mp3]                           |танцовщица, плясунья
raqs[sound:raqs_1.mp3]                                 |танец, пляска
rasm[sound:rasm_1.mp3]                                 |рисунок, изображение, картинка
rassom[sound:rassom_1.mp3]                             |живописец, художник
rayhon[sound:rayhon_1.mp3]                             |базилик
reja[sound:reja_1.mp3]                                 |план
rivoch[sound:rivoch_1.mp3]                             |ревень
rohat[sound:rohat_1.mp3]                               |1. удовольствие, наслаждение; 2. покой, спокойствие
rohatlanmoq[sound:rohatlanmoq_1.mp3]                   |наслаждаться, получать удовольствие
rost[sound:rost_2.mp3]                                 |1. правдивый, правильный, верный ; 2. правда
rostdan[sound:rostdan_1.mp3]                           |в самом деле, действительно
rozi[sound:rozi_1.mp3]                                 |1. довольный ; 2. согласный
rozilik[sound:rozilik_1.mp3]                           |согласие
ruxsat[sound:ruxsat_1.mp3]                             |разрешение, позволение
ruxsat bermoq[sound:ruxsat_bermoq_1.mp3]               |1. позволить, разрешать; 2. отпускать
ruxsatsiz[sound:ruxsatsiz_1.mp3]                       |без разрешения
roʻmol[sound:ro‘mol_2.mp3]                             |платок
roʻyxat[sound:ro‘yxat_1.mp3]                           |список, перечень
sabab[sound:sabab_1.mp3]                               |причина
sababli[sound:sababli_1.mp3]                           |1. имеющий причину; 2. по причине, вследствие того, что
sababsiz[sound:sababsiz_1.mp3]                         |1. беспричинный ; 2. беспричинно
sabr[sound:sabr_1.mp3]                                 |терпение
sabr qilmoq[sound:sabr_qilmoq_1.mp3]                   |терпеть, проявлять, терпение, терпеливо ждать
sabzavot[sound:sabzavot_1.mp3]                         |овощи
sabzi[sound:sabzi_1.mp3]                               |морковь
saf[sound:saf_2.mp3]                                   |1. ряд, шеренга, ряды; 2. строй
saflamoq[sound:saflamoq_1.mp3]                         |строить, выстраивать в ряды
sahar[sound:sahar_1.mp3]                               |раннее утро
saharlab[sound:saharlab_1.mp3]                         |ранним утром
sahifa[sound:sahifa_1.mp3]                             |страница
sakkiz[sound:sakkiz_1.mp3]                             |восемь
sakramoq[sound:sakramoq_1.mp3]                         |прыгать, скакать, подпрыгивать
sakson[sound:sakson_1.mp3]                             |восемьдесят
sal[sound:sal_1.mp3]                                   |чуть, чуть-чуть
salla[sound:salla_1.mp3]                               |чалма
salom[sound:salom_1.mp3]                               |привет, приветствие
salomlashmoq[sound:salomlashmoq_1.mp3]                 |здороваться [поздороваться], приветствовать [поприветствовать]
salom bermoq[sound:salom_bermoq_1.mp3]                 |приветствовать
salqin[sound:salqin_1.mp3]                             |1. прохлада; 2. тенистое место; 3. прохладный, прохладно, тенистый
sanamoq[sound:sanamoq_1.mp3]                           |считать, посчитать
sanchmoq[sound:sanchmoq_1.mp3]                         |втыкать, вонзать; колоть
saqich[sound:saqich_1.mp3]                             |жевательная сера, жевательная смолка
saqlamoq[sound:saqlamoq_1.mp3]                         |хранить [сохранить], беречь [сберегать, уберечь]
sara[sound:sara_1.mp3]                                 |отборный, лучший
saralamoq[sound:saralamoq_1.mp3]                       |отбирать, сортировать
sardor[sound:sardor_1.mp3]                             |предводитель, командир
sarimsoq[sound:sarimsoq_1.mp3]                         |чеснок
sariq[sound:sariq_1.mp3]                               |желтый
saroy[sound:saroy_1.mp3]                               |дворец
sartarosh[sound:sartarosh_1.mp3]                       |парикмахер
sartaroshxona[sound:sartaroshxona_2.mp3]               |парикмахерская
sariyogʻ[sound:sariyogʻ_1.mp3]                         |масло [сливочное итоплёное ]
sargʻaymoq[sound:sarg‘aymoq_1.mp3]                     |желтеть
sassiq[sound:sassiq_1.mp3]                             |вонючий
savat[sound:savat_1.mp3]                               |плетёная корзина, плетёнка
savol[sound:savol_1.mp3]                               |вопрос
saylov[sound:saylov_1.mp3]                             |выборы, баллотировка
sayohat[sound:sayohat_1.mp3]                           |путешествие, странствие; поездка
sayohatchi[sound:sayohatchi_1.mp3]                     |путешественник
sayramoq[sound:sayramoq_1.mp3]                         |петь [о птицах]
sayyoh[sound:sayyoh_1.mp3]                             |турист
sachramoq[sound:sachramoq_1.mp3]                       |разбрызгиваться
saʼva[sound:sa’va_1.mp3]                               |щеголь
sekin[sound:sekin_1.mp3]                               |1. медленно, тихо; 2. тихо, негромко
sekinlashmoq[sound:sekinlashmoq_1.mp3]                 |замедляться
sel[sound:sel_1.mp3]                                   |ливень, проливной дождь
semirmoq[sound:semirmoq_1.mp3]                         |полнеть, толстеть
semiz[sound:semiz_1.mp3]                               |1. толстый, полный ; 2. жирный
sen[sound:sen_1.mp3]                                   |ты
sepkil[sound:sepkil_1.mp3]                             |веснушки
sepmoq[sound:sepmoq_1.mp3]                             |1. брызгать, разбрызгивать; плескать, поливать; 2. сеять, высевать
seskanmoq[sound:seskanmoq_1.mp3]                       |вздрагивать, содрагаться
sevinmoq[sound:sevinmoq_1.mp3]                         |радоваться
sevinch[sound:sevinch_1.mp3]                           |радость
sevmoq[sound:sevmoq_1.mp3]                             |любить, полюбить
sezmoq[sound:sezmoq_1.mp3]                             |чувствовать, почувствовать, ощущать, ощутить
seshanba[sound:seshanba_1.mp3]                         |вторник
sigir[sound:sigir_1.mp3]                               |корова
silamoq[sound:silamoq_1.mp3]                           |гладить, поглаживать
silliq[sound:silliq_1.mp3]                             |гладкий, полированный, отшлифованный
sim[sound:sim_1.mp3]                                   |1. проволока; 2. провод, провода
sinamoq[sound:sinamoq_1.mp3]                           |испытывать, проверять
sinf[sound:sinf_1.mp3]                                 |класс
sinfdosh[sound:sinfdosh_1.mp3]                         |товарищ по классу, одноклассник
sinmoq[sound:sinmoq_1.mp3]                             |ломаться, сломаться, разбиваться, разбиться
siqim[sound:siqim_1.mp3]                               |горсть, горстка
sira[sound:sira_1.mp3]                                 |совсем, совершенно, вовсе [см. hech]
sirka[sound:sirka_1.mp3]                               |уксус
sirpanmoq[sound:sirpanmoq_1.mp3]                       |скользнуть, поскользнуться
sirgʻanmoq[sound:sirg‘anmoq_1.mp3]                     |скользить, соскальзывать
sirgʻanchiq[sound:sirg‘anchiq_1.mp3]                   |скользкий
siyoh[sound:siyoh_1.mp3]                               |чернила
siz[sound:siz_1.mp3]                                   |вы
sigʻmoq[sound:sig‘moq_1.mp3]                           |вмещаться, умещаться, помещаться
sichqon[sound:sichqon_1.mp3]                           |мышь
singil[sound:singil_1.mp3]                             |младшая сестра, сестрёнка
soat[sound:soat_1.mp3]                                 |1. час; 2. часы
sohil[sound:sohil_1.mp3]                               |берег, берега
solmoq[sound:solmoq_1.mp3]                             |класть, положить, вкладывать, вложить
son[sound:son_1.mp3]                                   |число, количество
sop[sound:sop_1.mp3]                                   |ручка, рукоятка, черенок
soqol[sound:soqol_1.mp3]                               |борода
soqov[sound:soqov_1.mp3]                               |немой
soqovlanmoq[sound:soqovlanmoq_1.mp3]                   |заикаться
sotib olmoq[sound:sotib_olmoq_1.mp3]                   |покупать, купить
sotmoq[sound:sotmoq_1.mp3]                             |продавать, продать
sotuvchi[sound:sotuvchi_1.mp3]                         |продавец
sovimoq[sound:sovimoq_1.mp3]                           |остынуть, охлаждаться, остывать
sovun[sound:sovun_1.mp3]                               |мыло
sovuq[sound:sovuq_1.mp3]                               |1. холодный, морозный ; 2. холод, мороз
sovgʻa[sound:sovg‘a_1.mp3]                             |подарок, дар
soya[sound:soya_1.mp3]                                 |тень
soz[sound:soz_1.mp3]                                   |музыкальный инструмент
sozanda[sound:sozanda_1.mp3]                           |музыкант
sogʻ[sound:sog‘_1.mp3]                                 |здоровый
sogʻaymoq[sound:sog‘aymoq_1.mp3]                       |выздоравливать, излечиваться
sogʻinmoq[sound:sog‘inmoq_1.mp3]                       |скучать, соскучиться, тосковать
sogʻliq[sound:sog‘liq_1.mp3]                           |здоровье
sogʻlom[sound:sog‘lom_1.mp3]                           |здоровый
sogʻmoq[sound:sog‘moq_1.mp3]                           |доить
soch[sound:soch_1.mp3]                                 |волос, волосы
sochilmoq[sound:sochilmoq_1.mp3]                       |рассыпаться
sochiq[sound:sochiq_1.mp3]                             |полотенце
sochmoq[sound:sochmoq_1.mp3]                           |сыпать, рассыпать
sportchi[sound:sportchi_2.mp3]                         |спортсмен
suhbat[sound:suhbat_1.mp3]                             |беседа, разговор
suhbatlashmoq[sound:suhbatlashmoq_1.mp3]               |беседовать, вестибеседу, побеседовать
supurgi[sound:supurgi_1.mp3]                           |веник
supurmoq[sound:supurmoq_1.mp3]                         |подметать, мести, подмести
surat[sound:surat_1.mp3]                               |1. рисунок, картина; 2. фотография
surmoq[sound:surmoq_1.mp3]                             |1. двигать; 2. мазать
sut[sound:sut_1.mp3]                                   |молоко
suv[sound:suv_1.mp3]                                   |1. вода; 2. сок
suvarak[sound:suvarak_1.mp3]                           |таракан
suyak[sound:suyak_1.mp3]                               |кость
suyuq[sound:suyuq_1.mp3]                               |жидкий
suzmoq[sound:suzmoq_1.mp3]                             |плавать, плыть
sugʻormoq[sound:sug‘ormoq_1.mp3]                       |1. поливать, орошать; 2. полить
soʻkmoq[sound:so‘kmoq_1.mp3]                           |ругать, отругать, бранить
soʻlak[sound:so‘lak_1.mp3]                             |слюна
soʻlmoq[sound:so‘lmoq_1.mp3]                           |вянуть, увядать, блёкнуть
soʻnggi[sound:so‘nggi_1.mp3]                           |1. последний ; 2. последующий
soʻnmoq[sound:so‘nmoq_1.mp3]                           |гаснуть, тухнуть
soʻqmoq[sound:so‘qmoq_1.mp3]                           |тропинка
soʻramoq[sound:so‘ramoq_1.mp3]                         |спрашивать, спросить
soʻrashmoq[sound:so‘rashmoq_1.mp3]                     |здороваться
soʻroq[sound:so‘roq_1.mp3]                             |вопрос
soʻrgʻich[sound:so‘rg‘ich_1.mp3]                       |соска
soʻz[sound:so‘z_1.mp3]                                 |слово
soʻz bermoq[sound:so‘z_bermoq_1.mp3]                   |1. обещать; 2. предоставлять слово
soʻzlamoq[sound:so‘zIamoq_1.mp3]                       |говорить, сказать, рассказать
soʻngra[sound:so‘ngra_1.mp3]                           |1. после; 2. потом, затем
tabiat[sound:tabiat_1.mp3]                             |природа
tabriklamoq[sound:tabriklamoq_1.mp3]                   |поздравлять, поздравить
tag[sound:tag_1.mp3]                                   |низ, нижняя часть
tajriba[sound:tajriba_2.mp3]                           |опыт, эксперимент
takror[sound:takror_1.mp3]                             |повторение, повтор
takrorlamoq[sound:takrorlamoq_1.mp3]                   |повторять, повторить
talaba[sound:talaba_1.mp3]                             |студент
talaffuz[sound:talaffuz_2.mp3]                         |произношение
talay[sound:talay_1.mp3]                               |много, немало
tamom[sound:tamom_1.mp3]                               |конец; совершенно, полностью, совсем
tamomlamoq[sound:tamomlamoq_1.mp3]                     |кончать, кончить, заканчивать, закончить
tana[sound:tana_1.mp3]                                 |1. тело, туловище; 2. ствол
tanaffus[sound:tanaffus_1.mp3]                         |перерыв, перемена
tanbeh[sound:tanbeh_1.mp3]                             |замечание, предостережение, предупреждение
tanbeh bermoq[sound:tanbeh_bermoq_1.mp3]               |делать замечание
tanimoq[sound:tanimoq_1.mp3]                           |1. знать; 2. узнавать, узнать; 3. признавать, признать
tanish[sound:tanish_1.mp3]                             |знакомый
tanlamoq[sound:tanlamoq_1.mp3]                         |выбирать, отбирать, подбирать, выделять
taom[sound:taom_1.mp3]                                 |пища, еда [см. ovqat]
taqmoq[sound:taqmoq_1.mp3]                             |прицеплять, нацеплять, привешивать, привязывать, носить
taqsimlamoq[sound:taqsimlamoq_1.mp3]                   |1. делить, разделять; 2. раздавать, распределять
taraf[sound:taraf_1.mp3]                               |сторона, направление [см. tomon]
taramoq[sound:taramoq_1.mp3]                           |причёсывать, причесать, расчёсывать, расчесать
tarbiya[sound:tarbiya_1.mp3]                           |воспитание
tarbiyalamoq[sound:tarbiyalamoq_1.mp3]                 |1. воспитывать; 2. ухаживать, присматривать
tarbiyali[sound:tarbiyali_1.mp3]                       |воспитанный
tarbiyasiz[sound:tarbiyasiz_1.mp3]                     |1. невоспитанный ; 2. беспризорный
tarbiyachi[sound:tarbiyachi_1.mp3]                     |воспитатель
tarix[sound:tarix_1.mp3]                               |история
tarixiy[sound:tarixiy_1.mp3]                           |исторический
taroq[sound:taroq_1.mp3]                               |расчёска, гребёнка
tarozi[sound:tarozi_1.mp3]                             |весы
tartib[sound:tartib_1.mp3]                             |порядок
tartibli[sound:tartibli_1.mp3]                         |1. упорядоченный, аккуратный ; 2. дисциплинированный
tartibsiz[sound:tartibsiz_1.mp3]                       |беспорядочный, бессистемный, безалаберный
tarqalmoq[sound:tarqalmoq_1.mp3]                       |1. расходиться; 2. распространяться
tarvuz[sound:tarvuz_1.mp3]                             |арбуз
tasma[sound:tasma_1.mp3]                               |лента
tasodifan[sound:tasodifan_1.mp3]                       |случайно
taxir[sound:taxir_1.mp3]                               |горечь, терпкость
taxlamoq[sound:taxlamoq_2.mp3]                         |складывать, укладывать
taxta[sound:taxta_1.mp3]                               |доска
tayoq[sound:tayoq_1.mp3]                               |палка, дубинка
tayyor[sound:tayyor_1.mp3]                             |готовый
tayyorlamoq[sound:tayyorlamoq_1.mp3]                   |готовить, приготовить
tayyorlanmoq[sound:tayyorlanmoq_1.mp3]                 |готовиться, приготовиться
tagʻin[sound:tag‘in_1.mp3]                             |ещё, опять, снова
tashimoq[sound:tashimoq_1.mp3]                         |носить, переносить, таскать, перетаскивать
tashlamoq[sound:tashlamoq_1.mp3]                       |бросать, бросить, кидать, кинуть
tashna[sound:tashna_1.mp3]                             |жаждущий
tashnalik[sound:tashnalik_1.mp3]                       |жажда, желание пить [см. chanqov]
tanglay[sound:tanglay_1.mp3]                           |нёбо
taʼtil[sound:ta’til_1.mp3]                             |каникулы
tebranmoq[sound:tebranmoq_1.mp3]                       |качаться, шевелиться, колебаться
tegmoq[sound:tegmoq_1.mp3]                             |1. касаться, прикасаться; 2. трогать; 3. задевать; 4. доставать
tekin[sound:tekin_1.mp3]                               |даровой, бесплатный
tekinga[sound:tekinga_1.mp3]                           |даром, бесплатно
tekis[sound:tekis_1.mp3]                               |ровный, гладкий
tekislamoq[sound:tekislamoq_1.mp3]                     |ровнять, выровнять
tekshirish[sound:tekshirish_1.mp3]                     |проверка, поверка
tekshirmoq[sound:tekshirmoq_1.mp3]                     |проверять
telpak[sound:telpak_1.mp3]                             |тёплая шапка, треух [тёплая шапка со спускающимися наушниками]
temir[sound:temir_1.mp3]                               |железо, железный
tepa[sound:tepa_1.mp3]                                 |холм
tepalik[sound:tepalik_1.mp3]                           |возвышенность, холм
tepmoq[sound:tepmoq_1.mp3]                             |пинать, лягать
ter[sound:ter_1.mp3]                                   |пот
terak[sound:terak_1.mp3]                               |тополь
teri[sound:teri_1.mp3]                                 |кожа, шкура
terimchi[sound:terimchi_1.mp3]                         |сборщик
terlamoq[sound:terlamoq_1.mp3]                         |потеть, вспотеть
termoq[sound:termoq_1.mp3]                             |1. собирать, собрать; 2. расставлять, расставить
teskari[sound:teskari_1.mp3]                           |изнанка, обратная сторона
tevarak[sound:tevarak_1.mp3]                           |окружность; округа, окрестность [см. atrof]
tez[sound:tez_1.mp3]                                   |быстрый, скорый, быстро
tezlik[sound:tezlik_1.mp3]                             |быстрота, скорость
teshik[sound:teshik_1.mp3]                             |дыра, отверстие
teshmoq[sound:teshmoq_1.mp3]                           |пробивать, проделывать отверстие
teng[sound:teng_1.mp3]                                 |равный, одинаковый
tengdosh[sound:tengdosh_1.mp3]                         |ровесник, сверстник, однолеток
tenglamoq[sound:tenglamoq_1.mp3]                       |уравнивать, равнять
tenglik[sound:tenglik_1.mp3]                           |равенство
tikan[sound:tikan_2.mp3]                               |колючка, шип, заноза
tikilmoq[sound:tikilmoq_1.mp3]                         |уставиться, пристально смотреть
tikmoq[sound:tikmoq_1.mp3]                             |шить, тачать
tikuvchi[sound:tikuvchi_1.mp3]                         |портной, портниха
til[sound:til_1.mp3]                                   |1. язык; 2. язык, речь
tilak[sound:tilak_1.mp3]                               |1. желание, пожелание, цель, мечта; 2. пожелание
tilamoq[sound:tilamoq_1.mp3]                           |1. желать, хотеть; 2. выражатьпожелание
tilla[sound:tilla_1.mp3]                               |золото [см. oltin]
timsoh[sound:timsoh_1.mp3]                             |крокодил
tiniq[sound:tiniq_1.mp3]                               |прозрачный, чистый
tinmoq[sound:tinmoq_1.mp3]                             |1. отстаиваться [ожидкости]; 2. прекращаться, переставать
tinch[sound:tinch_1.mp3]                               |спокойный, тихий; спокойно, тихо
tinchimoq[sound:tinchimoq_1.mp3]                       |успокаиваться, утихать
tinchlanmoq[sound:tinchlanmoq_1.mp3]                   |успокаиваться
tinchlik[sound:tinchlik_1.mp3]                         |1. спокойствие, покой; 2. мир; 3. тишина
tipratikan[sound:tipratikan_2.mp3]                     |ёж [см. kirpi]
tirik[sound:tirik_1.mp3]                               |живой
tirishmoq[sound:tirishmoq_1.mp3]                       |стараться, прилагать усилия, стремиться
tirishqoq[sound:tirishqoq_1.mp3]                       |старательный, усердный
tirnamoq[sound:tirnamoq_1.mp3]                         |царапать, скрести
tirnoq[sound:tirnoq_1.mp3]                             |1. ноготь, ногти; 2. коготь, когти
tirsak[sound:tirsak_1.mp3]                             |локоть
tirtiq[sound:tirtiq_1.mp3]                             |шрам
titramoq[sound:titramoq_1.mp3]                         |трястись, дрожать
titroq[sound:titroq_2.mp3]                             |трепетать, трепетание, дрожь
tiyin[sound:tiyin_1.mp3]                               |копейка
tizza[sound:tizza_1.mp3]                               |колено, колени
tish[sound:tish_1.mp3]                                 |зуб
