|word_deu|part_of_speech_deu|word_eng|sentence_deu|sentence_eng|sentence_lemmatized_deu
62135.0|anwidern|verb|to disgust|Die Unordnung kann viele Menschen anwidern, deshalb räumen wir auf.|The mess can disgust many people, so we are cleaning up.|der;Unordnung;können;vieler;Mensch;anwidern;deshalb;aufräumen;wir;auf
62165.0|sprießen|verb|to sprout|Die Blumen fangen an, bei der ersten Wärme des Frühlings zu sprießen.|The flowers begin to sprout with the first warmth of spring.|der;Blume;anfangen;an;bei;der;erster;Wärme;der;Frühling;zu;sprießen
62222.0|tönen|verb|to sound|Die Instrumente werden im Orchester zusammen tönen und harmonieren.|The instruments will sound together in harmony in the orchestra.|der;Instrument;werden;in;Orchester;zusammen;tönen;und;harmonieren
62785.0|der Pfad|noun|the path|Der schmale Pfad führt direkt zum Aussichtspunkt über das Tal.|The narrow path leads directly to the viewpoint over the valley.|der;schmal;Pfad;führen;direkt;zu;Aussichtspunkt;über;der;Tal
62892.0|das Visier|noun|the visor|Das Visier des Helms schützte seine Augen vor der grellen Sonne.|The visor of the helmet protected his eyes from the glaring sun.|der;Visier;der;Helm;schützen;sein;Auge;vor;der;grell;Sonne
63210.0|überspringen|verb|to skip|Du kannst eine Seite im Buch überspringen, wenn sie dir nicht gefällt.|You can skip a page in the book if you don't like it.|du;kannst;ein;Seite;in;Buch;überspringen;wenn;sie;dir;nicht;gefällen
63321.0|der Besserwisser|noun|the know-it-all|Der Besserwisser im Kurs hat immer die besten Lösungen parat.|The know-it-all in the class always has the best solutions ready.|der;Besserwisser;in;Kurs;parathaben;immer;der;gut;Lösung;parat
63417.0|stressen|verb|to stress|Lass dich nicht von der Arbeit stressen, entspann dich lieber.|Don't let work stress you; rather, relax.|Lass;dich;nicht;von;der;Arbeit;stressen;entspann;dich;lieber
63513.0|das Umfeld|noun|the environment|Ein unterstützendes Umfeld ist wichtig für das Wachstum von Kindern.|A supportive environment is important for children's growth.|ein;unterstützend;Umfeld;sein;wichtig;für;der;Wachstum;von;Kind
63519.0|schnackseln|verb|to copulate|Die Vögel begannen zu schnackseln, als das Frühjahr näher rückte.|The birds began to copulate as spring approached.|der;Vögel;beginnen;zu;schnackseln;als;der;Frühjahr;nah;rücken
63568.0|die Geflügelschere|noun|the poultry shears|Die Geflügelschere wird bei der Zubereitung des Hähnchens genutzt.|The poultry shears are used when preparing the chicken.|der;Geflügelschere;werden;bei;der;Zubereitung;der;Hähnchen;nutzen
63573.0|knacken|verb|to crack|Sie wollte den geheimen Code endlich knacken und das Rätsel lösen.|She wanted to finally crack the secret code and solve the puzzle.|sie;wollen;der;geheim;Code;endlich;knacken;und;der;Rätsel;lösen
63593.0|der Kleiderschrank|noun|the wardrobe|Der Kleiderschrank im Schlafzimmer war überfüllt mit alten Kleidern.|The wardrobe in the bedroom was overflowing with old clothes.|der;Kleiderschrank;in;Schlafzimmer;sein;überfüllt;mit;alt;Kleid
63754.0|die Schore|noun|the scum|Die Schore auf dem Wasser deutete auf die Verschmutzung des Sees hin.|The scum on the water indicated pollution in the lake.|der;Schore;auf;der;Wasser;hindeuten;auf;der;Verschmutzung;der;Se;hin
63756.0|der Zoll|noun|the customs|Der Zoll kontrollierte das Gepäck gründlich auf verbotene Gegenstände.|Customs thoroughly checked the luggage for prohibited items.|der;Zoll;kontrollieren;der;Gepäck;gründlich;auf;verboten;Gegenstand
63756.001|das Zoll|noun|the customs|Das Zoll war streng, als wir die Grenze mit unseren Waren überquerten.|The customs were strict as we crossed the border with our goods.|der;Zoll;sein;streng;als;wir;der;Grenze;mit;unser;Ware;überqueren
63759.0|der Wohnwagen|noun|the caravan|Der Wohnwagen auf dem Campingplatz war groß und gut ausgestattet.|The caravan at the campsite was large and well-equipped.|der;Wohnwagen;auf;der;Campingplatz;sein;groß;und;gut;ausstatten
63764.0|verwirren|verb|to confuse|Die komplizierte Anleitung kann viele neue Benutzer verwirren.|The complicated instruction can confuse many new users.|der;kompliziert;Anleitung;können;vieler;neu;Benutzer;verwirren
63779.0|die Bong|noun|the bong|Die Bong in der Ecke des Raumes war eine ausgefallene Dekoration.|The bong in the corner of the room was an unusual decoration.|der;Bong;in;der;Ecke;der;Raum;sein;ein;ausgefallen;Dekoration
63798.0|die Harke|noun|the rake|Mit der Harke räumte ich die Blätter aus dem Garten zusammen.|With the rake, I gathered the leaves from the garden.|mit;der;Harke;zusammenräumen;ich;der;Blätter;aus;der;Garten;zusammen
63925.0|der Stiefbruder|noun|the stepbrother|Der Stiefbruder half mir mit den Hausaufgaben und war sehr geduldig.|The stepbrother helped me with my homework and was very patient.|der;Stiefbruder;helfen;mir;mit;der;Hausaufgabe;und;sein;sehr;geduldig
63937.0|das Landgericht|noun|the district court|Das Landgericht ist heute mit wichtigen Verfahren beschäftigt.|The district court is busy today with important cases.|der;Landgericht;sein;heute;mit;wichtig;Verfahren;beschäftigen
64000.0|die Treibjagd|noun|the driven hunt|Die Treibjagd bringt viele Jäger zusammen und fördert den Austausch.|The driven hunt brings many hunters together and promotes exchange.|der;Treibjagd;zusammenbringen;vieler;Jäger;zusammen;und;fördern;der;Austausch
64004.0|Standspur|noun|the shoulder|Die Polizei bat die Fahrer, die Standspur für Notfälle freizuhalten.|The police asked drivers to keep the shoulder clear for emergencies.|der;Polizei;bitten;der;Fahrer;der;Standspur;für;Notfall;freihalten
64007.0|das GG|noun|the constitution|Das GG garantiert die Grundrechte der Bürger in Deutschland.|The constitution guarantees the fundamental rights of citizens in Germany.|der;GG;garantieren;der;Grundrecht;der;Bürger;in;Deutschland
64011.0|verkünden|verb|to announce|Der Bürgermeister wird morgen wichtige Neuigkeiten verkünden.|The mayor will announce important news tomorrow.|der;Bürgermeister;werden;morgen;wichtig;Neuigkeit;verkünden
64027.0|der Schriftsatz|noun|the legal brief|Der Schriftsatz war entscheidend für den Ausgang des Prozesses.|The legal brief was crucial for the outcome of the trial.|der;Schriftsatz;sein;entscheidend;für;der;Ausgang;der;Prozeß
64038.0|die Titelseite|noun|the cover page|die Titelseite des Magazins ist farbenfroh und ansprechend gestaltet.|the cover page of the magazine is colorful and attractively designed.|der;Titelseite;der;Magazin;sein;farbenfroh;und;ansprechend;gestalten
64039.0|die Lügenpresse|noun|the lying press|Die Lügenpresse wird oft kritisiert für ihre ungenauen Berichte.|The lying press is often criticized for its inaccurate reports.|der;Lügenpresse;werden;oft;kritisieren;für;ihr;ungenau;Bericht
64068.0|die Judikative|noun|the judiciary|Die Judikative ist unabhängig und wahrt die Gesetze des Landes.|The judiciary is independent and upholds the laws of the country.|der;Judikative;sein;unabhängig;und;wahren;der;Gesetz;der;Land
64070.0|der Schutzbereich|noun|the area of protection|Dieser Schutzbereich ist für die bedrohte Tierart von hoher Bedeutung.|This area of protection is highly significant for the endangered species.|dieser;Schutzbereich;sein;für;der;bedroht;Tierart;von;hoch;Bedeutung
64078.0|der Kieferbruch|noun|the jaw fracture|Er hat sich beim Sturz einen Kieferbruch zugezogen und leidet sehr.|He suffered a jaw fracture in the fall and is in great pain.|er;haben;sich;bei;Sturz;ein;Kieferbruch;zugezogen;und;leiden;sehr
64095.0|der Rechtsstaat|noun|the constitutional state|In einem Rechtsstaat werden die Grundrechte der Bürger geachtet.|In a constitutional state, the fundamental rights of citizens are respected.|in;ein;Rechtsstaat;werden;der;Grundrecht;der;Bürger;achten
64121.0|das Fax|noun|the fax|Das Fax erzielte die Verzögerung und schickte wichtige Unterlagen.|The fax caused the delay and sent important documents.|der;Fax;erzielen;der;Verzögerung;und;schicken;wichtig;Unterlage
64130.0|das Jabot|noun|the jabot|Das Jabot aus feiner Spitze verleiht dem Kleid einen eleganten Touch.|The jabot made of fine lace gives the dress an elegant touch.|der;Jabot;aus;fein;Spitze;verleihen;der;Kleid;ein;elegant;Touch
64183.0|abblättern|verb|to peel off|Die alte Farbe blätterte ab und machte den Fensterrahmen unschön.|The old paint began to peel off, making the window frame unsightly.|der;alt;Farbe;abblättern;ab;und;machen;der;Fensterrahmen;unschön
64187.0|der Tick|noun|the tic|Sein Tick war es, immer wieder die gleichen Sätze zu wiederholen.|His tic was to repeat the same sentences over and over again.|sein;Tick;sein;es;immer;wieder;der;gleich;Satz;zu;wiederholen
64188.0|der Tacker|noun|the stapler|Der Tacker klemmt manchmal, wenn man zu viele Blätter zusammenheftet.|The stapler sometimes jams when you staple too many sheets together.|der;Tacker;klemmen;manchmal;wenn;man;zu;vieler;Blatt;zusammenheften
64203.0|mahlen|verb|to grind|Die Mühle wird die Körner mahlen, um frisches Mehl herzustellen.|The mill will grind the grains to produce fresh flour.|der;Mühle;werden;der;Korn;mahlen;um;frisch;Mehl;herstellen
64204.0|die Justiz|noun|the justice|Die Justiz sollte unparteiisch agieren, um Vertrauen zu gewinnen.|The justice should act impartially to gain trust.|der;Justiz;sollen;unparteiisch;agieren;um;vertrauen;zu;gewinnen
64209.0|weisungsgebunden|adjective|bound by instructions|Die Angestellten sind weisungsgebunden und folgen strikt den Vorgaben.|The employees are bound by instructions and strictly follow the guidelines.|der;angestellter;sein;weisungsgebunden;und;folgen;strikt;der;Vorgabe
64215.0|die Akte|noun|the file|Die Akte des Falls wurde in einen Sicherheitsraum verschlossen.|The file of the case was locked away in a secure room.|der;Akte;der;Fall;werden;in;ein;Sicherheitsraum;verschließen
64227.0|die Staatsanwältin|noun|the prosecutor|Die Staatsanwältin führte die Anklage mit außerordentlicher Präzision.|The prosecutor led the charges with extraordinary precision.|der;Staatsanwältin;führen;der;Anklage;mit;außerordentlich;Präzision
64230.0|die Anklage|noun|the accusation|Die Anklage gegen ihn war aufgrund fehlender Beweise fallengelassen.|The accusation against him was dropped due to lack of evidence.|der;Anklage;gegen;ihn;sein;aufgrund;fehlend;Beweis;fallengelassen
64247.0|die Robe|noun|the robe|Sie trug eine prachtvolle Robe zur Gala, die alle bewunderten.|She wore a splendid robe to the gala, which everyone admired.|sie;tragen;ein;prachtvoll;Robe;zu;Gala;der;alle;bewunderen
64255.0|der Instanzenzug|noun|the chain of instances|Der Instanzenzug im Gerichtssystem kann lange und frustrierend sein.|The chain of instances in the judicial system can be long and frustrating.|der;Instanzenzug;in;Gerichtssystem;können;lange;und;frustrierend;sein
64263.0|die Mucke|noun|the music|Die Mucke spielte laut, während alle auf dem Tanzboden schwenkten.|The music played loudly while everyone swayed on the dance floor.|der;Mucke;spielen;laut;während;alle;auf;der;Tanzboden;schwenken
64295.0|Volljurist|noun|the full lawyer|Der Volljurist berät seine Klienten professionell in Legalfragen.|The full lawyer advises his clients professionally on legal issues.|der;Volljurist;beraten;sein;Klient;professionell;in;Legalfrage
64304.0|richten|verb|to straighten|Die Tischlerin wird das Regal noch richten, damit es gerade steht.|The carpenter will still straighten the shelf so that it stands straight.|der;Tischlerin;werden;der;Regal;noch;richten;damit;es;gerade;stehen
64507.0|stramm|adjective|tight|Die Schnürsenkel seiner Schuhe waren stramm gebunden für den Lauf.|The laces of his shoes were tied tight for the run.|der;Schnürsenkel;sein;Schuh;sein;stramm;binden;für;der;Lauf
64647.0|überholen|verb|to overtake|Er wollte das langsam fahrende Auto auf der Landstraße überholen.|He wanted to overtake the slowly moving car on the country road.|er;wollen;der;langsam;fahrend;Auto;auf;der;Landstraße;überholen
64651.0|der Blinker|noun|the turn signal|Der Blinker zeigt an, dass das Auto nach links abbiegen will.|The turn signal indicates that the car wants to turn left.|der;Blinker;anzeigen;an;dass;der;Auto;nach;links;abbiegen;wollen
64691.0|die Kunstfigur|noun|the puppet|Die Kunstfigur tanzte anmutig im Scheinwerferlicht der Show.|The puppet danced gracefully in the spotlight of the show.|der;Kunstfigur;tanzen;anmutig;in;Scheinwerferlicht;der;Show
64721.0|die Scheide|noun|the sheath|Die Scheide des Schwertes war kunstvoll verziert und glänzend.|The sheath of the sword was artistically adorned and shiny.|der;Scheide;der;Schwert;sein;kunstvoll;verzieren;und;glänzend
64745.0|die Streiterei|noun|the quarrel|Die Streiterei zwischen den Nachbarn nahm ernsthafte Ausmaße an.|The quarrel between the neighbors escalated into serious proportions.|der;Streiterei;zwischen;der;Nachbar;annehmen;ernsthaft;Ausmaß;an
64788.0|das Abi|noun|the high school diploma|Das Abi ist ein wichtiger Schritt in die akademische Laufbahn.|The high school diploma is an important step in the academic career.|der;Abi;sein;ein;wichtig;Schritt;in;der;akademisch;Laufbahn
64788.001|der Abi|noun|the high school diploma|Das Abi ist für viele Schüler der Höhepunkt ihrer Schulzeit.|The high school diploma is for many students the highlight of their school time.|der;Abi;sein;für;vieler;Schüler;der;Höhepunkt;ihr;Schulzeit
64808.0|versenken|verb|to sink|Der Kapitän befahl, das beschädigte Schiff schnell zu versenken.|The captain commanded to sink the damaged ship quickly.|der;Kapitän;befehlen;der;beschädigt;Schiff;schnell;zu;versenken
64820.0|das Geheul|noun|the howling|Das Geheul der Wölfe in der Nacht war faszinierend und gruselig.|The howling of the wolves at night was fascinating and eerie.|der;Geheul;der;Wölfe;in;der;Nacht;sein;faszinierend;und;gruselig
64846.0|der Biber|noun|the beaver|Der Biber baute emsig an seinem damm, um einen Teich zu schaffen.|The beaver worked diligently on its dam to create a pond.|der;Biber;bauen;emsig;an;sein;Damm;um;ein;Teich;zu;schaffen
64899.0|prollig|adjective|tacky|Die prolligen Werbespots im Fernsehen sind oft schwer zu ertragen.|The tacky ads on television are often hard to endure.|der;prollig;Werbespot;in;Fernsehen;sein;oft;schwer;zu;ertragen
65119.0|das Beta|noun|the beta|Das Beta der Software wurde an eine Gruppe loyaler Tester geschickt.|The beta of the software was sent to a group of loyal testers.|der;Beta;der;Software;werden;an;ein;Gruppe;loyal;Tester;schicken
65133.0|innerhalb|adverb|within|Innerhalb weniger Minuten war die Straßensperre wieder aufgehoben.|Within a few minutes, the roadblock was lifted again.|innerhalb;weniger;Minute;sein;der;Straßensperre;wieder;aufheben
65225.0|der Feinripp|noun|the ribbed fabric|Der Feinripp wird oft zur Herstellung von bequemen T-Shirts verwendet.|The ribbed fabric is often used to make comfortable t-shirts.|der;Feinripp;werden;oft;zu;Herstellung;von;bequem;T-Shirt;verwenden
65227.0|der Schießer|noun|the shooter|Der Schießer zielte präzise auf die Zielscheibe und traf das Zentrum.|The shooter aimed precisely at the target and hit the center.|der;Schießer;zielen;präzise;auf;der;Zielscheibe;und;treffen;der;Zentrum
65263.0|der Leistungskurs|noun|the advanced course|Der Leistungskurs in Mathematik fordert die Schüler täglich heraus.|The advanced course in mathematics challenges students every day.|der;Leistungskurs;in;Mathematik;herausfordern;der;Schüler;täglich;heraus
65418.0|die Klappe|noun|the flap|Die Klappe des Kästchens öffnete sich mit einem leisen Knarren.|The flap of the box opened with a soft creak.|der;Klappe;der;Kästchen;öffnen;sich;mit;ein;leise;Knarren
65433.0|die Polizeigewerkschaft|noun|the police union|Die Polizeigewerkschaft fordert höhere Löhne für die Beamten.|The police union demands higher wages for the officers.|der;Polizeigewerkschaft;fordern;hoch;Lohn;für;der;Beamter
65469.0|rumpöbeln|verb||Die Jugendlichen fingen an, rumpöbeln und den Platz zu belagern.|The teenagers started to be rowdy and took over the place.|der;jugendliche;anfingen;an;rumpöbeln;und;der;Platz;zu;belagern
65481.0|Räumpanzer|noun|the mine-clearance vehicle|Der Räumpanzer schnitt durch die Trümmer und räumte den Weg frei.|The mine-clearance vehicle cut through the rubble and cleared the way.|der;Räumpanzer;schnitt;durch;der;Trümmer;und;freiräumen;der;Weg;frei
65497.0|blöken|verb|to bleat|Die Schafe blöken laut auf der grünen Wiese, während sie grasen.|The sheep bleat loudly in the green meadow as they graze.|der;Schaf;blöken;laut;auf;der;grün;Wiese;während;sie;grasen
65506.0|vertreten|verb|to represent|Wir müssen unsere Interessen gut vertreten, um Gehör zu finden.|We must represent our interests well to get heard.|wir;müssen;unser;Interesse;gut;vertreten;um;Gehör;zu;finden
65518.0|das Sprachrohr|noun|the megaphone|Der Aktivist benutzte das Sprachrohr, um die Menge zu mobilisieren.|The activist used the megaphone to mobilize the crowd.|der;Aktivist;benutzen;der;Sprachrohr;um;der;Menge;zu;mobilisieren
65534.0|schimpfen|verb|to scold|Die Lehrerin begann mit schimpfen, als die Schüler lauthals redeten.|The teacher started to scold when the students talked loudly.|der;Lehrerin;beginnen;mit;schimpfen;als;der;Schüler;lauthals;reden
65537.0|der Moslem|noun|the Muslim|Der Moslem erklärte, wie wichtige Feiertage im Islam gefeiert werden.|The Muslim explained how important holidays in Islam are celebrated.|der;Moslem;erklären;wie;wichtig;Feiertag;in;Islam;feiern;werden
65546.0|das Sonderrecht|noun|the special right|Das Sonderrecht gewährte einige Privilegien im alten Königreich.|The special right granted some privileges in the old kingdom.|der;Sonderrecht;gewähren;einiger;Privilegien;in;alt;Königreich
65554.0|der Beamter|noun|the civil servant|Der Beamter half mir bei der Einreichung der Steuererklärung.|The civil servant helped me with the submission of the tax return.|der;Beamter;helfen;mir;bei;der;Einreichung;der;Steuererklärung
65559.0|der Aufsichtsrat|noun|the supervisory board|Der Aufsichtsrat hat beschlossen, die Unternehmensstrategie zu ändern.|The supervisory board has decided to change the corporate strategy.|der;Aufsichtsrat;haben;beschließen;der;Unternehmensstrategie;zu;ändern
65570.0|Beamtenbund|noun|the civil service union|Der Beamtenbund kämpft für bessere Arbeitsbedingungen und Gehälter.|The civil service union fights for better working conditions and salaries.|der;Beamtenbund;kämpfen;für;gut;Arbeitsbedingung;und;Gehalt
65572.0|das Polizeipräsidium|noun|the police headquarters|Ich suchte das Polizeipräsidium wegen einer Schlichtung auf.|I visited the police headquarters for a mediation.|ich;aufsuchen;der;Polizeipräsidium;wegen;ein;Schlichtung;auf
65642.0|das Grundrecht|noun|the fundamental right|Das Grundrecht auf Freiheit ist in unserer Verfassung verankert.|The fundamental right to freedom is enshrined in our constitution.|der;Grundrecht;auf;Freiheit;sein;in;unser;Verfassung;verankern
65645.0|verachten|verb|to despise|Er konnte nicht anders, als den Betrüger zu verachten und zu meiden.|He could not help but despise the fraud and avoid him.|er;können;nicht;anders;als;der;Betrüger;zu;verachten;und;zu;meiden
65660.0|die Straftat|noun|the crime|Die Straftat wurde entlarvt und die Täter zur Rechenschaft gezogen.|The crime was uncovered, and the perpetrators were held accountable.|der;Straftat;werden;entlarven;und;der;Täter;zu;Rechenschaft;ziehen
65715.0|der Schutzmann|noun|the police officer|Der Schutzmann regelte den Verkehr an der belebten Kreuzung.|The police officer directed traffic at the busy intersection.|der;Schutzmann;regeln;der;Verkehr;an;der;belebt;Kreuzung
65718.0|der Nafri|noun|the person of North African descent|Der Nafri war bekannt für seine Exzellent im Geschichtswissen.|The person of North African descent was known for his excellence in historical knowledge.|der;Nafri;sein;bekannt;für;sein;Exzellent;in;Geschichtswissen
65721.0|die Zecke|noun|the tick|Die Zecke kann Krankheiten übertragen, daher ist Vorsicht geboten.|The tick can transmit diseases, so caution is advised.|der;Zecke;können;Krankheit;übertragen;daher;sein;Vorsicht;gebieten
65771.0|eitel|adjective|vain|Der eitle Junge kann sich nicht von seinem Spiegelbild abwenden.|The vain boy cannot turn away from his reflection.|der;eitel;Junge;können;sich;nicht;von;sein;Spiegelbild;abwenden
65784.0|Hauptkommissar|noun|the chief inspector|Der Hauptkommissar führte die Ermittlungen mit großer Autorität durch.|The chief inspector conducted the investigations with great authority.|der;Hauptkommissar;durchführen;der;Ermittlung;mit;groß;Autorität;durch
65806.0|eigennützig|adjective|selfish|Sein eigennütziges Verhalten behinderte die Teamarbeit erheblich.|His selfish behavior significantly hindered teamwork.|sein;eigennützig;verhalten;behindern;der;Teamarbeit;erheblich
65879.0|kassieren|verb|to collect|Die Verkäuferin musste täglich viele Zahlungen kassieren und zählen.|The saleswoman had to collect and count many payments daily.|der;Verkäuferin;musste;täglich;vieler;Zahlung;kassieren;und;zählen
65902.0|die Order|noun|the order|Die Order vom Chef erfordert eine sofortige Umsetzung aller Pläne.|The order from the boss requires immediate implementation of all plans.|der;Order;von;Chef;erfordern;ein;sofortig;Umsetzung;aller;Plan
65903.0|der Zugriff|noun|the access|Der Zugriff auf die Daten ist nur für autorisierte Benutzer erlaubt.|Access to the data is only allowed for authorized users.|der;Zugriff;auf;der;Datum;sein;nur;für;autorisiert;Benutzer;erlauben
65927.0|videoüberwacht|adjective|video-monitored|Die videoüberwachte Lagerhalle sorgt für erhöhte Sicherheit.|The video-monitored warehouse ensures greater security.|der;videoüberwacht;Lagerhalle;sorgen;für;erhöht;Sicherheit
66053.0|Tanzbein|noun|the dancing leg|Das Tanzbein schwingt freudig auf der Tanzfläche während der Party.|The dancing leg swings joyfully on the dance floor during the party.|der;Tanzbein;schwingen;freudig;auf;der;Tanzfläche;während;der;Party
66060.0|hingebungsvoll|adjective|devoted|Die hingebungsvolle Pflege machte den Unterschied für das kranke Tier.|The devoted care made the difference for the sick animal.|der;hingebungsvoll;Pflege;machen;der;Unterschied;für;der;krank;Tier
66269.0|fügen|verb|to add|Ich werde noch eine Prise Salz hinzufügen, um den Geschmack zu fügen.|I will add a pinch of salt to enhance the flavor.|ich;werden;noch;ein;Prise;Salz;hinzufügen;um;der;Geschmack;zu;fügen
66273.0|das Geschick|noun|the skill|Sein Geschick im Umgang mit Werkzeugen beeindruckte alle im Workshop.|His skill in handling tools impressed everyone in the workshop.|sein;Geschick;in;Umgang;mit;Werkzeug;beeindrucken;alle;in;Workshop
66281.0|einrahmen|verb|to frame|Sie möchte ihr Lieblingsfoto in einem schönen Rahmen einrahmen.|She wants to frame her favorite photo in a beautiful frame.|sie;möchten;ihr;Lieblingsfoto;in;ein;schön;Rahmen;einrahmen
66334.0|beschäftigen|verb|to occupy|Um sich zu beschäftigen, malte sie ein riesiges Wandbild im Garten.|To occupy herself, she painted a huge mural in the garden.|um;sich;zu;beschäftigen;malen;sie;ein;riesig;Wandbild;in;Garten
66573.0|der Schaffner|noun|conductor|Der Schaffner kontrollierte die Fahrkarten während der Zugfahrt.|The conductor checked the tickets during the train ride.|der;Schaffner;kontrollieren;der;Fahrkarte;während;der;Zugfahrt
66595.0|die Kasse|noun|cash register|Die Kasse im Supermarkt piepte, als der Kassierer die Waren scannte.|The cash register beeped as the cashier scanned the goods.|der;Kasse;in;Supermarkt;piepen;als;der;Kassierer;der;Ware;scannen
66601.0|abwarten|verb|to wait|Wir sollten abwarten, ob das Wetter sich vor dem Grillen bessert.|We should wait and see if the weather improves before the barbecue.|wir;sollen;abwarten;ob;der;Wetter;sich;vor;der;Grillen;bessern
66644.0|die Fuge|noun|the joint|Die Fuge zwischen den Fliesen ist perfekt und teils unsichtbar.|The joint between the tiles is perfect and partly invisible.|der;Fuge;zwischen;der;Fliese;sein;perfekt;und;teils;unsichtbar
66652.0|die Diskokugel|noun|the disco ball|Die Diskokugel schimmerte im Licht und versetzte alle in Feierlaune.|The disco ball shimmered in the light, putting everyone in a party mood.|der;Diskokugel;schimmern;in;Licht;und;versetzen;alle;in;Feierlaune
66684.0|ansetzen|verb|to set on|Die Technik wird beim ersten Aufeinandertreffen des Reiters angesetzt.|The technique is set on when the rider meets the horse for the first time.|der;Technik;werden;bei;erster;aufeinandertreffen;der;Reiter;ansetzen
66700.0|üblich|adjective|usual|Es ist üblich, bei Feierlichkeiten Geschenke zu überreichen.|It is usual to give gifts during celebrations.|es;sein;üblich;bei;Feierlichkeit;Geschenk;zu;überreichen
66716.0|der Hiwi|noun|the student assistant|Der Hiwi hilft den Professoren bei der Forschung und in der Lehre.|The student assistant helps the professors with research and teaching.|der;Hiwi;helfen;der;Professor;bei;der;Forschung;und;in;der;Lehre
66724.0|die Kanne|noun|the pot|Die Kanne auf dem Herd kocht Wasser für den aromatischen Tee.|The pot on the stove is boiling water for the aromatic tea.|der;Kanne;auf;der;Herd;kochen;Wasser;für;der;aromatisch;Tee
66851.0|vielmehr|adverb|rather|Ich fühle mich heute eher müde, vielmehr erschöpft von der Arbeit.|I feel rather tired today, exhausted rather than sleepy from work.|ich;fühlen;sich;heute;eher;müde;vielmehr;erschöpfen;von;der;Arbeit
66855.0|die Einstellung|noun|the attitude|Ihre positive Einstellung half ihr, alle Herausforderugen zu meistern.|Her positive attitude helped her master all challenges.|ihr;positiv;Einstellung;helfen;ihr;aller;Herausforderugen;zu;meistern
66862.0|ausfüllen|verb|to fill out|Die Teilnehmer müssen das Formular ausfüllen, um sich zu registrieren.|The participants must fill out the form to register.|der;Teilnehmer;müssen;der;Formular;ausfüllen;um;sich;zu;registrieren
66906.0|soweit|adverb|as far as|Soweit ich weiß, plant die Stadt ein neues Schwimmbad zu eröffnen.|As far as I know, the city plans to open a new swimming pool.|soweit;ich;wissen;planen;der;Stadt;ein;neu;Schwimmbad;zu;eröffnen
66950.0|allerneust|adjective|totally new|Das allerneuste Modell des Autos ist ein technisches Meisterwerk.|The totally new model of the car is a technical masterpiece.|der;allerneust;Modell;der;Auto;sein;ein;technisch;Meisterwerk
66960.0|verjagen|verb|to scare away|Mit lauten Geräuschen kann man die Tauben vom Balkon verjagen.|With loud noises, you can scare away the pigeons from the balcony.|mit;laut;Geräuschen;können;man;der;Taube;von;Balkon;verjagen
67069.0|der Kreisverkehr|noun|the roundabout|Der Kreisverkehr erleichtert die Anfahrt zu den umliegenden Straßen.|The roundabout eases access to the surrounding roads.|der;Kreisverkehr;erleichtern;der;Anfahrt;zu;der;umliegend;Straße
67155.0|abgebrannt|adjective|burnt down|Das abgebrannte Haus wurde zum Mittelpunkt der Anwohner-Diskussion.|The burnt down house became the center of the residents' discussion.|der;abgebrannt;Haus;werden;zu;Mittelpunkt;der;Anwohner-Diskussion
67180.0|echauffieren|verb|to agitate|Sie echauffierten sich über die langen Wartezeiten in der Schlange.|They agitated about the long waiting times in the queue.|sie;echauffieren;sich;über;der;lang;Wartezeit;in;der;Schlange
67207.0|der Fahrschein|noun|the ticket|Der Fahrschein für die U-Bahn ist sehr preiswert und bequem.|The ticket for the subway is very affordable and convenient.|der;Fahrschein;für;der;U-Bahn;sein;sehr;preiswert;und;bequem
67237.0|die Missgeburt|noun|the monstrosity|Die Missgeburt wurde in der alten Legende als Ungeheuer beschrieben.|The monstrosity was described in the old legend as a monster.|der;Missgeburt;werden;in;der;alt;Legende;als;Ungeheuer;beschreiben
67247.0|die Provision|noun|the commission|Die Provision für den销售 beträgt zehn Prozent des Gesamtbetrags.|The commission for the sales is ten percent of the total amount.|der;Provision;für;den销售;betragen;zehn;Prozent;der;Gesamtbetrag
67248.0|verhuren|verb|to whore out|Die Agentur versucht, Models zu verhuren für das Filmprojekt.|The agency tries to whore out models for the film project.|der;Agentur;versuchen;Model;zu;verhuren;für;der;Filmprojekt
67307.0|ehrenwert|adjective|honorable|Der ehrenwert Mann war bekannt für seine unerschütterliche Integrität.|The honorable man was known for his unwavering integrity.|der;ehrenwert;Mann;sein;bekannt;für;sein;unerschütterlich;Integrität
67369.0|der Wutanfall|noun|the temper tantrum|Der Wutanfall des Kindes sorgte für Verwirrung im Spielzeugladen.|The temper tantrum of the child caused confusion in the toy store.|der;Wutanfall;der;Kind;sorgen;für;Verwirrung;in;Spielzeugladen
67371.0|besorgen|verb|to obtain|Er konnte die benötigten Unterlagen schnell besorgen und einreichen.|He was able to obtain the required documents quickly and submit them.|er;können;der;benötigt;Unterlage;schnell;besorgen;und;einreichen
67377.0|der Bundespresseball|noun|the federal press ball|Der Bundespresseball war ein glanzvolles Ereignis in der Hauptstadt.|The federal press ball was a glamorous event in the capital.|der;Bundespresseball;sein;ein;glanzvoll;Ereignis;in;der;Hauptstadt
67388.0|die Konjunktur|noun|the economy|Die Konjunktur zeigt Anzeichen der Erholung nach der langen Krise.|The economy shows signs of recovery after the long crisis.|der;Konjunktur;zeigen;Anzeichen;der;Erholung;nach;der;lang;Krise
