|word_deu|part_of_speech|word_eng
15432.0|stop|Verb|to stop
15433.0|Take|verb|take
15438.0|off|adverb|off
15445.0|die More|Nomen|the moor
15446.0|die Champagne|Noun|champagne
15449.0|das Game|noun|game
15455.0|Do|noun|do
15472.0|real|adjective|real
15474.0|das I|Noun|I
15481.0|huh|Interjection|huh
15486.0|a|letter|a
15487.0|der Body|noun|body
15497.0|love|noun|love
15575.0|flexibel|adjective|flexible
15576.0|die Arbeitszeit|noun|working hours
15580.0|die Agentur|noun|the agency
15591.0|die After-Work-Party|Noun|after work party
15594.0|der Chef|noun|boss
15612.0|sympathisch|Adjective|sympathetic
15614.0|seriös|adjective|serious
15615.0|das Foto|noun|photo
15615.001|die Foto|Nomen|the photo
15615.002|der Foto|noun|photo
15705.0|die Tasche|noun|bag
15708.0|der Bordeaux|noun|Bordeaux
15718.0|ungefähr|adjective|approximately
15722.0|verstecken|verb|to hide
15742.0|das Auto|noun|car
15778.0|der Juni|Nomen|June
15790.0|das Ticket|noun|the ticket
15810.0|tagelang|adverb|for days
15823.0|tanzen|verb|dance
15839.0|weinen|Verb|to cry
15900.0|irgendein|pronoun|any
15901.0|der Sinn|noun|sense
15901.001|die Sinn|noun|senses
15911.0|die Wand|noun|wall
15917.0|der Moment|noun|moment
15917.001|das Moment|noun|the moment
15919.0|das Gegenteil|noun|opposite
15934.0|sicken|verb|settle
15991.0|der Arsch|noun|butt
15999.0|defekt|adjective|defective
16001.0|die Gesellschaft|noun|society
16034.0|der Großvater|Nomen|the grandfather
16037.0|fünfzehn|numeral|fifteen
16056.0|irgendwie|adverb|somehow
16062.0|der Krebs|noun|cancer
16063.0|straight|adverb|straight
16068.0|Geile|noun|great
16069.0|das Thema|noun|the topic
16092.0|der Satz|noun|sentence
16101.0|Track|noun|track
16252.0|die Motivation|Nomen|motivation
16271.0|schätzen|verb|to appreciate
16281.0|Push|noun|the push
16293.001|das Ekel|noun|disgust
16305.0|das Produkt|noun|product
16308.0|achtzig|noun|eighty
16321.0|die Generation|Noun|generation
16324.0|Selbstoptimierer|noun|self-optimizer
16330.0|der Sieger|Nomen|the winner
16333.0|Siegen|Verb|to win
16384.0|die Ahnung|Nomen|the idea
16386.0|die Kette|noun|chain
16392.0|Fashion|Noun|fashion
16400.0|weich|adjective|soft
16485.0|werfen|verb|to throw
16487.0|der Strike|Noun|strike
16495.0|der Winter|noun|winter
16497.0|der Schnee|noun|the snow
16507.0|das G|noun|the G
16513.0|rollen|verb|roll
16533.0|vegan|Adjective|vegan
16552.0|dank|preposition|thanks to
16566.0|die Ferne|noun|distance
16577.0|der Kühlschrank|noun|refrigerator
16644.0|der Supermarkt|noun|supermarket
16646.0|das Eck|noun|the corner
16648.0|der Spielplatz|noun|playground
16653.0|der Nahverkehr|noun|the local transport
16731.0|picken|verb|to pick
16735.0|tragisch|adjective|tragic
16736.0|die Beute|noun|loot
16739.0|der Zahnzwischenraum|noun|the interdental space
16765.0|die Großmutter|noun|grandmother
16771.0|haarig|adjective|hairy
16772.0|der Sack|noun|sack
16777.0|kommentieren|verb|comment
16801.0|die Zunge|noun|tongue
16808.0|der Kinderchor|noun|the children's choir
16838.0|persönlich|adjective|personal
16846.0|die Ironie|noun|irony
16853.0|häufig|Adjective|frequent
16881.0|terroristisch|adjective|terrorist
16888.0|das Grundwasser|noun|groundwater
16891.0|das Ergebnis|noun|result
16912.0|helfen|verb|help
16931.0|die Bremse|noun|brake
16989.0|ernstnehmen|verb|take seriously
17000.0|das Album|noun|album
17014.0|nachher|adverb|afterwards
17027.0|trashig|adjective|trashy
17031.0|Retro|adjective|retro
17047.0|die Liste|Noun|list
17062.0|Flussbad|noun|river pool
17064.0|Indien|noun|India
17066.0|das Brusthaar|noun|chest hair
17067.0|trimmen|verb|to trim
17075.0|die Bitte|noun|request
17089.0|der Busfahrer|noun|bus driver
17236.0|die Wolke|noun|the cloud
17257.0|der Porsche|noun|Porsche
17261.0|der Audi|noun|Audi
17270.0|der Jaguar|noun|the jaguar
17287.0|anmachen|verb|to turn on
17303.0|das Nein|noun|the no
17402.0|der Sextourist|noun|sex tourist
17408.0|moralisch|adjective|moral
17413.0|argumentieren|verb|to argue
17425.0|die Ausbeutung|noun|the exploitation
17427.0|kratzen|Verb|scratch
17430.0|der Patriarchat|noun|patriarchy
17430.001|das Patriarchat|noun|patriarchy
17434.0|dadurch|Adverb|thereby
17464.0|der Tourist|noun|tourist
17497.0|Nächste|adjective|next
17524.0|abstrakt|adjective|abstract
17573.0|die Zweite|noun|second
17584.0|springen|Verb|jump
17595.0|das Tuk-Tuk|noun|tuk-tuk
17703.0|kehren|Verb|sweep
17707.0|Zurück|Adverb|back
17747.0|die Hölle|noun|the hell
17748.0|drohen|verb|to threaten
17782.0|die Reaktion|noun|reaction
17850.0|aufhören|verb|stop
17891.0|das Dilemma|noun|dilemma
17902.0|dazu|adverb|to that
17910.0|unwahrscheinlich|adjective|unlikely
18009.0|das Nichts|Noun|nothing
18072.0|drinnen|adverb|inside
18073.0|interessieren|verb|interest
18193.0|der Man|noun|man
18193.001|das Man|noun|the man
18214.0|die Brünette|Noun|the brunette
18217.0|kennenlernen|verb|get to know
18223.0|das B|Noun|the b
18350.0|ausatmen|Verb|to exhale
18384.0|der Urin|noun|the urine
18413.0|der Ofen|noun|oven
18423.0|das Schiff|noun|ship
18473.0|rostbraun|adjective|rust brown
18505.0|der Tropfen|noun|drop
18505.001|das Tropfen|Noun|dripping
18507.0|das Parkett|noun|the parquet
18517.0|die Etage|noun|the floor
18523.0|die Klasse|noun|the class
18524.0|das Möbel|noun|the furniture
18553.0|stundenlang|adverb|for hours
18568.0|anschauen|verb|to watch
18571.0|der Bauer|noun|the farmer
18571.001|das Bauer|noun|cage
18573.0|schauen|verb|to look
18587.0|konstruktiv|Adjektiv|constructive
18674.0|vermutlich|adverb|presumably
18683.0|der Kontinent|noun|continent
18685.0|zurückkommen|verb|to come back
18696.0|der Junge|noun|the boy
18702.0|die Tablette|noun|tablet
18722.0|die Socke|noun|the sock
18745.0|darum|adverb|that's why
18766.0|die Narbe|noun|the scar
18841.0|das Ei|noun|the egg
18843.0|uh|Interjection|uh
18849.0|die Langeweile|noun|the boredom
18907.0|der Hater|noun|hater
18919.0|kombinieren|verb|to combine
18922.0|konzentriert|adjective|focused
18942.0|rausbringen|verb|to bring out
18954.0|der Bobby|Noun|Bobby (name)
18956.0|unterschreiben|verb|sign
18991.0|das Parkverbot|noun|the no-parking zone
19041.0|signieren|verb|to sign
19043.0|der Deal|noun|deal
19053.0|die Warnung|noun|warning
19068.0|die Sekte|noun|the sect
19118.0|der Feind|noun|the enemy
19144.0|Boris|noun|Boris
19145.0|Becker|noun|Becker
19176.0|Haartransplantation|noun|hair transplant
19189.0|Düsseldorf|noun|Düsseldorf
19195.0|insgesamt|adverb|altogether
19209.0|das Megafon|noun|megaphone
19220.0|der Plan|noun|plan
19271.0|töten|verb|kill
19277.0|Latein|noun|Latin
19278.0|die Physik|noun|physics
19291.0|detailverliebt|adjective|detail-oriented
19303.0|der Blackout|noun|the blackout
19303.001|das Blackout|Noun|blackout
19326.0|divers|adjective|diverse
19337.0|brr|interjection|brr
19338.0|das Hallo|noun|the hello
19354.0|der Songtext|Noun|the lyrics
19360.0|die Suche|noun|search
19363.0|der Witz|noun|the joke
19376.0|die Tanzbewegung|noun|dance move
19382.0|die Fläche|noun|the area
19387.0|die Combo|noun|combo
19401.0|die Körpersprache|noun|body language
19419.0|matchen|verb|to match
19422.0|Mindset|Noun|mindset
19425.0|einzig|adjective|unique
19431.0|kleiden|verb|to dress
19519.0|Skill|Noun|skill
19524.0|Beach-Party|noun|beach party
19549.0|die Statistik|noun|the statistics
19564.0|das Liebesgefühl|noun|the feeling of love
19566.0|die Biochemie|noun|biochemistry
19570.0|resultieren|verb|to result
19585.0|die Ehekrise|noun|marital crisis
19587.0|Anwaltskosten|noun|legal fees
19597.0|das Gehen|noun|the walking
19615.0|Sozialverhalten|noun|social behavior
19681.0|die Leichtigkeit|noun|the ease
19791.0|Augenkrebs|noun|eye cancer
19795.0|dunkel|adjective|dark
19800.0|der Nachhauseweg|noun|way home
19808.0|träumen|verb|to dream
19846.0|der Sandsturm|noun|sandstorm
19860.0|der Nebenjob|noun|the side job
19879.0|Märchenschloss|noun|fairy tale castle
19889.0|das Pferd|noun|horse
19938.0|woke|adjective|woke
19945.0|der Kunde|noun|customer
19945.001|die Kunde|noun|the customer
19951.0|die Höflichkeit|noun|politeness
19958.0|stören|verb|disturb
19961.0|der Geruch|noun|the smell
19977.0|das Trinkgeld|noun|tip
19979.0|extra|adverb|extra
20085.0|das Publikum|noun|audience
20108.0|zwanzig|number|twenty
20111.0|die Rechnung|noun|bill
20114.0|das Erwarten|Noun|expectation
20118.0|die Stelle|noun|position
20144.0|ergeben|verb|to result
20148.0|Aachen|noun|Aachen
20152.0|die Wikipedia|noun|Wikipedia
20156.0|der Bekannter|noun|acquaintance
20157.0|der Schüler|noun|student
20188.0|der Geschädigter|Noun|the victim
20189.0|beschreiben|verb|describe
20192.0|die Mathe|noun|math
20213.0|ähnlich|adjective|similar
20217.0|das Ja|noun|yes
20219.0|amen|Interjection|amen
20224.0|lernen|verb|to learn
20247.0|der Direktor|noun|director
20249.0|präventiv|adjective|preventive
20309.0|beobachten|verb|observe
20327.0|das Amen|noun|the amen
20373.0|jugendlich|adjective|youthful
20380.0|Rapmusik|Noun|rap music
20469.0|wichtig|adjective|important
20473.0|der Musiker|noun|musician
20561.0|das Bedürfnis|noun|need
20575.0|flüstern|verb|to whisper
20646.0|meistens|adverb|mostly
20677.0|blind|adjective|blind
20681.0|der Vorwurf|noun|accusation
20693.0|unterdrücken|verb|suppress
20699.0|die Wärme|noun|warmth
20703.0|binden|verb|to bind
20724.0|der Stolz|noun|pride
20764.0|pumpen|verb|to pump
20820.0|bedanken|verb|to thank
20833.0|ständig|adverb|constantly
20839.0|füttern|verb|to feed
20854.0|die Wirklichkeit|Noun|reality
20871.0|spüren|verb|feel
20889.0|das Eis|noun|ice
20902.0|enttäuschen|verb|to disappoint
20923.0|verkaufen|Verb|to sell
21055.0|der Park|noun|park
21092.0|liken|verb|to like
21142.0|französisch|Adjective|french
21170.0|fotografieren|Verb|to photograph
21278.0|die Brust|noun|chest
21287.0|der Arzt|noun|doctor
21296.0|blass|adjective|pale
21380.0|angucken|verb|to look at
21383.0|schief|adjective|crooked
21388.0|joggen|verb|jog
21464.0|ungeschminkt|adjective|barefaced
21556.0|das Zimmer|noun|the room
21558.0|der Mondschein|noun|moonlight
21565.0|reflektieren|verb|to reflect
21699.0|künstlich|adjective|artificial
21707.0|entfernen|verb|to remove
21732.0|wortlos|adjective|wordless
21763.0|die Eins|noun|one
21767.0|das Imperium|noun|the empire
21774.0|das Helium|noun|helium
21781.0|Mephisto|noun|Mephisto
21803.0|die Wahrheit|noun|truth
21809.0|die Rede|noun|the speech
21813.0|rückwärts|adverb|backwards
21819.0|die Lüge|noun|lie
21827.0|der Meister|noun|master
21841.0|Mozart|noun|Mozart
21842.0|das Requiem|noun|requiem
21843.0|solo|adverb|solo
21846.0|die Flöte|noun|the flute
21862.0|das Laufen|noun|the running
21869.0|nun|adverb|now
21884.0|der Schleier|noun|veil
21890.0|der Test|noun|test
21899.0|löschen|Verb|To delete
21916.0|der Besitz|noun|possession
21928.0|der Austausch|noun|exchange
21944.0|zurückkehren|verb|to return
21967.0|die Unendlichkeit|Noun|infinity
21968.0|verschwenden|verb|to waste
21984.0|das Labyrinth|noun|the labyrinth
21991.0|verbringen|verb|to spend
22019.0|der Einzelteil|noun|the component
22019.001|das Einzelteil|noun|the component
22024.0|hundert|adjective|hundred
22032.0|eintausend|adjective|one thousand
22046.0|begreifen|verb|to grasp
22054.0|scheinen|verb|shine
22075.0|der Kern|noun|core
22077.0|die Kraft|noun|the strength
22078.0|namens|adverb|called
22079.0|das X|Noun|X
22094.0|die Mitte|noun|center
22119.0|die Zelle|noun|cell
22134.0|zerbrechen|verb|to break
22160.0|reimen|verb|to rhyme
22180.0|das Fleisch|noun|the meat
22191.0|tausendmal|adverb|a thousand times
22258.0|die Acht|noun|the eight
22266.0|hunderttausend|number|hundred thousand
22274.0|das Pi|noun|Pi
22278.0|der Zwilling|noun|twin
22283.0|unendlich|adjective|infinite
22298.0|der Pakt|Noun|pact
22301.0|zyklisch|Adjective|cyclic
22304.0|sterblich|adjective|mortal
22306.0|welche|pronoun|which
22309.0|Unbegrenztheit|noun|boundlessness
22320.0|die Farbe|noun|color
22338.0|das Monster|noun|the monster
22364.0|die Ziffer|noun|digit
22373.0|der Buddha|noun|Buddha
22379.0|Hitler|proper noun|Hitler
22390.0|der Zyklop|noun|the cyclops
22412.0|der Kreis|noun|circle
22416.0|unzerstörbar|adjective|indestructible
22438.0|zirkulieren|verb|to circulate
22469.0|die Barriere|noun|the barrier
22471.0|Lassen|Verb|to let
22475.0|das Wissen|noun|knowledge
22480.0|jener|Pronoun|that one
22499.0|das Gestern|noun|yesterday
22524.0|unbeweglich|adjective|immobile
22580.0|unbegrenzt|Adjective|unlimited
22588.0|Fluß|noun|river
22592.0|das Feuer|noun|the fire
22594.0|der Donner|noun|the thunder
22597.0|der Wert|noun|value
22606.0|äußerlich|adverb|externally
22620.0|pflanzen|verb|to plant
22631.0|begrenzen|verb|limit
22651.0|die Beschränkung|noun|restriction
22663.0|die Materie|noun|matter
22710.0|solange|conjunction|as long as
22726.0|fremd|adjective|foreign
22737.0|die Sonnenbrille|Noun|sunglasses
22743.0|der Kanal|Noun|the canal
22752.0|die Reflexion|Noun|the reflection
22760.0|Treptow|Noun|treptow (place name)
22773.0|komisch|adjective|strange
22780.0|günstig|Adjective|inexpensive
22794.0|die Waschmaschine|Noun|washing machine
22982.0|die Blondine|noun|blonde (female)
23013.0|der Balkon|noun|balcony
23015.0|Ali|noun|Ali
23026.0|die Hautfarbe|noun|the skin color
23029.0|das Stroboskop|noun|strobe light
23041.0|gratis|adverb|free
23050.0|die Disko|noun|club
23125.0|die Machete|noun|the machete
23125.001|der Machete|noun|machete
23134.0|die Rakete|noun|the rocket
23161.0|die Sauna|noun|the sauna
23163.0|Schweden|Noun|Sweden
23448.0|genießen|verb|to enjoy
23454.0|schneien|verb|to snow
23458.0|die Jahreszeit|noun|season
23460.0|morgens|Adverb|in the morning
23463.0|lächeln|verb|to smile
23531.0|duschen|verb|to shower
23554.0|der Abend|noun|evening
23693.0|das Kalenderblatt|noun|calendar page
23694.0|herunter|Adverb|down
23697.0|die Jalousie|noun|the blind
23705.0|die Katastrophe|Noun|catastrophe
23758.0|das Benzin|noun|gasoline
23765.0|Berlin|noun|Berlin
23771.0|die Konsequenz|Noun|consequence
23773.0|Potsdam|proper noun|Potsdam
23777.0|die Wannseekonferenz|noun|the Wannsee Conference
23784.0|Beckenbauer|Noun|Beckenbauer
23788.0|legal|Adjective|legal
23789.0|die Raab|noun|the Raab
23804.0|gewöhnen|verb|to get used to
23819.0|der Rentner|noun|retiree
23822.0|der Präsident|noun|president
23825.0|checken|verb|to check
23836.0|verurteilen|verb|to condemn
23866.0|Björn|noun|Björn
23883.0|der Superheld|noun|the superhero
23885.0|die Not|noun|need
23899.0|der Flatscreen|noun|flatscreen
23906.0|brennend|adjective|burning
23919.0|Jesus|noun|Jesus
23939.0|different|adjective|different
23974.0|power|noun|power
23980.0|verantwortlich|adjective|responsible
24018.0|höchstens|adverb|at most
24046.0|die To|noun|the To
24046.001|das To|noun|goal
24141.0|Leon|noun|Leon
24154.0|der Bizeps|noun|biceps
24161.0|unsicher|adjective|insecure
24162.0|Maria|noun|Maria
24176.0|siebenstellig|adjective|seven-figure
24200.0|der Mathematiker|noun|mathematician
24292.0|Trading|noun|trading
24302.0|arbeiten|verb|to work
24307.0|der FC|noun|FC
24308.0|Bayern|noun|Bavaria
24309.0|München|noun|Munich
24311.0|die Dividende|noun|dividend
24337.0|spiegeln|verb|to reflect
24377.0|das Halleluja|noun|hallelujah
24378.0|halleluja|Interjection|hallelujah
24480.0|wild|Adjektiv|wild
24580.0|das Genie|noun|the genius
24586.0|die Marie|noun|Marie
24587.0|das Curie|noun|the Curie
24590.0|die Kategorie|noun|category
24591.0|Basiswissen|noun|basic knowledge
24592.0|die Chemie|noun|chemistry
24662.0|die Gruppe|Noun|group
24738.0|der Sonntag|noun|Sunday
24745.0|das Besonderes|noun|special thing
24757.0|das Treffen|noun|meeting
24762.0|die Nichte|noun|the niece
24765.0|vierzig|number|forty
24833.0|eskalieren|verb|to escalate
24854.0|der Onkel|noun|uncle
24856.0|besoffen|adjective|drunk
24858.0|die Exfrau|noun|the ex-wife
24859.0|kritisieren|verb|to criticize
24873.0|die Verwandtschaft|noun|the relatives
24880.0|der Opa|noun|the grandpa
24890.0|die Tante|noun|the aunt
24896.0|die Verschwörungstheorie|noun|conspiracy theory
24934.0|zu Hause|phrase|at home
24943.0|der Anfang|noun|beginning
24975.0|der Graf|noun|count
24981.0|der Nachbar|noun|the neighbor
24984.0|der Garten|noun|garden
24993.0|inklusiv|adjective|inclusive
25054.0|gewohnt|adjective|accustomed
25170.0|das Küssen|noun|kissing
25185.0|der Samstagabend|noun|the Saturday evening
25257.0|das Schönes|noun|something beautiful
25457.0|schwierig|adjective|difficult
25469.0|der Aperitif|noun|aperitif
25473.0|still|Adjective|quiet
25488.0|vietnamesisch|adjective|Vietnamese
25512.0|der Alkohol|noun|alcohol
25558.0|die Besserung|noun|improvement
25654.0|das Gebäude|noun|building
25658.0|lyrisch|adjective|lyrical
25665.0|häuslich|adjective|domestic
25671.0|die Poesie|noun|the poetry
25681.0|der Tweet|Noun|the tweet
25681.001|das Tweet|noun|tweet
25688.0|Kafka|noun|Kafka
25710.0|die Ruhe|noun|calm
25738.0|boah|interjection|wow
25741.0|mega|adjective|mega
25758.0|Grundschulklasse|noun|primary school class
25776.0|schweigen|verb|to remain silent
25780.0|schuld|Adjective|guilty
25784.0|der Schatz|noun|the treasure
25802.0|fröhlich|adjective|cheerful
25805.0|unhöflich|adjective|rude
25856.0|der Riesenerfolg|noun|huge success
25878.0|unterwegs|adverb|on the way
25891.0|die Entscheidung|noun|decision
25893.0|unbequem|adjective|uncomfortable
25903.0|das Dreirad|noun|the tricycle
25921.0|dazwischen|adverb|in between
25932.0|die Bundesliga|noun|Bundesliga
25976.0|die Türkei|noun|Turkey
25982.0|die Partei|noun|party
25996.0|der Versuch|noun|the attempt
26033.0|die Pro|noun (feminine)|pro
26033.001|der Pro|noun|the pro
26033.002|das Pro|noun|the pro
26035.0|Contra|noun|counterpoint
26045.0|kompliziert|adjective|complicated
26149.0|das Geschenk|noun|gift
26158.0|link|noun|link
26161.0|der Mittelfinger|noun|the middle finger
26169.0|der Hase|noun|the hare
26169.001|die Hase|noun|hare
26173.0|der Komet|noun|the comet
26175.0|der Krater|noun|the crater
26183.0|das Air|noun|the air
26183.001|die Air|noun|the flair
26185.0|Harlem|noun|Harlem
26186.0|Kommerz|noun|commerce
26188.0|Marx|noun|Marx
26192.001|der Militär|noun|the military officer
26210.0|bunt|adjective|colorful
26215.0|der Kommentar|noun|the comment
26232.0|tolerieren|verb|to tolerate
26235.0|kaputt|adjective|broken
26352.0|der Piranha|noun|the piranha
26361.0|Anja|noun|Anja
26375.0|schlank|adjective|slim
26376.0|die Taille|noun|the waist
26379.0|die Medaille|Noun|the medal
26405.0|die Trophäe|noun|the trophy
26413.0|die Vitrine|noun|display case
26447.0|das Netzwerk|noun|network
26474.0|abholen|verb|pick up
26478.0|der Kellner|noun|waiter
26486.0|der Gruß|noun|greeting
26585.0|der Raum|noun|the room
26588.0|die Torte|Noun|the cake
26682.0|ölig|adjective|oily
26728.0|fertig|adjective|finished
26736.0|respektieren|verb|to respect
26741.0|lackieren|verb|to paint (a surface)
26754.0|der Grill|noun|grill
26757.0|der Schnitzel|noun|cutlet
26757.001|das Schnitzel|noun|schnitzel
26771.0|die Garage|Noun|garage
26780.0|Kruppstahl|noun|steel
26783.0|der Rhein|noun|Rhine
26794.0|der Rauch|noun|the smoke
26825.0|reiben|verb|to rub
26827.0|das Öl|noun|oil
26831.0|canceln|verb|to cancel
26832.0|das Feuerwerk|noun|fireworks
26841.0|Husch|interjection|shoo
26928.0|verzichten|verb|give up
27038.0|das Internet|noun|internet
27040.0|anziehen|verb|put on
27059.0|Will|noun|will
27070.0|sechzehn|adjective|sixteen
27078.0|wovon|adverb|of what
27093.0|der Computer|noun|computer
27114.0|zuschauen|verb|to watch
27126.0|der Meter|Noun|the meter
27126.001|das Meter|noun|meter
27130.0|das Kinderbett|noun|crib
27189.0|dazugehören|verb|to belong
27193.0|das ISDN|noun|the ISDN
27211.0|das DSL|noun|DSL
27215.0|früher|Adverb|earlier
27239.0|der Smalltalk|noun|small talk
27239.001|das Smalltalk|noun|small talk
27424.0|die News|noun|news
27429.0|die Speech|noun|speech
27433.0|der Deepfake|Noun|deepfake
27433.001|das Deepfake|Noun|deepfake
27440.0|das Spam|noun|spam
27440.001|der Spam|noun|spam
27440.002|die Spam|noun|spam
27484.0|die Termite|noun|the termite
27488.0|universell|adjective|universal
27494.0|das Omega|noun|omega
27506.0|Na|Interjection|well
27512.0|Holland|noun|Holland
27517.0|der Holländer|Noun|Dutchman
27520.0|holländisch|adjective|Dutch
27536.0|der Pinguin|noun|the penguin
27545.0|das Insulin|noun|insulin
27561.0|der Staatsfeind|noun|the enemy of the state
27563.0|der Holocaust|noun|the Holocaust
27563.001|das Holocaust|noun|the Holocaust
27579.0|die Dicke|noun|thickness
27676.0|Playback|noun|playback
27733.0|der Zucker|noun|sugar
27737.0|die Finsternis|noun|darkness
27759.0|sabotieren|verb|to sabotage
27766.0|Märchenwald|noun|fairy-tale forest
27836.0|das Reiten|noun|horse riding
27950.0|das Kamel|Noun|camel
27955.0|die Farm|Noun|the farm
28025.0|die Melodie|noun|the melody
28033.0|die Ecke|noun|corner
28063.0|der Illuminat|noun|the illuminati member
28096.0|Flower-Power|noun|flower power
28099.0|faul|adjective|lazy
28100.0|der Zauber|noun|the magic
28105.0|mysteriös|adjective|mysterious
28114.0|die Verschwörung|noun|the conspiracy
28128.0|die Presse|noun|the press
28142.001|die Eimer|Noun|buckets
28148.0|geheim|adjective|secret
28149.0|Geheimagent|Noun|secret agent
28150.0|die CIA|noun|the CIA
28150.001|der CIA|noun|the CIA
28151.0|der Mossad|Noun|Mossad
28167.0|die Pyramide|noun|pyramid
28220.0|erleuchten|verb|to illuminate
28225.0|erwachen|Verb|awaken
28231.0|die Weltherrschaft|noun|world domination
28274.0|außerirdisch|adjective|extraterrestrial
28277.0|der Enkel|noun|grandson
28311.0|Di|Noun|Tue
28316.0|die Wissenschaft|noun|science
28319.0|die Weisheit|noun|the wisdom
28320.0|schlucken|verb|swallow
28322.0|das Popcorn|noun|the popcorn
28325.0|gemütlich|Adjective|cozy
28326.0|der Zeitgeist|noun|the zeitgeist
28479.0|starren|verb|to stare
28492.0|der Rücken|noun|back
28553.0|Tetrapak|noun|tetra pack
28605.0|erwachsen|adjective|adult
28619.0|die Düne|noun|dune
28748.0|der Strand|noun|the beach
28784.0|das Universum|noun|the universe
28851.0|wiederholen|verb|to repeat
28894.0|die Kratze|noun|scratch
28903.0|ausbrennen|Verb|to burn out
28927.0|irgendetwas|pronoun|something
28992.0|der Ex|Noun|ex
28992.001|die Ex|Nomen|the ex
28996.0|das Date|noun|date
29033.0|solang|conjunction|as long as
29058.0|der Strom|noun|electricity
29059.0|trotz|Preposition|despite
29141.0|die Perspektive|noun|perspective
29206.0|der Muskel|noun|muscle
29208.0|erfolglos|adjective|unsuccessful
29209.0|tindern|verb|to swipe (on Tinder)
29215.0|die Erziehung|noun|the upbringing
29333.0|Fucking|noun|Fucking
29385.0|kühl|adjective|cool
29423.0|der Süden|noun|south
29426.0|der Sonnenuntergang|noun|sunset
29433.0|die Orientierung|noun|orientation
29436.0|Sizilien|noun|Sicily
29440.0|italienisch|adjective|Italian
29450.0|spontan|adjective|spontaneous
29453.0|toll|adjective|great
29472.0|selbstverständlich|Adverb|self-evident
29476.0|klimatisieren|Verb|to air-condition
29504.0|das Bravo|noun|bravo
29504.001|der Bravo|noun|Bravo
29504.002|die Bravo|noun|Bravo
29509.0|die CD|noun|CD
29549.0|der Parkplatz|noun|the parking lot
29555.0|der Cent|noun|cent
29557.0|nerven|verb|to annoy
29558.0|extrem|adjective|extreme
29559.0|deswegen|adverb|therefore
29575.0|aufmachen|verb|to open
29578.0|der Apfelsaft|noun|the apple juice
29610.0|der Gummi|noun|rubber
29610.001|das Gummi|noun|the rubber
29616.0|der Motor|noun|engine
29635.0|blinken|verb|to blink
29650.0|der Daumen|noun|thumb
29654.0|die Fahrt|noun|journey
29681.0|der Führerschein|noun|driver's license
29696.0|die Oma|noun|the grandma
29698.0|merci|interjection|thanks
29702.0|das|article|the (neuter)
29755.0|Remix|noun|remix
29758.0|das Medley|noun|the medley
29764.0|bittersüß|adjective|bittersweet
29795.0|das Vakuum|noun|vacuum
29860.0|die Schönheit|noun|beauty
29867.0|der Absinth|noun|absinthe
29961.0|surreal|adjective|surreal
30058.0|der Partisan|Noun|partisan
30105.0|der Genosse|noun|comrade
30113.0|ciao|Interjection|goodbye
30153.0|zart|adjective|tender
30361.0|die Kontrolle|noun|the control
30492.0|das My|noun|iota
30517.0|der Snob|Noun|snob
30522.0|Kreuzberg|noun|Kreuzberg
30539.0|der Kaiser|noun|emperor
30544.0|erstens|Adverb|firstly
30643.0|riesengroß|adjective|gigantic
30658.0|down|adjective|down
30666.0|out|Adverb|out
30671.0|einige|pronoun|some
30695.0|die Loveparade|noun|Love Parade
30701.0|die Ma|Noun|the mom
30704.0|der AB|noun|AB
30851.0|die Havanna|noun|Havana
30851.001|der Havanna|noun|Havana
30882.0|Te|noun|Te
30967.0|Bernd|Proper noun|Bernd
30992.0|testen|Verb|to test
31006.0|das Urteil|noun|verdict
31038.0|der Saft|noun|juice
31078.0|der Haarspray|noun|hairspray
31078.001|das Haarspray|noun|hairspray
31085.0|der Spray|noun|spray
31085.001|das Spray|Noun|spray
31247.0|ruhig|adjective|calm
31283.0|locker|adjective|loose
31297.0|ungenau|adjective|inaccurate
31341.0|die Verpackung|noun|the packaging
31349.0|der Bart|noun|beard
31383.001|der Pack|noun|the package
31402.0|wehtun|verb|to hurt
31404.0|weh|adjective|painful
31413.0|das Versteck|noun|the hiding place
31424.0|t|noun|t
31437.0|anlocken|Verb|to attract
31512.0|wofür|conjunction|for what
31516.0|majestätisch|Adjective|majestic
31543.0|die Hauptsache|noun|the main thing
31700.0|die Kneipe|noun|the pub
31705.0|der Heimweg|Noun|the way home
31710.0|minus|preposition|minus
31731.0|der Atem|noun|the breath
31747.0|die Zuckerwatte|noun|cotton candy
31759.0|die Natur|noun|nature
31762.0|neugierig|adjective|curious
31783.0|die Laterne|noun|lantern
31804.0|typisch|adjective|typical
31949.0|der Ra|noun|the Ra
31976.0|der Kumpel|noun|buddy
32131.0|die Vase|noun|vase
32163.0|der Nachttisch|Nomen|nightstand
32234.0|der Astralkörper|noun|astral body
32259.0|Klar|Adjective|clear
32301.0|chillig|adjective|chill
32368.0|der PKW|noun|the car
32371.0|asphaltieren|verb|to asphalt
32415.0|Bielefeld|noun|Bielefeld
32430.0|der Yuppie|noun|the yuppie
32435.0|der Hals|noun|neck
32438.0|das E-Bike|noun|the e-bike
32443.0|das Cabrio|noun|convertible
32457.0|das Heroin|noun|the heroin
32457.001|die Heroin|Noun|the heroin
32465.0|der Papi|noun|the dad
32482.0|der Fahrradweg|noun|bike path
32493.0|der Kauf|noun|purchase
32533.0|das Shopping|noun|shopping
32552.0|der Radweg|noun|the bike path
32561.0|der Kinderfilm|noun|the children's movie
