der Auftritt beginnt                             |выступление начинается
der Tropfen fällt                                |капля падает
die Theke reinigen                               |чистить прилавок
einen Betrag abziehen                            |вычитать сумму
aus einer Stadt stammen                          |быть родом из города
asthmatische Anfälle plagen ihn                  |он страдает приступами астмы
ein steifer Brei                                 |густая каша
der Sprung ist tief                              |трещина глубокая
vorbeifahren an der Haltestelle                  |проезжать мимо остановки
die Tür schließen                                |закрывать дверь
eine Datei verlegen                              |перемещать файл
der Nachbar kommt                                |сосед приходит
die Neigung zeigen                               |проявить склонность
entfernen den Fleck                              |удалять пятно
das Privateigentum schützen                      |защищать частную собственность
die Uhr lautete zehn                             |часы показывали десять
gleich danach                                    |сразу после этого
niemals lügen                                    |никогда не лгать
der Begleiter wartet                             |сопровождающий ждет
ein furchtsamer Mensch                           |боязливый человек
die Südseite genießen                            |наслаждаться южной стороной
die Überraschung bereiten                        |устраивать сюрприз
eine totale Katastrophe                          |полная катастрофа
das Ende erreichen                               |достичь конца
die Vermittlung anrufen                          |звонить в коммутатор
sich einem Druck unterwerfen                     |подчиняться давлению
eine lange Strecke verlängern                    |удлинять длинный путь
eine schöne Aussicht                             |прекрасный вид
die bunte Kleidung                               |пестрая одежда
die Geschwister sind glücklich                   |братья и сестры счастливы
die Missbilligung ausdrücken                     |выразить неодобрение
der Weihnachtsmann kommt                         |Санта-Клаус приходит
die Verkrampfung lösen                           |устранять судорогу
eine Aufgabe ausführen                           |выполнять задачу
auf einem Stuhl sitzen                           |сидеть на стуле
dauernd arbeiten                                 |постоянно работать
das Handtuch trocknen                            |сушить полотенце
der See segeln                                   |плавать на озере
der Bach fließt                                  |ручей течет
die betreffenden Dokumente                       |соответствующие документы
der Bärenhunger kommt                            |волчий аппетит приходит
der Neumond ist sichtbar                         |новолуние видно
die Begrüßungen sind herzlich                    |приветствия сердечные
es reicht                                        |достаточно! надоело!
die Schlußfolgerung ziehen                       |делать вывод
jemanden lieben                                  |любить кого-то
der Erfolg ist sicher                            |успех гарантирован
die Zensur erhalten                              |получать оценку
der Fachmann erklärt                             |специалист объясняет
auf Tatsachen beruhen                            |основываться на фактах
das Füllgewicht messen                           |измерять вес нетто
einen Brief aushändigen                          |вручать письмо
das Geschwätz ignorieren                         |игнорировать болтовню
eine unzureichende Versorgung                    |недостаточное обеспечение
für Essen ausgeben                               |тратить на еду
der Wasserspiegel steigt                         |уровень воды поднимается
eine Argumentation untermauern                   |обосновывать аргументацию
eine traurige Nachricht                          |печальное известие
die Uhr ablesen                                  |смотреть время
der Bericht ist fertig                           |доклад готов
die Hochschule ist groß                          |высшее учебное заведение большое
die Touristenklasse buchen                       |заказать туристический класс
das Kino gehen                                   |идти в кинотеатр
das Frankreich besuchen                          |посетить Францию
das Weltraumschiff starten                       |запускать космический корабль
entstellen das Gesicht                           |искажать лицо
die Ungeduld zügeln                              |обуздывать нетерпение
die Folge ist klar                               |очередность ясна
ein schweres Getränk                             |крепкий напиток
der Sportanzug passt                             |спортивный костюм подходит
die Apfelsine ist süß                            |апельсин сладкий
noch schlimmer                                   |ещё хуже
die Zentralheizung einschalten                   |включать центральное отопление
das Medikament einnehmen                         |принимать лекарство
das Schmalz schmelzen                            |растапливать смалец
sich für eine Party herausputzen                 |наряжаться для вечеринки
einen Streit schlichten                          |улаживать спор
ein Bild malen                                   |рисовать картину
das Gedränge vermeiden                           |избегать толкотни
an einer Krankheit leiden                        |страдать от болезни
am See angeln                                    |ловить рыбу на озере
Feuchtigkeit verdunsten                          |испаряться влага
vollbringen ein Wunder                           |совершать чудо
die Schnitzerei bewundern                        |любоваться резьбой
die Oper anschauen                               |смотреть оперу
die Räucherwaren kaufen                          |покупать копчености
ein gutes Betragen                               |хорошее поведение
das Wort verwenden                               |использовать слово
das frische Brot                                 |свежий хлеб
eine Suppe salzen                                |солить суп
überfahren den Fluss                             |переправляться через реку
der Rechtsanwalt hilft                           |адвокат помогает
die Besserung ist sichtbar                       |улучшение заметно
die Herzschmerzen sind stark                     |боль в сердце сильная
der Nebel ist dicht                              |туман густой
mutlos handeln                                   |действовать малодушно
die Amerikanerin spricht                         |американка говорит
mit dem Rad fahren                               |ехать на велосипеде
auf dem Feld arbeiten                            |работать в поле
die Motels sind voll                             |мотели заполнены
die Feier ist groß                               |праздник большой
sich für ein Projekt aussprechen                 |высказываться за проект
polnische Küche                                  |польская кухня
sich über ein Thema unterhalten                  |беседовать о теме
das Gewürzgemenge mischen                        |смешивать пряности
daher kommen                                     |приходить оттуда
das Gas riechen                                  |чувствовать запах газа
eine mögliche Lösung                             |возможное решение
nachträgliche Änderungen                         |дополнительные изменения
derart ist selten                                |такой редко встречается
eine gebräuchliche Methode                       |употребительный метод
der Hunger kommt                                 |голод наступает
der Vorsatz ist klar                             |намерение ясно
ein aktuelles Thema                              |актуальная тема
das Wesen verstehen                              |понимать сущность
übersiedeln in eine andere Stadt                 |переезжать в другой город
die Wirklichkeit übertraf alle Erwartungen       |действительность превзошла все ожидания
der Abflug verzögert sich                        |вылет задерживается
die Fläche ist groß                              |площадь большая
der Juli ist heiß                                |июль жаркий
die Heiterkeit ist groß                          |веселье велико
eilen zur Arbeit                                 |спешить на работу
der Sommerschlussverkauf beginnt                 |летняя распродажа начинается
nichts zu sagen                                  |ничего не сказать
die Erbse ist grün                               |горошина зеленая
die Hose kaufen                                  |покупать брюки
die Portion zubereiten                           |приготовить порцию
am Abend arbeiten                                |работать вечером
die Unordnung aufräumen                          |убирать беспорядок
einzunehmen das Medikament                       |принимать лекарство
voraus planen                                    |планировать заранее
die Wettervorhersage abwarten                    |ждать прогноз погоды
eine Prüfung bestehen                            |переносить экзамен
das Übereinkommen unterzeichnen                  |подписывать соглашение
dennoch weitergehen                              |все-таки продолжать
sich spezialisieren auf Medizin                  |специализироваться на медицине
der Rassehund ist teuer                          |породистая собака дорогая
sogar besser                                     |даже лучше
die Straße sperren                               |перекрывать улицу
ebnen den Weg                                    |выравнивать дорогу
der Kaugummi ist süß                             |жевательная резинка сладкая
der Wortwechsel ist laut                         |спор громкий
die Schlange beobachten                          |наблюдать за змеей
die Sportsendungen anschauen                     |смотреть спортивные передачи
der Luftdruck steigt                             |давление воздуха повышается
ein schmutziges Auto                             |грязная машина
die Liebe zeigen                                 |показывать любовь
ein reizbarer Mensch                             |раздражительный человек
wie ein Tier fressen                             |есть как животное
der Gang ist schmal                              |проход узкий
eine ungeschickte Bewegung                       |неловкое движение
das Vorzimmer betreten                           |войти в приемную
die Hosenträger sind stark                       |подтяжки крепкие
einzigartig Kunstwerk                            |единственное в своем роде произведение искусства
ein schmuckes Haus                               |красивый дом
sich für die Hilfe bedanken                      |поблагодарить за помощь
die Entscheidung ist klar                        |решение ясно
der Filmschauspieler spielt                      |киноактер играет
die Zahnbürste benutzen                          |пользоваться зубной щеткой
die Verleihung organisieren                      |организовывать награждение
ein gehässiger Kommentar                         |язвительный комментарий
kollabieren vor Erschöpfung                      |ослабевать от усталости
die Akte ist voll                                |документ полный
eine Strecke laufen                              |пройти дистанцию
der Sohn lernt                                   |сын учится
die Schwelle überschreiten                       |переступать порог
das Unterhaltungsprogramm genießen               |наслаждаться развлекательной программой
die Provokation vermeiden                        |избегать провокации
die Idee ist gut                                 |идея хорошая
etwas fortbringen                                |что-то уносить
der Weihnachtsabend ist ruhig                    |канун Рождества спокойный
die Spirituosen kaufen                           |покупать спиртные напитки
die Jugend ist kurz                              |молодость короткая
das Messer schärfen                              |точить нож
der Zeichentrickfilm läuft                       |мультфильм идет
ein verdichtetes Gas                             |сжатый газ
Kleidung trocknen                                |сушить одежду
eine verheiratete Frau                           |замужняя женщина
die Frische ist wichtig                          |свежесть важна
was ist los?                                     |что случилось?
ein angestammtes Haus                            |родовой дом
die Befangenheit ist groß                        |смущение велико
bei der Besprechung anwesend sein                |присутствовать на собрании
nirgends zu finden                               |нигде не найти
die Briefmarke ist selten                        |марка редкая
der Fall ist ungewöhnlich                        |случай необычный
das Vermögen verwalten                           |управлять имуществом
akustische Signale                               |акустические сигналы
eine Gefahr abwenden                             |предотвращать опасность
einen Befehl verfügen                            |распоряжаться приказом
die Autowerkstatt ist offen                      |станция техобслуживания открыта
fehlen an + D                                    |не хватать чего-либо
laut röhren                                      |громко реветь
die Tischdecke legen                             |накрыть стол скатертью
der Topf kocht                                   |кастрюля кипит
der Geliebte wartet                              |возлюбленный ждет
das Amt bekleiden                                |занимать должность
das Geschäft führen                              |вести дело
die Nationalität angeben                         |указать национальность
das Geschlecht bestimmen                         |определять пол
ein krampfartiger Schmerz                        |спастическая боль
ein flüchtiger Gedanke                           |мимолетная мысль
das Radio hören                                  |слушать радио
ein Geschäft betreiben                           |вести бизнес
der Juni ist warm                                |июнь теплый
die Zahlungsbedingungen vereinbaren              |согласовывать условия платежа
die Regel befolgen                               |следовать правилу
der Maler malt                                   |художник рисует
jemanden gefährden                               |подвергать кого-то опасности
mit jemandem sprechen                            |говорить с кем-то
die Aushöhlung ist tief                          |выемка глубокая
erzeugen Strom                                   |производить электричество
ein Bild anschauen                               |рассматривать картину
der Ski gleitet                                  |лыжа скользит
ungehorsam sein                                  |быть непослушным
sich um eine Stelle bemühen                      |хлопотать о месте работы
die Sportarten betreiben                         |заниматься видами спорта
die Waffe reinigen                               |чистить оружие
sich nach hinten umkehren                        |оборачиваться назад
freiberuflich arbeiten                           |работать за гонорар
dazwischen liegen                                |находиться между
das Volk vertreten                               |представлять народ
der Kelch ist voll                               |чаша полная
zur Vermeidung von Unfällen                      |во избежание несчастных случаев
dreihundert zählen                               |считать до трехсот
ein Einschreiben senden                          |отправить заказное письмо
wohl fühlen                                      |чувствовать себя хорошо
eine Sitzung anberaumen                          |назначить заседание
die Erhebungen sind abgeschlossen                |сбор сведений завершен
das Campinghemd tragen                           |носить летнюю рубашку
Deutschland besuchen                             |посетить Германию
der Anstoß des Spiels                            |начало игры
entheben der Pflicht                             |освобождать от обязанностей
der Rechner rechnet                              |калькулятор считает
anläßlich dieses Gesprächs                       |по поводу этого разговора
überflüssiges Gepäck                             |лишний багаж
zerschmelzen im Mund                             |таять во рту
der Reifenwechsel erfolgt                        |замена шины происходит
montags arbeiten                                 |работать по понедельникам
die Vorrichtung installieren                     |устанавливать устройство
der Regen fällt                                  |дождь идет
spurlos verschwinden                             |бесследно исчезнуть
angesichts der Situation                         |перед лицом ситуации
das Lexikon lesen                                |читать энциклопедию
für jemanden gelten                              |быть действительным для кого-то
eine unablässige Nachfrage                       |постоянный спрос
übertreffen die Erwartungen                      |превзойти ожидания
der Angriff beginnt                              |начинается нападение
der Auszug ist fertig                            |переезд завершен
das Auswendiglernen üben                         |практиковать заучивание наизусть
jemanden benachrichtigen                         |уведомлять кого-то
der Umweg ist lang                               |окольная дорога длинная
die Nummer wählen                                |набрать номер
disseminierte intravasale Gerinnung behandeln    |лечить распространённое внутрисосудистое свёртывание
donnerstags treffen                              |встречаться по четвергам
die Kernwaffen sind gefährlich                   |ядерное оружие опасное
ein lieber Freund                                |дорогой друг
zwölfte Klasse                                   |двенадцатый класс
dreiviertel der Zeit                             |три четверти времени
die Gesamtsumme ist hoch                         |общая сумма велика
der Gemüsesalat ist frisch                       |овощной салат свежий
der Bahnhof ist groß                             |вокзал большой
ein gemütliches Zimmer                           |уютная комната
der Wohnraum ist teuer                           |жилая площадь дорогая
der Einspruch wurde eingereicht                  |возражение подано
sich widmen einem Hobby                          |посвящать себя хобби
der Knotenpunkt ist wichtig                      |узловая станция важна
der Gott ist groß                                |бог велик
der Umfang ist groß                              |объем большой
die Straße überqueren                            |перейти улицу
die Verlobte umarmen                             |обнимать невесту
einen Fehler begehen                             |совершить ошибку
nachmittags spazieren gehen                      |гулять во второй половине дня
plötzlich aufstehen                              |внезапно встать
die umliegenden Dörfer                           |окрестные деревни
das Wachstum fördern                             |способствовать росту
der Ansatz eines Problems                        |начало проблемы
ekel Geruch                                      |отвратительный запах
schutzlos sein                                   |быть беззащитным
der Anlasser funktioniert                        |стартер работает
die Tür schließen                                |закрыть дверь
die Wolke beobachten                             |наблюдать за облаком
gesund sein                                      |быть здоровым
die Filmvorführung beginnt                       |демонстрация кинофильма начинается
stellenweise regnen                              |местами идет дождь
erzielen gute Ergebnisse                         |добиваться хороших результатов
der Waggon ist voll                              |вагон полный
das Wunder bestaunen                             |восхищаться чудом
sich fortpflanzen                                |размножаться
für jemanden bürgen                              |ручаться за кого-то
eine resolute Entscheidung                       |категоричное решение
die Nachtigall singen hören                      |слышать пение соловья
sich mit der Aufgabe beeilen                     |торопиться с задачей
der Anflug eines Flugzeugs                       |прилет самолета
die Gastfreundschaft ist herzlich                |гостеприимство сердечное
Ressourcen verfügbar machen                      |делать ресурсы доступными
sicher sein                                      |быть уверенным
drehen den Kopf                                  |поворачивать голову
die graue Realität                               |ужасная реальность
auf Abzahlung kaufen                             |покупать в рассрочку
der Stich schmerzt                               |укол болит
elend Zustand                                    |жалкое состояние
die Scheinwerfer einschalten                     |включить фары
die Vorsicht walten lassen                       |проявлять осторожность
das Hemd bügeln                                  |гладить рубашку
die Schwierigkeit überwinden                     |преодолеть трудность
die Flasche ist leer                             |бутылка пуста
genauso machen                                   |делать точно так же
zum Erfolg beitragen                             |способствовать успеху
ich muss gehen                                   |мне нужно идти
ein Gebäude ausbauen                             |расширить здание
ausgehende Vorräte                               |исчерпывающиеся запасы
die Mitteilung lesen                             |читать сообщение
das Auto fahren                                  |вести машину
wider alle Erwartungen                           |вопреки всем ожиданиям
die Lehre vermitteln                             |обучать
selbstkritisch sein                              |быть самокритичным
erschweren die Bedingungen                       |усложнять условия
der Stock ist alt                                |палка старая
die Schiene reparieren                           |чинить рельс
ein Gebiet verheeren                             |опустошать область
der Duft ist angenehm                            |запах приятный
der Staat wächst                                 |государство растет
der Anblick ist wunderschön                      |вид прекрасен
zerspalten das Holz                              |расколоть дерево
der Husten ist schlimm                           |кашель сильный
der graue Gedanke                                |ужасная мысль
ein Loch bohren                                  |сверлить дырку
der Körper ist stark                             |тело крепкое
die Medizin einnehmen                            |принимать лекарство
die Lockenwickler benutzen                       |использовать бигуди
die Speisekarte lesen                            |читать меню
Kaffee aufgießen                                 |заваривать кофе
wieweit sind wir?                                |насколько мы продвинулись?
wie geht es dir?                                 |как у тебя дела?
die Kindererziehung ist wichtig                  |воспитание детей важно
etwas lassen                                     |оставлять что-то
ein unmöglicher Plan                             |невозможный план
hoch fliegen                                     |летать высоко
die Bucht ist ruhig                              |бухта спокойная
eine Gruppe führen                               |руководить группой
tief atmen                                       |глубоко дышать
ein seltsamer Klang                              |странный звук
der Umkreis ist weit                             |округа большая
vornehmen eine Aufgabe                           |выполнять задачу
die Einführung ist klar                          |введение понятно
eine Aussage vernehmen                           |слышать показания
auf eine Frage antworten                         |отвечать на вопрос
der Förster arbeitet                             |лесничий работает
das Gehalt auszahlen                             |выплачивать зарплату
der Erzeuger produziert                          |производитель производит
vorgestern war es kalt                           |позавчера было холодно
eine Handlung unterlassen                        |воздержаться от действия
es kommt auf die Situation an                    |это зависит от ситуации
der Löwe brüllt                                  |лев рычит
der Leckerbissen ist köstlich                    |лакомый кусок вкусный
einen Hund ausführen                             |выводить собаку на прогулку
die Rechtschreibung lernen                       |изучать орфографию
die Uni besuchen                                 |посещать университет
ab dem Bahnhof                                   |от вокзала
überqueren die Straße                            |пересекать улицу
die Aufnahmebestimmungen sind streng             |правила приема строгие
der Unsinn ist groß                              |бессмыслица велика
die Wärme fühlen                                 |чувствовать тепло
die Anforderung ist hoch                         |требование велико
der Unterschied ist groß                         |различие велико
die Anwendung ist einfach                        |применение простое
die Pferderennbahn besuchen                      |посетить ипподром
30 cm lang                                       |длиной 30 см
eingesetzt werden                                |быть назначенным
die Insel entdecken                              |открывать остров
weiss das Geheimnis                              |знать секрет
entlegen Dorf                                    |отдаленная деревня
eine schwierige Aufgabe bewältigen               |справляться со сложной задачей
das Seuche verhindern                            |предотвратить эпидемию
die Gerinnung ist wichtig                        |свертывание важно
ein abstoßender Geruch                           |отвратительный запах
der Passant geht                                 |прохожий идет
die Stärke erhöhen                               |увеличивать мощность
die Diele ist schmal                             |прихожая узкая
eine perkutane Injektion                         |инъекция через кожу
von einem Stuhl stürzen                          |падать со стула
zurückkommen später                              |вернуться позже
erraten die Antwort                              |отгадывать ответ
entziehen das Vertrauen                          |лишать доверия
sich auf eine Aufgabe konzentrieren              |сосредотачиваться на задаче
wünschen alles Gute                              |желать всего хорошего
der Gruß wird geschickt                          |приветствие отправлено
eine Schule umbauen                              |перестраивать школу
der Knopf fehlt                                  |не хватает пуговицы
der Geistesblitz kommt                           |озарение приходит
ein unerschütterlicher Glaube                    |непоколебимая вера
ein Kind großziehen                              |растить ребенка
sie bescherte dem Kind eine Puppe zu Weihnachten |она подарила ребёнку на Рождество куклу
die Garantiefrist ist abgelaufen                 |срок гарантии истек
die Festrede wird gehalten                       |торжественная речь произносится
das Bodybuilding trainieren                      |тренироваться в культуризме
die Eigenschaft ist gut                          |качество хорошее
eine Stadt mit einer Brücke verbinden            |соединять город мостом
ein prachtvolles Gebäude                         |великолепное здание
erst jetzt                                       |только сейчас
nachhaltige Entwicklung                          |долговременное развитие
die Narbe bleibt                                 |шрам остается
ein Cafe besuchen                                |посетить кафе
die Autofahrt ist lang                           |поездка на машине длинная
der Zapfen ist fest                              |пробка крепкая
das Gerüst aufbauen                              |строить леса
überstehen die Schwierigkeiten                   |выдерживать трудности
der Enkel besucht                                |внук посещает
nach Hause gehen                                 |идти домой
ein Buch bestellen                               |заказывать книгу
das Badezimmer reinigen                          |чистить ванную комнату
das Papier falten                                |сгибать бумагу
umsonst warten                                   |ждать напрасно
das Land bereisen                                |путешествовать по стране
der Zettel ist klein                             |наклейка маленькая
erahnen die Zukunft                              |предчувствовать будущее
alle anwesenden Mitarbeiter                      |все присутствующие сотрудники
das Gedächtnis trainieren                        |тренировать память
der Buchstabe fehlt                              |буквы не хватает
der Komplize hilft                               |сообщник помогает
auch kommen                                      |также прийти
eine Gefahr verhindern                           |предотвращать опасность
der Hagel fällt                                  |падает град
die Lokomotive fahren                            |управлять локомотивом
auf dem Tisch                                    |на столе
das Wohlergehen sichern                          |обеспечивать благополучие
die Butter streichen                             |мазать масло
eine Firma leiten                                |руководить фирмой
die Kundschaft ist zufrieden                     |клиентура довольна
der Baum im Park                                 |дерево в парке
das Geld sparen                                  |копить деньги
eine gestrichene Wand                            |покрашенная стена
einen Baum schmücken                             |украшать дерево
ein Hindernis überwinden                         |преодолеть препятствие
die Feinkost ist lecker                          |деликатесы вкусные
der Büchsenöffner fehlt                          |не хватает консервного ножа
der Wartesaal ist voll                           |зал ожидания полный
der Frost ist stark                              |мороз сильный
die Abschrift ist klar                           |копия ясная
das Taschengeld bekommen                         |получать карманные деньги
dabei sein                                       |быть при этом
das Zimmer ist nach Süden gelegen                |комната выходит на юг
zum Markt gehen                                  |идти на рынок
ein gutes Benehmen zeigen                        |показать хорошее поведение
erdulden die Schmerzen                           |терпеть боль
der Elektroherd heizt                            |электрическая плита нагревается
links abbiegen                                   |повернуть налево
zerbrechliches Glas                              |хрупкое стекло
eine Tasche auspacken                            |распаковывать сумку
amerikanischer Akzent                            |американский акцент
der Putz ist frisch                              |штукатурка свежая
um Hilfe flehen                                  |умолять о помощи
ein gängiges Produkt                             |общепринятый продукт
die Störung beheben                              |устранить неисправность
übertragbare Krankheit                           |заразная болезнь
entscheidend Schritt                             |решающий шаг
die federnde Matratze                            |пружинящий матрас
der Schriftsteller schreibt                      |писатель пишет
der Abschied nehmen                              |прощаться
ein sturer Mensch                                |упрямый человек
dauerhaft bestehen                               |существовать длительное время
etwas pressen                                    |сжимать что-то
wir sind geboren                                 |мы родились
über ein Thema sagen                             |говорить о теме
die Tausend zählen                               |считать тысячу
der Gatte hilft                                  |супруг помогает
ein Boot fahren                                  |управлять лодкой
die Rente erhalten                               |получать пенсию
der Salzstreuer ist leer                         |солонка пустая
die Freundschaft ist stark                       |дружба крепкая
der Mensch lebt                                  |человек живет
soviel ich weiß                                  |насколько я знаю
der Spiegel hängen                               |вешать зеркало
der Ehrgeiz ist stark                            |честолюбие сильное
akkurat arbeiten                                 |работать аккуратно
der Fechter kämpft                               |фехтовальщик сражается
die Beschäftigung ist interessant                |занятие интересное
äußerlich ruhig                                  |внешне спокойный
der Abreisetag naht                              |день отъезда приближается
die Bewahrung ist notwendig                      |охранение необходимо
ein Bad nehmen                                   |принимать ванну
das Regal montieren                              |собирать полку
jemandem aushelfen                               |выручать кого-то
dass er kommt                                    |что он придет
die Stadt besuchen                               |посетить город
der Fasching beginnt                             |карнавал начинается
der Wintermantel ist warm                        |зимнее пальто теплое
nicht stürzen!                                   |не бросать!
ein unwichtiges Detail                           |несущественная деталь
zugängliches Material                            |доступный материал
sich warm anziehen                               |тепло одеваться
genießbares Essen                                |съедобная еда
das Grundgesetz studieren                        |изучать конституцию
ein gestreiftes Hemd                             |полосатая рубашка
die Vollzeitstelle suchen                        |искать вакансию на полную ставку
gleichgroße Stücke                               |одинаковой величины куски
das Paradies beschreiben                         |описывать рай
zeigen auf das Bild                              |показывать на картину
der Packstoff ist leicht                         |упаковочный материал легкий
wandständiger Thrombus                           |пристеночный тромб
ein stumpfer Winkel                              |тупой угол
ein originales Kunstwerk                         |оригинальное произведение искусства
glücklich sein                                   |быть счастливым
den Duft riechen                                 |нюхать аромат
die Abflugszeit ändert sich                      |время отправления меняется
erlauben sich eine Pause                         |позволять себе паузу
das Ausfuhrverbot umgehen                        |обойти запрет на экспорт
das Telefon klingeln                             |телефон звонит
wandern im Wald                                  |гулять в лесу
die Bremsen funktionieren                        |тормоза работают
der Klumpen liegt                                |глыба лежит
die Empfindung ist stark                         |ощущение сильное
eine berechtigte Frage                           |обоснованный вопрос
der Atem geht schwer                             |дыхание затруднено
die Pappe schneiden                              |резать картон
durchhalten bis zum Ende                         |выдержать до конца
die Post bekommen                                |получить почту
ein ruhiger Ort                                  |спокойное место
der Aufwand ist hoch                             |затраты высоки
das Sprichwort benutzen                          |использовать пословицу
einleiten eine Untersuchung                      |начинать расследование
etwas aufschreiben                               |написать что-то
