of|IO|The color of the car is red.
electable|JJ|She is considered highly electable.
haiku|NN|He wrote a haiku.
vacillate|VV0|They vacillate between choices.
firebrand|NN|The firebrand stirred up the crowd.
enumeration|NN|The enumeration of points was thorough.
fair|VV0|They fair poorly in the contest.
depredation|NN|The depredation of the land was severe.
ruffian|NN|The ruffian caused trouble.
analytically|RR|She approached the problem analytically.
individuation|NN|Individuation is important in psychology.
dimpled|JJ|Her dimpled smile was charming.
flavonoid|NN|Flavonoid compounds are found in plants.
rhapsody|NN|The music was a rhapsody of sound.
rue|NN|He expressed rue for his actions.
chortle|VV0|He couldn't help but chortle.
tanning|JJ|She bought a tanning lotion.
icebox|NN|They stored food in the icebox.
federated|JJ|The states were federated.
potpourri|NN|The room smelled of potpourri.
airless|JJ|The room felt airless.
anti-discrimination|JJ|They support anti-discrimination laws.
freckle|VV0|The sun freckle her skin.
comorbidity|NN|Comorbidity complicates treatment.
best-case|JJ|This is the best-case scenario.
napa|NN|They visited Napa Valley.
townsfolk|NN|The townsfolk gathered for the event.
pawnshop|NN|He bought it at a pawnshop.
buss|VV0|He buss the tables quickly.
fanbase|NN|The band's fanbase is growing.
hunchback|NN|The hunchback walked slowly.
transgendered|JJ|She is a transgendered person.
nonchalance|NN|His nonchalance surprised everyone.
yoruba|NN|The Yoruba culture is rich.
even-handed|JJ|He gave an even-handed decision.
alabaster|NN|The sculpture was made of alabaster.
drowned|JJ|The drowned man was found.
incorporated|JJ|The city was incorporated last year.
chiseled|JJ|He had chiseled features.
cosmonaut|NN|The cosmonaut returned safely.
americanism|NN|They discussed Americanism in literature.
gangbanger|NN|The gangbanger was arrested.
nonalcoholic|JJ|They served nonalcoholic drinks.
killin|JJ|It was a killin' party.
antiwar|JJ|They held an antiwar protest.
fiefdom|NN|The area was his fiefdom.
bridegroom|NN|The bridegroom was nervous.
high-yield|JJ|They invested in high-yield bonds.
monorail|NN|The city built a monorail.
skateboarder|NN|The skateboarder performed tricks.
surfing|JJ|They wore surfing gear.
dereliction|NN|He was charged with dereliction of duty.
preppy|JJ|He dressed in a preppy style.
whirling|JJ|The whirling dance was mesmerizing.
glute|NN|He worked on his glutes.
stealthily|RR|He moved stealthily through the house.
paperweight|NN|She used a rock as a paperweight.
uncommitted|JJ|He remained uncommitted to the cause.
revisionism|NN|They debated historical revisionism.
crewmember|NN|The crewmember was injured.
overlooked|JJ|The detail was overlooked.
menorah|NN|The menorah was lit for Hanukkah.
lower-cost|JJ|They found a lower-cost alternative.
absentmindedly|RR|He absentmindedly left his keys.
luck|VV0|You might luck out this time.
reefer|NN|They stored goods in the reefer.
valise|NN|He packed his valise.
ebullient|JJ|Her ebullient personality was infectious.
biochar|NN|Biochar improves soil quality.
scalp|VV0|They scalp the tickets.
reintegrate|VV0|They reintegrate into society.
greenbelt|NN|The city has a greenbelt.
afterglow|NN|The afterglow was beautiful.
ennui|NN|He felt ennui during the lecture.
pontificate|VV0|He likes to pontificate on politics.
minaret|NN|The minaret towered over the city.
battlement|NN|The castle had high battlements.
gamete|NN|Gamete cells are vital for reproduction.
obtainable|JJ|The prize was obtainable.
serotype|NN|The serotype was identified.
advertised|JJ|The advertised product sold well.
multi-tasking|JJ|She is great at multi-tasking.
sanctification|NN|The sanctification was a holy process.
calculating|JJ|He had a calculating mind.
non-european|JJ|They studied non-European cultures.
co-anchor|NN|The co-anchor introduced the segment.
loveliness|NN|Her loveliness was admired.
perplexity|NN|He was in a state of perplexity.
postulate|NN|The postulate was proven.
fluted|JJ|The vase had fluted edges.
toga|NN|He wore a toga at the party.
sartorial|JJ|His sartorial choices were impeccable.
dappled|JJ|The sunlight was dappled through the leaves.
melt|NN|The melt was quick.
innovating|JJ|She is known for her innovating ideas.
lob|NN|He returned the lob with ease.
canonization|NN|The canonization was a long process.
unvaccinated|JJ|The unvaccinated children were at risk.
collegiality|NN|Collegiality is valued in the workplace.
reattach|VV0|They will reattach the part.
on-time|JJ|The delivery was on-time.
decontamination|NN|The decontamination took hours.
re-launch|VV0|They plan to re-launch the product.
pileup|NN|The pileup caused a major delay.
rough-and-tumble|NN|The rough-and-tumble game was intense.
radiocarbon|NN|They used radiocarbon dating.
landless|JJ|The landless peasants revolted.
abridge|VV0|They abridge the novel for younger readers.
hard-on|NN|The drug caused a hard-on.
constitutionalism|NN|Constitutionalism guides the law.
ponderosa|NN|The ponderosa pines were tall.
grouchy|JJ|He was in a grouchy mood.
retrial|NN|The retrial was ordered by the judge.
bonehead|NN|He made a bonehead move.
cross-examine|VV0|The lawyer will cross-examine the witness.
twenty-fifth|MC|He finished in twenty-fifth place.
beanie|NN|He wore a beanie to stay warm.
intramural|JJ|The school hosted intramural games.
minnesotan|NN|The Minnesotan accent was strong.
servile|JJ|His servile attitude was off-putting.
tropic|JJ|The tropic heat was intense.
bedfellow|NN|Politics makes strange bedfellows.
goalpost|NN|The kicker aimed for the goalpost.
smut|NN|The book was filled with smut.
catalan|NN|They studied Catalan language.
swoon|NN|He fell into a swoon.
masseuse|NN|The masseuse was very skilled.
dither|VV0|Don't dither; make a decision.
rose-colored|JJ|He wore rose-colored glasses.
nondenominational|JJ|They attended a nondenominational service.
staphylococcus|NN|Staphylococcus infections are common.
enticement|NN|The enticement was too strong to resist.
birthing|JJ|The birthing process was smooth.
bezel|NN|The watch had a gold bezel.
folktale|NN|They told an old folktale.
off-guard|JJ|The attack caught them off-guard.
free-flowing|JJ|The conversation was free-flowing.
dodo|NN|The dodo is extinct.
niacin|NN|Niacin is essential for health.
sucker|VV0|They sucker you into buying more.
forward-thinking|JJ|The company has a forward-thinking strategy.
post-communist|JJ|The country adopted post-communist reforms.
providential|JJ|Their meeting was providential.
typhus|NN|Typhus spread quickly through the camp.
come-on|NN|He used a cheesy come-on.
unappreciated|JJ|He felt unappreciated at work.
bonsai|NN|He cared for the bonsai tree.
give-and-take|JJ|Their relationship was built on give-and-take.
three-star|JJ|They stayed at a three-star hotel.
topological|JJ|They studied topological structures.
lead-in|NN|The lead-in was well-written.
fictionalized|JJ|The story was fictionalized.
feigned|JJ|He had a feigned interest in the subject.
inverter|NN|The inverter was faulty.
backstroke|NN|She won the backstroke race.
superdelegate|NN|The superdelegate had a decisive vote.
verbiage|NN|The report was full of verbiage.
emaciated|JJ|The emaciated dog was rescued.
asiatic|JJ|They studied Asiatic cultures.
instep|NN|The shoe fit snugly on the instep.
brawn|NN|His brawn was impressive.
yes/no|UH|He answered yes/no.
uncluttered|JJ|The room was uncluttered.
troika|NN|The troika made the decision.
downwind|JJ|They camped downwind of the smoke.
extractive|JJ|They used extractive methods.
hermeneutic|JJ|They debated hermeneutic approaches.
ding|VV0|They ding the car in the parking lot.
recyclable|NN|The bottle is recyclable.
sixty-one|MC|He celebrated his sixty-first birthday.
driverless|JJ|Driverless cars are the future.
sidearm|NN|The officer carried a sidearm.
prescribing|NN|The prescribing of drugs was controlled.
derisively|RR|He laughed derisively.
full-color|JJ|The magazine was full-color.
hatching|NN|The hatching of eggs was watched closely.
needful|JJ|It was a needful task.
globalize|VV0|They aim to globalize the brand.
zimbabwean|JJ|The Zimbabwean culture is unique.
communitarian|JJ|They follow communitarian values.
tartan|JJ|He wore a tartan kilt.
co-producer|NN|She is the co-producer of the show.
harasser|NN|The harasser was reported.
entomb|VV0|They entomb the remains in the mausoleum.
oscar-nominated|JJ|The oscar-nominated film was excellent.
parotid|JJ|She had a parotid gland infection.
inveterate|JJ|He was an inveterate gambler.
ritually|RR|They ritually wash before prayer.
scurvy|NN|Scurvy was common among sailors.
inactivate|VV0|They inactivate the virus.
candelabra|NN|The candelabra was ornate.
vassal|NN|The vassal swore allegiance.
howler|NN|The mistake was a howler.
coffeemaker|NN|The coffeemaker was broken.
intentioned|JJ|He was well-intentioned.
racquetball|NN|They played racquetball on the weekend.
well-preserved|JJ|The artifact was well-preserved.
second-in-command|NN|The second-in-command took charge.
human-like|JJ|The robot had human-like features.
wicket|NN|The bowler aimed for the wicket.
semi-annual|JJ|They held semi-annual meetings.
convocation|NN|The convocation was well-attended.
seance|NN|They held a seance to contact spirits.
altarpiece|NN|The altarpiece was beautifully crafted.
seltzer|NN|He drank a glass of seltzer.
priory|NN|The priory was old and quiet.
loosening|NN|The loosening of restrictions was welcomed.
banquette|NN|They sat on the banquette.
emotionless|JJ|His face was emotionless.
prefigure|VV0|The event seemed to prefigure the disaster.
booming|NN|The booming was loud and constant.
witch-hunt|NN|They were victims of a witch-hunt.
coherently|RR|She spoke coherently.
jaundiced|JJ|The baby had a jaundiced look.
cyclops|NN|The cyclops was a fearsome creature.
stingray|NN|The stingray swam near the shore.
germplasm|NN|They studied plant germplasm.
massed|JJ|The massed ranks of soldiers advanced.
instrumentality|NN|The instrumentality of law is complex.
deluge|VV0|The rain deluge the city.
high-achieving|JJ|He was a high-achieving student.
westernized|JJ|They adopted a westernized lifestyle.
petting|JJ|They visited a petting zoo.
slicer|NN|He used a slicer for the bread.
imprudent|JJ|His actions were imprudent.
debt-free|JJ|They were finally debt-free.
outrank|VV0|She outrank everyone in the company.
stapler|NN|The stapler was jammed.
hooky|JJ|He skipped school, playing hooky.
historicity|NN|They questioned the historicity of the account.
escapist|NN|He enjoyed reading escapist fiction.
minimum-wage|JJ|They campaigned for minimum-wage increases.
state-funded|JJ|The project was state-funded.
itching|NN|The itching was unbearable.
phishing|NN|Phishing scams are common online.
schnapps|NN|He poured a shot of schnapps.
fast-track|JJ|They are on the fast-track to success.
custom-built|JJ|They ordered a custom-built car.
coot|NN|The old coot was grumpy.
fashionably|RR|She arrived fashionably late.
maimed|JJ|The maimed soldier was honored.
hypodermic|JJ|He used a hypodermic needle.
gaily|RR|The children played gaily.
frankness|NN|Her frankness was refreshing.
daunt|VV0|The task doesn't daunt him.
freestanding|JJ|They installed a freestanding bathtub.
immunosuppressive|JJ|She was on immunosuppressive medication.
litigious|JJ|They are known to be litigious.
loveless|JJ|It was a loveless marriage.
plover|NN|The plover nested on the beach.
get-together|NN|They had a small get-together.
apostate|JJ|The apostate was exiled.
humbled|JJ|He was humbled by the experience.
two-headed|JJ|They discovered a two-headed snake.
veep|NN|The veep attended the meeting.
bumbling|JJ|The bumbling thief was caught.
self-guided|JJ|They took a self-guided tour.
intubation|NN|The intubation was necessary.
arian|JJ|They studied Arian theology.
seventy-three|MC|He scored seventy-three points.
good-faith|JJ|They made a good-faith effort.
remit|VV0|They remit the payment monthly.
minty|JJ|The toothpaste was minty.
ejaculate|VV0|He ejaculates quickly.
masochism|NN|He explored masochism in his work.
readjustment|NN|The readjustment took time.
cation|NN|They studied the cation's properties.
mimosa|NN|They served mimosas at brunch.
touchy-feely|JJ|He had a touchy-feely attitude.
cohabit|VV0|They cohabit before marriage.
shiitake|NN|They added shiitake mushrooms to the dish.
irreparably|RR|The damage was irreparably done.
non-conference|JJ|They played a non-conference game.
non-local|JJ|The news was non-local.
speeder|NN|The speeder was caught.
socialistic|JJ|They have socialistic policies.
biome|NN|They studied the rainforest biome.
pillory|VV0|They pillory the criminal in the square.
yip|NN|The dog gave a small yip.
pontifical|JJ|The pontifical robes were elaborate.
occipital|JJ|The injury affected the occipital lobe.
hayride|NN|They went on a hayride.
argon|NN|They used argon in the experiment.
docent|NN|The docent led the tour.
kingfisher|NN|The kingfisher dived for fish.
bright-eyed|JJ|The bright-eyed child was eager.
cartographic|JJ|They created a cartographic map.
lout|NN|The lout was disruptive.
sodomize|VV0|They sodomize the victim brutally.
abortionist|NN|The abortionist was prosecuted.
glutamate|NN|Glutamate is a key neurotransmitter.
quizzically|RR|He looked at her quizzically.
criminalization|NN|The criminalization of drugs has been debated.
unheated|JJ|The room felt cold and unheated.
alkali|NN|The alkali burned his skin.
two-car|JJ|They own a two-car garage.
cytoplasmic|JJ|The cytoplasmic layer is important.
stepmom|NN|Her stepmom was very kind.
tartar|JJ|She has tartar buildup on her teeth.
drenched|JJ|They were drenched by the rain.
balustrade|NN|She leaned on the balustrade.
railroad|VV0|They plan to railroad the project.
kosovar|NN|The Kosovar community gathered.
comorbidities|NN|The patient had multiple comorbidities.
reply|IN|She didn't reply to his message.
penitent|NN|The penitent sought forgiveness.
improv|NN|They enjoyed the improv show.
activator|NN|The enzyme acts as an activator.
leaping|JJ|The leaping deer was graceful.
fenced|JJ|The garden was fenced in.
cartographer|NN|The cartographer mapped the region.
interrupted|JJ|Their conversation was interrupted.
uninstall|VV0|He had to uninstall the software.
biophysical|JJ|Biophysical properties were measured.
king-size|JJ|They bought a king-size bed.
fricative|NN|The fricative sound was clear.
dimmer|NN|He adjusted the dimmer on the lights.
harmonic|NN|The harmonic tones were soothing.
wavelet|NN|They studied the wavelet theory.
humbug|NN|His claims were pure humbug.
macadamia|NN|She loves macadamia nuts.
parsimonious|JJ|His parsimonious nature was known.
chill|JJ|The chill wind made them shiver.
stovetop|NN|She cooked on the stovetop.
sniffer|NN|The dog was a trained sniffer.
alliteration|NN|The poem used alliteration effectively.
colorist|NN|The colorist worked on the film.
kraut|NN|He added kraut to his dish.
crone|NN|The old crone told a story.
spectroscopic|JJ|Spectroscopic analysis was required.
water-based|JJ|They used water-based paint.
subjunctive|NN|He struggled with the subjunctive mood.
achingly|RR|The music was achingly beautiful.
rayon|NN|She wore a rayon dress.
hard-headed|JJ|He was known for being hard-headed.
commode|NN|The commode was antique.
breathalyzer|NN|He took a breathalyzer test.
home-run|JJ|He hit a home-run in the final game.
rrna|NN|They sequenced the rRNA.
morpheme|NN|A morpheme is the smallest unit of meaning.
unleaded|JJ|They filled the car with unleaded gas.
udder|NN|The cow's udder was full.
non-aligned|JJ|They remained non-aligned during the conflict.
consumerist|NN|The consumerist culture is pervasive.
t-bone|NN|He ordered a t-bone steak.
physicalism|NN|Physicalism is a philosophical theory.
clustered|JJ|The stars were clustered together.
four-man|JJ|They entered a four-man race.
paladin|NN|The paladin led the charge.
classless|JJ|The classless society was a dream.
wordy|JJ|The essay was too wordy.
barmaid|NN|The barmaid served drinks quickly.
adduce|VV0|They adduce evidence to support their claims.
hi-tech|JJ|The gadget was hi-tech.
borer|NN|The borer damaged the trees.
self-governing|JJ|They formed a self-governing community.
interdependency|NN|Their interdependency was clear.
gangrene|NN|Gangrene set in quickly.
beta-carotene|NN|Beta-carotene is found in carrots.
three-person|JJ|They lived in a three-person household.
laggard|NN|The laggard slowed down the group.
cordially|RR|She welcomed them cordially.
cushioning|NN|The cushioning was soft and comfortable.
whitefish|NN|They fished for whitefish in the lake.
umpteenth|MC|He tried for the umpteenth time.
accomodate|VV0|They can accommodate all guests.
eighty-one|MC|She turned eighty-one today.
lamentable|JJ|The lamentable mistake was costly.
squeezing|NN|The squeezing of the juice was done by hand.
calisthenics|NN|They performed calisthenics every morning.
disinclined|JJ|He was disinclined to agree.
ingeniously|RR|The plan was ingeniously simple.
antigovernment|JJ|They held antigovernment protests.
diuretic|NN|The doctor prescribed a diuretic.
tactfully|RR|She handled the situation tactfully.
prefecture|NN|They traveled through the prefecture.
checkbox|NN|He checked the checkbox.
honk|NN|The car's honk was loud.
lighthearted|JJ|The lighthearted movie was fun.
domesticate|VV0|They domesticate wild animals.
gargle|VV0|He was told to gargle with saltwater.
schadenfreude|NN|She felt schadenfreude at his failure.
discernable|JJ|The difference was barely discernable.
cutaway|NN|The cutaway revealed the inner workings.
spiritualist|NN|The spiritualist claimed to contact spirits.
gas-powered|JJ|They drove a gas-powered vehicle.
mailroom|NN|The mailroom was busy.
morel|NN|They foraged for morel mushrooms.
snatcher|NN|The snatcher was caught by the police.
onyx|NN|The ring was made of onyx.
yuk|UH|Yuk! That tastes awful.
top-heavy|JJ|The sculpture was top-heavy.
anticommunist|NN|The anticommunist rhetoric was strong.
ecoregion|NN|The ecoregion is known for its biodiversity.
unfailing|JJ|Her unfailing support was appreciated.
turbidity|NN|The water's turbidity was high.
fda-approved|JJ|The drug was FDA-approved.
old-line|JJ|They followed old-line traditions.
virginian|JJ|The Virginian accent was distinct.
unchangeable|JJ|His unchangeable stance frustrated everyone.
airbrush|VV0|She used an airbrush for the final touches.
anchoring|NN|The anchoring process was tricky.
griffin|NN|The griffin is a mythical creature.
wrongdoer|NN|The wrongdoer was caught.
plotting|NN|The plotting of the map took hours.
high-dose|JJ|They were given a high-dose medication.
encephalopathy|NN|The patient was diagnosed with encephalopathy.
fact-based|JJ|They made a fact-based argument.
nearsighted|JJ|He was nearsighted and wore glasses.
swapping|NN|The swapping of roles was seamless.
prefab|NN|They lived in a prefab house.
fifth-year|JJ|He was a fifth-year student.
trade-in|NN|He offered his car as a trade-in.
magpie|NN|The magpie collected shiny objects.
ignominious|JJ|The defeat was ignominious.
biosynthesis|NN|They studied biosynthesis in the lab.
unintelligent|JJ|He made an unintelligent remark.
pasty|NN|She baked a traditional Cornish pasty.
brainpower|NN|Their brainpower was unmatched.
disempower|VV0|The policy aimed to disempower the workers.
hardscrabble|JJ|They lived in a hardscrabble area.
first-line|JJ|She was the first-line manager.
cloaked|JJ|The figure was cloaked in mystery.
thin|RR|She sliced the bread thin.
forfeit|NN|They faced a forfeit due to their absence.
chambered|JJ|The gun was chambered with six bullets.
jawline|NN|His strong jawline was noticeable.
aioli|NN|She made homemade aioli.
risque|JJ|The movie was considered risque.
euclidean|JJ|They solved a Euclidean geometry problem.
pecker|NN|The woodpecker used its pecker to drill into the tree.
built-up|JJ|The area was heavily built-up.
overcast|NN|The overcast darkened the sky.
self-importance|NN|His self-importance was evident.
garnet|NN|The necklace had a garnet pendant.
moto|NN|He rode a moto to work.
disunity|NN|The disunity in the team was apparent.
keyboardist|NN|The keyboardist played a solo.
fortieth|MC|He celebrated his fortieth birthday.
noncommissioned|JJ|The noncommissioned officer took charge.
self-defence|NN|He claimed self-defence in court.
linearity|NN|The linearity of the graph was clear.
biannual|JJ|They held biannual meetings.
ravishing|JJ|She looked ravishing in red.
glycol|NN|They added glycol to the mixture.
self-regulated|JJ|The market is self-regulated.
churning|JJ|The churning sea was rough.
dispositional|JJ|His dispositional tendencies were noted.
gurgle|NN|The gurgle of the stream was soothing.
lingua|NN|They studied the lingua franca.
blather|NN|His speech was just blather.
masochistic|JJ|He had masochistic tendencies.
largess|NN|The king’s largess was famous.
logarithm|NN|They calculated the logarithm.
dispiriting|JJ|The news was dispiriting.
policewoman|NN|The policewoman directed traffic.
searing|NN|The searing on the steak was perfect.
snowdrift|NN|The car got stuck in a snowdrift.
aftercare|NN|The clinic offered aftercare services.
multilateralism|NN|They promoted multilateralism in negotiations.
reanimate|VV0|They attempted to reanimate the patient.
transient|NN|The transient found shelter for the night.
stargazer|NN|The stargazer enjoyed the clear night sky.
campaign-finance|JJ|The campaign-finance reforms were passed.
self-selected|JJ|The participants were self-selected.
gallantry|NN|His gallantry was praised in the battle.
roadshow|NN|The roadshow attracted a large audience.
salicylic|JJ|The cream contained salicylic acid.
hooked|JJ|He was hooked on the new game.
claret|NN|They sipped claret during dinner.
stilt|VV0|They stilt the houses to protect from floods.
weigh-in|NN|The weigh-in determined the category.
sure-fire|JJ|It was a sure-fire way to win.
ballclub|NN|The ballclub won the championship.
surfeit|NN|They had a surfeit of options.
iterate|VV0|They iterate the process to improve accuracy.
dispensing|NN|The dispensing of medicine was automated.
disfigurement|NN|The accident caused severe disfigurement.
scamming|JJ|They were caught in a scamming scheme.
suddenness|NN|The suddenness of the event shocked everyone.
manipulated|JJ|The data seemed manipulated.
believing|JJ|Believing in yourself is key.
sub-domain|NN|The website's sub-domain was registered.
twat|NN|He called him a twat in anger.
polis|NN|The polis was known for its governance.
pre-screen|JJ|They did a pre-screen interview.
trident|NN|Poseidon carried a trident.
nitro|NN|The car was equipped with nitro.
black-haired|JJ|The black-haired girl stood out.
sophomoric|JJ|His sophomoric humor fell flat.
second-biggest|JJ|It was the second-biggest sale of the year.
compromising|JJ|He was caught in a compromising position.
bobsled|JJ|They participated in the bobsled event.
ovenproof|JJ|They bought an ovenproof dish.
hawker|NN|The hawker sold fruits on the street.
adobo|NN|They cooked chicken adobo for dinner.
anti-colonial|JJ|The movement had anti-colonial sentiments.
unmolested|JJ|The village was left unmolested.
self-supporting|JJ|She was proud to be self-supporting.
overhang|VV0|The roof overhang protects the porch.
hemline|NN|The dress had a high hemline.
flighty|JJ|She was too flighty for serious work.
rhesus|NN|They studied the rhesus monkey.
dried-up|JJ|The riverbed was dried-up.
exported|JJ|The goods were exported to Europe.
hexagon|NN|The honeycomb is shaped like a hexagon.
optically|RR|The material is optically transparent.
faxed|JJ|The faxed document was received.
hair-raising|JJ|The horror movie was hair-raising.
weaponize|VV0|They plan to weaponize the technology.
ridley|NN|The ridley turtle is endangered.
impassively|RR|She watched impassively as they argued.
welded|JJ|The parts were welded together.
welter|NN|He was lost in a welter of thoughts.
chilli|NN|They added chilli to the soup.
pumped|JJ|He was pumped for the game.
partaker|NN|He was a partaker in the feast.
light-rail|JJ|They took the light-rail to work.
iconoclast|NN|The iconoclast challenged the norms.
sage|JJ|Her sage advice was appreciated.
hamiltonian|JJ|They discussed Hamiltonian mechanics.
occlude|VV0|They plan to occlude the passage.
preclinical|JJ|The drug is in preclinical trials.
separable|JJ|The items were easily separable.
interiority|NN|The novel focuses on the interiority of the characters.
eight-foot|JJ|He caught an eight-foot fish.
slowing|JJ|The slowing economy worried experts.
unenviable|JJ|She was in an unenviable position.
spacewalk|NN|The astronaut completed a spacewalk.
catastrophically|RR|The project failed catastrophically.
groundcover|NN|They planted groundcover in the garden.
unpleasantly|RR|The weather was unpleasantly humid.
hypersensitivity|NN|She had hypersensitivity to light.
resonator|NN|The resonator improved the sound quality.
subroutine|NN|The subroutine was called multiple times.
schlep|VV0|They had to schlep all their gear.
omniscience|NN|The character was known for his omniscience.
charitably|RR|She charitably donated her earnings.
self-hatred|NN|His self-hatred was evident.
tater|NN|They served baked tater with butter.
draftsman|NN|The draftsman prepared the blueprints.
anti-white|JJ|They protested the anti-white rhetoric.
ax|VV0|He decided to ax the project.
twinkling|JJ|The twinkling lights were magical.
positivist|JJ|His positivist views shaped his work.
cavalcade|NN|The cavalcade passed through the streets.
obliging|JJ|She was very obliging to her guests.
tantalizingly|RR|The cake was tantalizingly close.
dormancy|NN|The plant's dormancy ended in spring.
thunderhead|NN|A thunderhead loomed in the distance.
fizzy|JJ|The soda was fizzy and sweet.
iridium|NN|Iridium is a rare element.
state-mandated|JJ|They followed the state-mandated guidelines.
yemeni|NN|The Yemeni community held a festival.
looted|JJ|The looted artifacts were recovered.
singsong|NN|The singsong of the birds was calming.
best-looking|JJ|He was voted the best-looking actor.
wimp|VV0|Don't wimp out on the challenge.
counter-revolutionary|JJ|They suppressed counter-revolutionary activities.
four-stroke|JJ|He bought a four-stroke engine.
cladding|NN|The cladding was installed on the walls.
kitschy|JJ|The decor was kitschy but fun.
soma|NN|They studied the soma of the neuron.
sloppiness|NN|The sloppiness in the work was apparent.
indefinable|JJ|The feeling was indefinable.
scoutmaster|NN|The scoutmaster led the group.
frazzled|JJ|She felt frazzled after a long day.
dirtbag|NN|The dirtbag was thrown away.
for-profit|NN|The institution was a for-profit organization.
truant|JJ|The truant student was caught.
accrued|JJ|The accrued interest was paid.
photonic|JJ|They researched photonic crystals.
rappel|VV0|They had to rappel down the cliff.
undesired|JJ|The outcome was undesired.
probiotic|JJ|She took a probiotic supplement.
booker|NN|The booker scheduled the appointments.
meddling|JJ|His meddling nature caused issues.
gramophone|NN|They played music on a gramophone.
infinitive|NN|They struggled with the infinitive form.
physiognomy|NN|They analyzed the physiognomy of the subject.
monopolist|NN|The monopolist controlled the market.
two-handed|JJ|He used a two-handed sword.
brainstem|NN|They studied the brainstem in anatomy.
midweek|NN|The event is scheduled for midweek.
zippered|JJ|She wore a zippered jacket.
unmentioned|JJ|The topic was unmentioned in the meeting.
awesomely|RR|The show was awesomely good.
closer|NN|The closer finished the game strong.
interviewing|JJ|The interviewing process was lengthy.
self-denial|NN|He practiced self-denial during Lent.
reprove|VV0|She was quick to reprove bad behavior.
mexican-american|NN|The Mexican-American community is vibrant.
snapdragon|NN|She planted snapdragons in the garden.
survivability|NN|They tested the car's survivability.
bipedal|JJ|The dinosaur was bipedal.
narcolepsy|NN|She was diagnosed with narcolepsy.
night-light|NN|The child slept with a night-light.
sun-like|JJ|The star was sun-like in appearance.
therefrom|RR|The evidence was drawn therefrom.
reputational|JJ|The reputational damage was severe.
quickening|NN|She felt the quickening of the baby.
sorceress|NN|The sorceress cast a spell.
florentine|NN|They admired the Florentine art.
backrest|NN|The chair had a comfortable backrest.
near-earth|JJ|The comet was a near-Earth object.
leeward|JJ|They sailed to the leeward side.
heritable|JJ|The disease is heritable.
crestfallen|JJ|He was crestfallen after the loss.
pothead|NN|The pothead was arrested.
self-care|JJ|She practiced self-care daily.
typecast|VV0|He was typecast in similar roles.
ex-cop|NN|The ex-cop became a private investigator.
best-kept|JJ|The secret was best-kept among friends.
unbind|VV0|They had to unbind the documents.
geometrically|RR|The shapes were geometrically perfect.
mid-twentieth|MC|The mid-twentieth century saw great change.
camisole|NN|She wore a silk camisole.
decamp|VV0|They decided to decamp before dawn.
cross-eyed|JJ|The cross-eyed cat was adopted.
tableware|NN|The tableware was elegant.
late-night|NN|They watched a late-night show.
simulcast|VV0|The event was simulcast worldwide.
mumble|NN|His speech was just a mumble.
black-market|JJ|They dealt in black-market goods.
shielding|NN|The shielding protected against radiation.
file-sharing|JJ|They used a file-sharing program.
blue-ribbon|JJ|She won the blue-ribbon prize.
bulgur|NN|She made a salad with bulgur.
militate|VV0|His actions militate against change.
scarab|NN|The scarab was sacred in ancient Egypt.
literalist|NN|The literalist took the text at face value.
ringed|JJ|The moon was ringed by a halo.
upright|NN|He played the upright bass.
looky|NN|The looky-loos gathered at the scene.
selectman|NN|The selectman was re-elected.
blushing|JJ|The blushing bride was beautiful.
disease-causing|JJ|They studied disease-causing bacteria.
fount|NN|The fount of knowledge was deep.
wholehearted|JJ|She gave a wholehearted effort.
unrepresentative|JJ|The survey was unrepresentative.
three-year-old|NN|The three-year-old was curious.
skybox|NN|They watched the game from the skybox.
unglamorous|JJ|The job was unglamorous but important.
go-getter|NN|The go-getter quickly rose in ranks.
old-world|JJ|They embraced old-world charm.
bruschetta|NN|They served bruschetta as an appetizer.
terrarium|NN|He kept reptiles in a terrarium.
fahrenheit|NN|The temperature was 98 degrees Fahrenheit.
armload|NN|She carried an armload of books.
backhanded|JJ|His compliment was backhanded.
southpaw|NN|The southpaw pitcher was effective.
teething|JJ|The teething baby was fussy.
religionist|NN|The religionist preached to the crowd.
chica|NN|His chica was by his side.
vexation|NN|The delay caused great vexation.
handspring|NN|He did a handspring at the gym.
gab|VV0|They like to gab on the phone.
come-from-behind|JJ|It was a come-from-behind victory.
unwisely|RR|He unwisely chose to ignore the warnings.
wild-type|NN|They studied the wild-type strain.
high-efficiency|JJ|They installed a high-efficiency furnace.
off-peak|JJ|They traveled during off-peak hours.
brain|VV0|He tried to brain the plan.
creative|NN|The creative found new inspiration.
schoolbook|NN|He borrowed a schoolbook from the library.
mastiff|NN|The mastiff was a gentle giant.
drug-induced|JJ|He suffered a drug-induced coma.
impermanence|NN|They discussed the impermanence of life.
gnosticism|NN|Gnosticism was a mystery to many.
perforate|VV0|They had to perforate the paper.
caulk|NN|He applied caulk to seal the gap.
vernal|JJ|They celebrated the vernal equinox.
gratuitously|RR|The movie was gratuitously violent.
sulphate|NN|They added sulphate to the mixture.
anthropocentric|JJ|His view was anthropocentric.
flab|NN|He wanted to get rid of his flab.
hob|NN|The pot simmered on the hob.
fete|VV0|They planned to fete the hero.
pulling|JJ|The pulling force was too strong.
reestablishment|NN|They focused on the reestablishment of trust.
self-actualization|NN|He achieved self-actualization.
wheeler|NN|He was a big wheeler in the company.
argentinian|JJ|They enjoyed Argentinian cuisine.
