adashmoq yo'lda|блуждать в дороге
yaxlamoq suv|застывать вода
yaxshi odam|хороший человек
yaxshilik qilish|делать добро
yaxshilikcha kelish|приходить по-хорошему
yayov yurish|ходить пешком
yashamoq shahar|жить в городе
yashil daraxt|зелёное дерево
yashin chaqnamoq|сверкает молния
yashirin joy|тайное место
yashirinmoq uy|прятаться в доме
yashirincha kelmoq|приходить тайком
yashirmoq narsani|прятать вещь
yanglishmoq yo'l|ошибаться дорогой
yangramoq qo'ng'iroq|звенеть звонок
yelim qog'oz|клеить бумагу
yelimlamoq surat|наклеивать картину
yelka og'riq|боль в плече
yelpimoq yelpigich|опахивать веером
yelpigich ishlatmoq|пользоваться веером
yemoq ovqat|кушать еду
yer haydash|пахать землю
yerto'la sovuq|холодный подвал
yetaklamoq bolani|вести ребёнка
yetim bola|сирота ребёнок
yetishmovchilik oziq-ovqat|недостаток продовольствия
yetmish yil|семьдесят лет
yetmoq manzil|достигать места
yetti hafta|семь недель
yechinmoq ko'ylak|раздевать рубашку
yechmoq tugma|развязывать пуговицу
yeng uzun|длинный рукав
yengil yuk|лёгкий груз
yengmoq dushman|побеждать врага
yigirma yil|двадцать лет
yigit kuchli|сильный юноша
yil fasli|время года
yilt etmoq yulduz|сверкнуть звездой
yiltiramoq suv|блестеть водой
yirik meva|крупный фрукт
yiring jarohat|гной в ране
yiringlamoq yara|гноиться рана
yirtiq kiyim|рваная одежда
yirtmoq qog'oz|рвать бумагу
yirtqich hayvon|хищный зверь
yiqilmoq yerga|упасть на землю
yiqitmoq daraxt|валить дерево
yig'i tovush|звук плача
yig'ilish boshlamoq|начать собрание
yig'im-terim mavsum|сезон уборки урожая
yig'ishtirmoq narsalar|собирать вещи
yig'lamoq bola|плакать ребёнок
yig'loq bola|плакса ребёнок
yig'moq gul|собирать цветы
yod so'z|память слова
yodlamoq matn|заучивать текст
yoki savol|или вопрос
yol otdan|грива лошади
yolg'iz yashamoq|жить один
yolg'on gap|ложные слова
yolg'onchi odam|лгун человек
yomon havo|плохая погода
yomg'ir yog'moq|идти дождь
yon tomoni|боковая сторона
yonida o'tirish|сидеть рядом
yonbosh uyqu|сон на боку
yonboshlamoq yer|лечь на землю
yonmoq olov|гореть огнём
yong'in xavfli|опасный пожар
yong'oq daraxt|ореховое дерево
yopilmoq eshik|закрываться дверь
yopiq xona|закрытая комната
yopishmoq qog'oz|приклеиваться бумага
yopmoq deraza|закрывать окно
yoq tosh|край камня
yoqa kiyim|воротник одежды
yoqimli musiqa|приятная музыка
yoqmoq chiroq|зажигать свет
yordam so'rash|просить помощи
yordamlashmoq do'st|помогать другу
yordamchi o'qituvchi|помощник учителя
yorilmoq ko'z|раскалываться глаз
yormoq yong'oq|колоть орех
yorug' xona|светлая комната
yorug'lik quyosh|свет солнца
yostiq toza|чистая подушка
yotmoq yotoq|ложиться спать
yovvoyi hayvon|дикий зверь
yoz fasli|летний сезон
yozgi ta'til|летние каникулы
yozma imtihon|письменный экзамен
yozmoq maktub|писать письмо
yozuv chiroyli|красивая надпись
yozuvchi mashhur|знаменитый писатель
yog' qovurmoq|жарить на масле
yog'moq qor|идёт снег
yog'och stol|деревянный стол
yosh bola|маленький ребёнок
yoshlik xotira|воспоминания о молодости
yubormoq xat|посылать письмо
yugurish sport|спортивный бег
yugurmoq ko'cha|бегать по улице
yuk mashina|грузовая машина
yuklamoq mashina|нагружать машину
yulduz yulduzlar|звёздные звезды
yumaloq tosh|круглый камень
yummoq ko'z|закрывать глаза
yumuq darcha|закрытое окно
yumshoq to'shak|мягкая постель
yupqa non|тонкий хлеб
yuqori binolar|высокие здания
yuqumli kasallik|заразная болезнь
yurak xuruj|сердечный приступ
yurakli yigit|храбрый парень
yurish tez|быстрая ходьба
yurmoq yo'l|идти по дороге
yurt sevgisi|любовь к родине
yutmoq o'yin|выигрывать игру
yutqazmoq musobaqa|проигрывать соревнование
yutuq mukofot|выигрышный приз
yuvinmoq ertalab|мыться утром
yuvmoq idishlar|мыть посуду
yuvosh bola|мирный ребенок
yuz toza|чистое лицо
yung iliq|тёплая шерсть
yo'l katta|большая дорога
yo'lak uzun|длинный коридор
yo'lbars kuchli|сильный тигр
yo'boshchi qo'shin|вождь армии
yo'ka toza|чистый тротуар
yo'lovchi poezd|пассажирский поезд
yo'q javob|ответ нет
yo'qlama boshlamoq|начинать перекличку
yo'qolmoq yulduz|исчезать звезда
yo'qotmoq kalit|терять ключ
yo'tal kuchli|сильный кашель
yo'talmoq bola|кашлять ребёнок
yo'g'on daraxt|толстое дерево
zaharli o'simlik|ядовитое растение
zahar o'ldirmoq|отравлять
zaharli hayvon|ядовитый зверь
zamonaviy texnika|современная техника
zanjir olmosh|цепь на шее
zararli odat|вредная привычка
zarba kuchli|сильный удар
zag'izg'on parvoz|полет сороки
zang metal|ржавчина на металле
zanglamoq temir|железо ржавеет
zerikarli film|скучный фильм
zerikmoq yolg'iz|скучать одному
zilzila kuchli|сильное землетрясение
zina qadam|ступень лестницы
ziqna odam|жадный человек
ziyon yetkazmoq|наносить вред
ziyofat dasturxon|банкетный стол
ziyrak bola|сметливый ребенок
zumda yetib kelmoq|прибыть моментально
zo'raymoq kuch|усиливаться сила
zo'rlamoq ishlash|заставлять работать
zo'rg'a yetib kelmoq|еле-еле прибыть
o'jar bola|упрямый ребенок
o'lik odam|мертвый человек
o'lim va hayot|смерть и жизнь
o'lka keng|широкий край
o'lmoq og'riq|умирать от боли
o'lchamoq masofa|измерять расстояние
o'lchov birligi|единица измерения
o'n yil|десять лет
o'nqir-cho'nqir yo'l|ухабистая дорога
o'pka kasalligi|болезнь легких
o'pmoq bola|целовать ребенка
o'q otish|стрелять пулей
o'qimoq kitob|читать книгу
o'qituvchi yaxshi|хороший учитель
o'qish davomida|в течение учебы
oqraymoq jahl|хмуро смотреть
o'quv yil|учебный год
o'quvchi sinf|ученик класса
o'quv qurollari yengil|легкие учебные принадлежности
o'ramoq sovg'a|заворачивать подарок
o'rganmoq til|учиться языку
o'rgatmoq bolani|учить ребенка
o'rgimchak to'ri|паучья сеть
o'rdak hovuzda|утка в пруду
o'rik daraxti|абрикосовое дерево
o'rin egasi|владелец места
o'rinbosar direktor|заместитель директора
o'rmon ichida|в лесу
o'rmoq bug'doy|жать пшеницу
o'rnak ko'rsatmoq|показывать пример
o'roq ishlatmoq|пользоваться серпом
o'rta holat|среднее положение
o'rtoq bilan|с товарищем
o'simliklar bog'i|сад растений
o'smoq daraxt|расти дерево
o't yoqmoq|зажигать огонь
o'tgan yil|прошлый год
o'tirmoq o'tirgan joy|сидеть на месте
o'tish joyi|переходный путь
o'tkazmoq havo|пропускать воздух
o'tkir pichoq|острый нож
o'tlamoq yaylovda|пастись на пастбище
o'tmas pichoq|тупой нож
o'tmoq ko'cha|проходить улицу
o'tqazmoq gul|сажать цветы
o'ttiz yil|тридцать лет
o'xshamoq ota|походить на отца
o'xshash joy|похожее место
o'y og'ir|тяжелая дума
o'yin o'ynash|играть в игру
o'yin-kulgi bayram|праздничное веселье
o'yinchoq mashina|игрушечная машина
o'ylamoq kelajak|думать о будущем
o'ymoq yog'och|долбить дерево
o'ynamoq bola|играть ребенок
o'ychan yuz|задумчивое лицо
o'z-o'zini anglamoq|понимать самого себя
o'zboshimcha bola|самовольный ребенок
o'zgarishlar davri|период изменений
o'zgarmoq shahar|меняться город
o'zlashtirmoq bilim|усваивать знания
o'zmoq poyga|обгонять в гонке
o'g'il bola|мальчик сын
o'g'irlamoq uy|воровать из дома
o'g'rilik qilmish|кража дело
o'sha kun|тот день
o'chirmoq chiroq|гасить свет
o'chmoq olov|гаснуть огонь
o'ng qo'l|правая рука
g'alaba bayrami|праздник победы
g'alaba qilmoq raqibni|побеждать соперника
g'alati hodisa|необычное явление
g'alla yetishtirmoq|выращивать зерно
g'alva bozor|шумный рынок
g'alva qilmoq urush|поднимать шум драки
g'am qo'zg'amoq|вызывать печаль
g'amgin ko'zlar|грустные глаза
g'arb tomoni|западная сторона
g'arbiy madaniyat|западная культура
g'ayrat bilan ishlamoq|работать с усердием
g'ayratli odam|энергичный человек
g'ilay ko'zlar|косые глаза
g'ildirakli arava|колесная телега
g'ilof telefon|чехол телефона
g'irrom do'st|нечестный друг
g'izillamoq mashina|быстро мчаться
g'isht devor|кирпичная стена
g'olib jamoa|победившая команда
g'or ichida|в пещере
g'oya yaratmoq|создавать идею
g'oz hovuzda|гусь в пруду
g'uncha gul|бутон цветка
g'unchalamoq bog'da|завязывать бутоны в саду
g'urra paydo bo'lish|появление опухоли
g'o'r meva|неспелый фрукт
g'o'ra qovun|неспелая дыня
g'o'za dalasi|хлопковое поле
shaftoli daraxt|персиковое дерево
shahar markazi|центр города
shakar qo'shmoq|добавлять сахар
shakl yaratmoq|создавать форму
shamol esmoq|дуть ветер
shamollamoq bola|простужаться ребенок
shanba kuni|день субботы
shanbalik ishlamoq|работать в субботник
sharafli ish|почетная работа
sharbat ichimlik|напиток сок
sharoit yaxshi|хорошие условия
sharq madaniyati|восточная культура
sharqiy viloyat|восточная область
sharsimon buyum|шаровидный предмет
shart qabul qilish|принимать условие
sharshara suv|вода водопада
shag'al yo'li|гравийная дорога
shekilli keladi|кажется, он придет
sher kuchli|сильный лев
sherik do'st|товарищ друг
she'r yozmoq|писать стихотворение
shifokor maslahat|совет врача
shifoxona katta|большая больница
shim kiyish|носить брюки
shimarmoq etik|засучивать сапоги
shimmoq sharbati|всасывать сок
shimol shamoli|северный ветер
shimoliy viloyat|северная область
ship baland|высокий потолок
shippak kiyish|носить тапочки
shirin sharbati|сладкий сок
shivirlamoq sir|шептать секрет
shish katta|большая опухоль
shisha oynasi|стеклянное окно
shishirmoq havo|надувать воздух
shishmoq oyoq|опухать ногу
shoda gul|связка цветов
shodlik bayrami|праздничная радость
shogird hunar|подмастерье ремесло
shoir mashhur|знаменитый поэт
shol yigit|парализованный юноша
sholg'om katta|большая репа
shon-shuhrat qo'shiq|песня о славе
shovqin bozor|шумный рынок
shox daraxt|ветка дерева
shoshmoq ishga|торопиться на работу
shu kun|этот день
shudring tong|утренняя роса
shunday voqea|такой случай
shuncha pul|столько денег
shug'ullanmoq ish|заниматься работой
shu'la porlamoq|светлый луч
sho'ng'imoq suv|нырять в воду
sho'r ovqat|соленая еда
sho'x bola|шаловливый ребенок
chalmoq dombira|играть на домбре
chalqancha yotmoq|лежать на спине
chana qish|зимние сани
chandiq yuzda|шрам на лице
chanqamoq issiqda|жаждать в жару
chanqov suv|жажда воды
chang'i sport|лыжный спорт
chap qo'l|левая рука
chapak qarsak|аплодисменты
chapaqay bola|левша ребенок
chaqaloq yig'lamoq|плач новорожденного
chaqirmoq mehmon|пригласить гостя
chaqmoq chaqmoq|молния
chaqqon qiz|ловкая девочка
charxlamoq pichoq|точить нож
charchamoq ishlash|утомляться от работы
chaynamoq ovqat|жевать еду
chayon zaharli|ядовитый скорпион
chang uy|пыль в доме
changimoq kitoblar|пылиться книги
chegara qo'riqlash|охранять границу
chekmoq sigaret|курить сигарету
chelak suv|ведро воды
chertmoq barmoq|щелкать пальцем
chidamoq azob|терпеть боль
chigirtka dalada|кузнечик в поле
chigit ekmoq|сеять семена хлопчатника
chiniqmoq sovuq|закаляться холодом
chinni choynak|фарфоровый чайник
chinqirmoq bola|визжать ребенок
chiqmoq ko'cha|выходить на улицу
chiranmoq kuch|напрягать силы
chirillamoq qush|чирикать птица
chiroq yorug'|светлая лампа
chiroyli manzara|красивый вид
chivin chaqmoq|укус комара
chiziq to'g'ri|прямая линия
chizmoq surat|чертить рисунок
chizg'ich metrlik|метровая линейка
chol yoshi katta|старик
chopmoq arava|бегать на телеге
chorak kun|четверть дня
chorraha ko'cha|перекресток улицы
chorshanba haftasi|среда недели
chovli osh|шумовка
choyshab toza|чистая простыня
chumoli uyasi|муравейник
chumchuq daraxtda|воробей на дереве
chuqur quduq|глубокий колодец
chuvalchang bog'da|червяк в саду
chuchvara tayyorlash|готовить пельмени
cho'kmoq daryo|тонуть в реке
cho'loq bola|хромой ребенок
cho'loqlanmoq yurish|хромать при ходьбе
cho'milmoq hovuzda|купаться в пруду
cho'mich katta|большой половник
cho'ntak kitob|карманная книга
cho'qimoq don|клевать зерно
cho'qqi tog'|вершина горы
cho'yan qozon|чугунный казан
cho'zmoq vaqt|тянуть время
cho'g' kuydi|раскаленные угли
cho'chimoq tovush|испугаться звука
cho'chqa go'shti|свинина
