|word|part_of_speech|lemma
64583|Kaboom|Interjektion|Kaboom
64646|Rechts|Adjektiv|rechts
64647|überholn|Verb|überholen
64723|Maturasohn|Substantiv|der Maturasohn
64725|Paperback-Bestseller|Substantiv|der Paperback-Bestseller
64734|Vegesack-Jetsetter|Substantiv|der Vegesack-Jetsetter
64736|Rechten|Adjektiv|recht
64774|Haha|Interjektion|haha
64785|suis|Verb|sein
64806|Phil|Substantiv|Phil
64808|versenk|Verb|versenken
64813|Füße|Substantiv|die Füße
64823|Online-Feuilleton|Substantiv|das Online-Feuilleton
64837|nag|Verb|nageln
64844|Chuck|Substantiv|Chuck
64900|Facebook-Folli-Junkie|Substantiv|der Facebook-Folli-Junkie
64910|Vizewitz|Substantiv|der Vizewitz
64913|zerlegst|Verb|zerlegen
64936|Vengabus|Substantiv|der Vengabus
64947|flachLeg|Verb|flachlegen
64951|Bitche|Substantiv|die Bitch
64966|fackel|Substantiv|die Fackel
64971|zünde|Verb|zünden
64989|Exeku-|Präfix|Exeku-
64990|judika-|Präfix|judika-
64993|Augustarmee|Substantiv|die Augustarmee
65016|Stihl|Substantiv|Stihl
65017|Nervenkettensäge|Substantiv|die Nervenkettensäge
65027|Böhmermann|Substantiv|Böhmermann
65048|Geheimdienstaktion|Substantiv|die Geheimdienstaktion
65108|stör|Verb|stören
65113|Alpha-Seminar|Substantiv|das Alpha-Seminar
65114|Aka|Substantiv|Aka
65115|Faulige|Adjektiv|faul
65129|Joa|Interjektion|joa
65130|Educated|Adjektiv|gebildet
65131|criminals|Substantiv|die Kriminellen
65132|work|Verb|arbeiten
65133|within|Präposition|innerhalb
65134|law|Substantiv|das Gesetz
65159|grins|Verb|grinsen
65167|Chefchen|Substantiv|das Chefchen
65171|Rapausweis|Substantiv|der Rapausweis
65199|Voßkuhle|Substantiv|Voßkuhle
65203|Spuckese|Substantiv|die Spuckese
65209|anbraen|Verb|anbräunen
65218|Hinterlass|Verb|hinterlassen
65222|Tikka|Substantiv|Tikka
65223|Masala|Substantiv|Masala
65255|Maniere|Substantiv|die Manieren
65265|Interpretieren|Verb|interpretieren
65414|Bekannteste|Adjektiv|bekannt
65425|zwerghaft|Adjektiv|zwerghaft
65435|Maischberger|Substantiv|Maischberger
65437|Illner|Substantiv|Illner
65440|Plasberg|Substantiv|Plasberg
65453|vergaß|Verb|vergessen
65473|trafs|Verb|treffen
65480|mensch-gewordn|Adjektiv|menschgeworden
65489|Polizeigewerkschafter|Substantiv|der Polizeigewerkschafter
65504|Neonazipresse|Substantiv|die Neonazipresse
65556|fünfzigtausend|Numeral|fünfzigtausend
65561|AXA|Substantiv|AXA
65577|GdP|Substantiv|GdP
65582|Wendt|Substantiv|Wendt
65600|forderen|Verb|fordern
65628|forderst|Verb|fordern
65649|eins-achtundsechzig|Numeral|einsachtundsechzig
65655|Harten|Adjektiv|hart
65692|334868|Numeral|334868
65719|anSingen|Verb|ansingen
65771|eitl|Adjektiv|eitel
65797|Happy|Adjektiv|glücklich
65804|Selbstgerecht|Adjektiv|selbstgerecht
65809|WhatsApp-Profilbild|Substantiv|das WhatsApp-Profilbild
65815|Sexmob|Substantiv|der Sexmob
65837|Abschieben|Verb|abschieben
65882|riskiern|Verb|riskieren
65906|gehörst|Verb|gehören
65913|fußgefesselt|Adjektiv|fußgefesselt
65927|Video-überwacht|Adjektiv|videoüberwacht
65985|liebn|Verb|lieben
65997|Ran|Interjektion|ran
66011|stöhnn|Verb|stöhnen
66045|Lasset|Verb|lassen
66202|Stundenlang|Adjektiv|stundenlang
66266|ersten|Adjektiv|erste
66269|füg|Verb|fügen
66273|Geschick|Substantiv|das Geschick
66281|Einrahmen|Verb|einrahmen
66303|hey-hey-hey|Interjektion|hey-hey-hey
66338|Rödler|Substantiv|der Rödler
66344|rödel|Verb|rödeln
66346|Rödel|Verb|rödeln
66372|ri-ra-rödel|Interjektion|ri-ra-rödel
66527|ri-ra-rödeln|Verb|rödeln
66570|Partyhüte|Substantiv|die Partyhüte
66587|REWE|Substantiv|REWE
66601|abwart|Verb|abwarten
66615|losisn|Verb|loslassen
66621|Diggi|Substantiv|der Diggi
66622|Steil-Geh-Tag|Substantiv|der Steil-Geh-Tag
66634|Yolo|Substantiv|Yolo
66653|Tags|Substantiv|die Tags
66671|Laola-Welle|Substantiv|die Laola-Welle
66687|Stagedive|Substantiv|der Stagedive
66691|hintragen|Verb|hintragen
66713|halbnacken|Adjektiv|halbnack
66719|Zeigestab|Substantiv|der Zeigestab
66723|volle|Adjektiv|voll
66755|steign|Verb|steigen
66769|Montags|Adjektiv|montags
66809|durchgefallen|Adjektiv|durchgefallen
66834|habt|Verb|haben
66854|innerer|Adjektiv|inner
66883|Luftschlangen|Substantiv|die Luftschlangen
66899|selbe|Pronomen|selbst
66963|Verschwören|Verb|verschwören
67054|bloss|Adjektiv|bloß
67151|Hatte|Verb|haben
67214|Kontroleuse|Substantiv|die Kontroleuse
67222|Physitomie|Substantiv|die Physionomie
67242|haus|Substantiv|das Haus
67264|Gar|Adverb|gar
67309|Beleidigen|Verb|beleidigen
67371|besorg|Verb|besorgen
67383|netzwerk|Substantiv|das Netzwerk
67404|telefoniern|Verb|telefonieren
67419|psychonalisieren|Verb|psychonalisieren
67423|Schnick-Schnack-Schnuck|Substantiv|der Schnick-Schnack-Schnuck
67448|wos|Pronomen|was
67451|Nennt|Verb|nennen
67517|hing|Verb|hängen
67563|wollts|Verb|wollen
67586|Kontoführungsgebür|Substantiv|die Kontoführungsgebühr
67588|Überziehungszins|Substantiv|der Überziehungszins
67598|wasn|Pronomen|was
67604|Scheißverein|Substantiv|der Scheißverein
67625|denkts|Verb|denken
67636|O2|Substantiv|O2
67742|Scheißverei|Substantiv|der Scheißverein
67811|Versteht|Verb|verstehen
67850|Varoufakis|Substantiv|Varoufakis
67870|Dönerladen|Substantiv|der Dönerladen
67901|trigger|Verb|triggern
67908|POL1Z1STENS0HN|Substantiv|POL1Z1STENS0HN
67924|gewaschen|Verb|waschen
67928|Pädagogisch|Adjektiv|pädagogisch
67932|Lustig|Adjektiv|lustig
67944|Kebabland|Substantiv|das Kebabland
67949|Adanaspieß|Substantiv|der Adanaspieß
67956|wichen|Verb|weichen
67959|geleast|Verb|leasen
67967|überhol|Verb|überholen
67971|Ampelstart|Substantiv|der Ampelstart
67975|Auris|Substantiv|die Auris
67984|spendier|Adjektiv|spendier
67989|Carazza|Substantiv|die Carazza
67999|vorbeikrabbeln|Verb|vorbeikrabbeln
68000|Credibility|Substantiv|die Credibility
68045|respekten|Verb|respektieren
68046|ProSieben|Substantiv|ProSieben
68054|accepted|Adjektiv|accepted
68084|unzerfickbar|Adjektiv|unzerfickbar
68091|Blasser|Adjektiv|blass
68105|hass|Verb|hassen
68108|brumm|Verb|brummen
68109|Spiegel-Online-Eilmeldung|Substantiv|die Spiegel-Online-Eilmeldung
68133|Moss|Substantiv|das Moss
68156|findeen|Verb|finden
68166|durchgetindert|Verb|durchtindern
68182|Nimmst|Verb|nehmen
68197|Cantz|Substantiv|Cantz
68208|Justi|Substantiv|Justi
68241|Monchichi|Substantiv|das Monchichi
68250|Unterhaltungshetzer|Substantiv|der Unterhaltungshetzer
68256|Frauke|Substantiv|Frauke
68257|Petry|Substantiv|Petry
68261|Pretzell|Substantiv|Pretzell
68273|fame|Substantiv|der Fame
68279|Staiger|Substantiv|der Staiger
68285|Rapgame|Substantiv|das Rapgame
68287|FOCUS|Substantiv|FOCUS
68288|Online|Adjektiv|online
68298|kraul|Verb|kraulen
68301|eingrins|Verb|eingrinsen
68369|1750|Numeral|1750
68383|Rundfunkbeitrag-Flatrat|Substantiv|die Rundfunkbeitrag-Flatrat
68389|wack|Verb|wacken
68391|endgay|Adjektiv|endgay
68395|Rundfunkbeitrag-Flatrate|Substantiv|die Rundfunkbeitrag-Flatrate
68396|Bildde|Substantiv|Bild.de
68407|Bremen-Nord|Substantiv|Bremen-Nord
68440|Jop|Interjektion|jop
68453|Tobi|Substantiv|Tobi
68454|Schlegl|Substantiv|Schlegl
68470|Ooh|Interjektion|ooh
68480|Bö-Böhmermann|Substantiv|Bö-Böhmermann
68502|ähhhähhm|Interjektion|ähhhähhm
68518|spinn|Verb|spinnen
68588|stolperen|Verb|stolpern
68590|brech|Verb|brechen
68614|rankomm|Verb|rankommen
68623|zusammenreiß|Verb|zusammenreißen
68633|Erinnere|Verb|erinnern
68640|Vergiss|Verb|vergessen
68644|dranspring|Verb|dranspringen
68651|Witzig|Adjektiv|witzig
68677|Shaban|Substantiv|Shaban
68710|aufstämmen|Verb|aufstämmeln
68737|erkär|Verb|erklären
68809|Rusich|Substantiv|Rusich
68829|knak|Verb|knacken
68851|Ohhh|Interjektion|ohhh
68852|noooo|Interjektion|noooo
68855|Silberrückenpfeilgiftninja|Substantiv|der Silberrückenpfeilgiftninja
68857|Beatmaster|Substantiv|der Beatmaster
68865|erhoben|Verb|erheben
68889|Ähhh|Interjektion|ähhh
68891|vieleicht|Adjektiv|vielleicht
68906|digidigido|Interjektion|digidigido
68913|Forder|Substantiv|die Forder
68946|bescheuern|Verb|bescheuern
68953|Hmm|Interjektion|hmm
68958|Endostülendrei|Substantiv|der Endostülendrei
68959|vergiss|Verb|vergessen
68969|ablenksn|Verb|ablenken
68974|onken|Verb|onken
68978|Onken|Substantiv|Onken
68987|Onkenschinken|Substantiv|der Onkenschinken
68992|aussiehts|Verb|aussehen
68995|ausonken|Verb|ausonken
69011|Schrumpfstrahl|Substantiv|der Schrumpfstrahl
69030|Lego|Substantiv|Lego
69038|zerbrösel|Verb|zerbröseln
69044|Bassswurststrahl|Substantiv|der Bassswurststrahl
69047|Basswursstrahl|Substantiv|der Basswurststrahl
69077|zahll|Verb|zahlen
69088|Ups|Interjektion|ups
69107|Rohrschachttest|Substantiv|der Rohrschachttest
69110|Ähhhhh|Interjektion|ähhhhhh
69111|Onk|Substantiv|Onk
69112|onk|Verb|onk
69149|zerpflück|Verb|zerpflücken
69153|Bassswurst|Substantiv|die Bassswurst
69183|Silberrückenpfeilgiftnija|Substantiv|der Silberrückenpfeilgiftninja
69185|Jaaaa|Interjektion|jaaaa
69202|beindrucken|Verb|beeindrucken
69205|Onkstyle|Substantiv|der Onkstyle
69211|deadly|Adjektiv|deadly
69219|Boma|Substantiv|die Boma
69224|Oktopusbecken|Substantiv|das Oktopusbecken
69238|Schiebs|Verb|schieben
69242|Wassermonekül|Substantiv|das Wassermolekül
69243|beinträchtigen|Verb|beeinträchtigen
69245|Onkfaktor|Substantiv|der Onkfaktor
69250|Bla|Interjektion|bla
69251|bla|Interjektion|bla
69259|Basswurststrahl|Substantiv|der Basswurststrahl
69269|hast|Verb|haben
69280|Komplett|Adjektiv|komplett
69282|Dunkeln|Verb|dunkeln
69286|Grundei|Substantiv|das Grundei
69323|verliernn|Verb|verlieren
69333|erfrorn|Verb|erfrieren
69380|Zeilem|Verb|zeilen
69400|wüsstest|Verb|wissen
69452|Schichtübergreifendes|Adjektiv|schichtübergreifend
69468|Stadtring|Substantiv|der Stadtring
69490|Mollis|Substantiv|die Mollis
69541|mitschweigen|Verb|mitschweigen
69602|Verfassungsschtz|Substantiv|der Verfassungsschutz
69644|Partout|Adverb|partout
69646|Europe|Substantiv|Europa
69647|xénophobie|Substantiv|die Xenophobie
69648|est|Verb|être
69649|devenu|Verb|devenir
69650|une|Artikel|eine
69651|banalité|Substantiv|die Banalität
69652|Ça|Pronomen|ça
69653|parle|Verb|parler
69654|déculturation|Substantiv|die Dekulturation
69657|tendance|Substantiv|die Tendenz
69659|paniquer|Verb|paniquer
69661|part|Substantiv|der Teil
69662|dans|Präposition|in
69663|tous|Pronomen|alle
69665|sens|Substantiv|der Sinn
69668|gens|Substantiv|die Leute
69670|laissent|Verb|lassen
69671|fanatiser|Verb|fanatisieren
69673|pour|Präposition|für
69674|le|Artikel|der
69676|haine|Substantiv|der Hass
69678|fafs|Substantiv|die Fafs
69679|Cest|Pronomen|c'est
69681|Calamité|Substantiv|die Calamität
69682|Boucs|Substantiv|die Böcke
69683|émissaires|Substantiv|die Emissäre
69685|peur|Substantiv|die Angst
69686|sont|Verb|sein
69687|propagé|Verb|propagieren
69688|par|Präposition|durch
69689|lelysée|Substantiv|das Elysee
69690|Depuis|Präposition|seit
69692|décennies|Substantiv|die Jahrzehnten
69695|Sont|Verb|sein
69696|rejetés|Verb|ablehnen
69699|Cités|Substantiv|die Zitate
69702|justice|Substantiv|die Gerechtigkeit
69703|pas|Adverb|nicht
69705|paix|Substantiv|der Frieden
69707|personne|Substantiv|die Person
69709|veut|Verb|wollen
69710|voir|Verb|sehen
69712|vérité|Substantiv|die Wahrheit
69715|que|Konjunktion|dass
69716|ça|Pronomen|es
69717|suffit|Verb|ausreichen
69778|Ohwei|Interjektion|ohwei
69786|juchei|Interjektion|juchei
69813|schimpfen|Verb|schimpfen
69820|volksverhetzen|Verb|volksverhetzen
69857|hasen|Verb|hassen
69860|Drosten|Substantiv|Drosten
69873|größtes|Adjektiv|größ
69877|Fahrradlicht|Substantiv|das Fahrradlicht
69899|4chan|Substantiv|4chan
69934|Verschickst|Verb|verschicken
69938|Chattest|Verb|chatten
69959|safe|Adjektiv|safe
69960|space|Substantiv|der Space
69966|doxen|Verb|doxen
69969|Normie|Substantiv|der Normie
69972|Stalke|Verb|stalken
69995|Chatroulette|Substantiv|Chatroulette
70003|Dark|Adjektiv|dunkel
70025|Ländersache|Substantiv|die Ländersache
70059|Klagn|Verb|klagen
70132|Juchei|Interjektion|juchei
70152|Boomerzei|Substantiv|der Boomerzei
70161|bigger|Adjektiv|bigger
70162|fish|Substantiv|der Fisch
70164|fry|Verb|fry
70186|anti-deutsch|Adjektiv|anti-deutsch
70190|Systemling|Substantiv|der Systemling
70192|links-grün|Adjektiv|links-grün
70194|Medienkartell|Substantiv|das Medienkartell
70228|hinausschmeessen|Verb|hinausschmeißen
70233|grüne|Adjektiv|grün
70250|Unionsparasit|Substantiv|der Unionsparasit
70261|Sozen|Substantiv|die Sozen
70268|linke|Adjektiv|links
70321|Blöd|Adjektiv|blöd
70336|Ugh|Interjektion|ugh
70401|WhatsApp|Substantiv|WhatsApp
70407|mitannektieren|Verb|mitannektieren
70422|fetter|Adjektiv|fett
70510|Dümmerung|Substantiv|die Dümmerung
70523|erglühn|Verb|erglühen
70562|hinausFliegen|Verb|hinausfliegen
70584|Uferstrand|Substantiv|der Uferstrand
70623|Komsst|Verb|kommen
70635|MySpace|Substantiv|MySpace
70662|Converse|Substantiv|Converse
70710|Meinetwegen|Interjektion|meinetwegen
70744|bügelen|Verb|bügeln
70824|rumimprovisier|Verb|rumimprovisieren
70855|abkoppelen|Verb|abkoppeln
70862|vereisn|Verb|vereisen
70870|zurückFährt|Verb|zurückfahren
70881|Bremssand|Substantiv|der Bremssand
70888|weinend|Adjektiv|weinend
70919|Weselsky|Substantiv|Weselsky
70958|Gehasst|Verb|hassen
70970|Lokführerkleinstgewerkschaftscheffunktionär|Substantiv|der Lokführerkleinstgewerkschaftscheffunktionär
71046|OberstdorfAllgäu|Substantiv|OberstdorfAllgäu
71048|WesterlandSylt|Substantiv|WesterlandSylt
71060|kämpfst|Verb|kämpfen
71075|Sozialmedia|Substantiv|das Sozialmedia
71085|zugabgefahrn|Verb|zugabgefahren
71142|TUUT|Interjektion|tuut
71147|Lock|Verb|locken
71182|Pirate|Substantiv|der Pirate
71209|Regiooon|Substantiv|die Region
71250|Kago-Öfen|Substantiv|die Kago-Öfen
71253|Sanifair|Substantiv|Sanifair
71258|Goethebrot|Substantiv|das Goethebrot
71260|5000|Numeral|5000
71264|20000|Numeral|20000
71265|Bärlauchprodukt|Substantiv|das Bärlauchprodukt
71299|Balkooon|Substantiv|das Balkooon
71318|Herzlich|Adjektiv|herzlich
71343|sächsisch|Adjektiv|sächsisch
71347|Uffschnitt|Substantiv|der Uffschnitt
71349|Gottogott|Interjektion|Gottogott
71367|Viervieteltakt|Substantiv|der Viervierteltakt
71384|1962|Numeral|1962
71395|Uuuuuuurlauuub|Interjektion|uuuuuuurlauuub
71407|Vollpensiön|Substantiv|die Vollpension
71426|Rockt|Verb|rocken
71427|Lasst|Verb|lassen
71487|Mögen|Verb|mögen
71535|mitNimmt|Verb|mitnehmen
71550|dritt|Adjektiv|dritt
71552|Capybara-Sofa|Substantiv|das Capybara-Sofa
71554|Capybara-Boot|Substantiv|das Capybara-Boot
71559|Capybara-Kot|Substantiv|der Capybara-Kot
71570|beh|Verb|beh
71571|ihh|Interjektion|ihh
71621|anstell|Verb|anstellen
71632|issen|Verb|essen
71637|mögens|Verb|mögen
71700|Kackabara|Substantiv|die Kackabara
71735|aß|Verb|essen
71744|durchfuhr|Verb|durchfahren
71750|AAAAAAHHH|Interjektion|aaaaaahhh
71782|ansahs|Verb|ansahen
71785|Ramones-shirt|Substantiv|das Ramones-Shirt
71830|biste|Verb|sein
71848|Human|Substantiv|der Human
71879|Fred-Tim|Substantiv|Fred-Tim
71883|tuts|Verb|tun
71889|DAAAAAHHH|Interjektion|daaaaaahhh
71890|Äh|Interjektion|äh
71892|JAAAAAHHH|Interjektion|jaaaaahhh
71909|abStimmen|Verb|abstimmen
71918|Jaha|Interjektion|jaha
71944|AAAAHH-OK|Interjektion|aaaaah-ok
71957|gefahrn|Verb|gefahren
71966|vierlier|Verb|verliehen
72046|Merz|Substantiv|Merz
72050|Buschi|Substantiv|Buschi
72066|Samo|Substantiv|Samo
72068|Ray|Substantiv|Ray
72071|Steffi|Substantiv|Steffi
72078|entschieden|Verb|entscheiden
72087|hervorSpringt|Verb|hervorspringen
72088|panthergleich|Adjektiv|panthergleich
72101|Norbert|Substantiv|Norbert
72102|Röttgen|Substantiv|Röttgen
72178|studiern|Verb|studieren
72192|BVB|Substantiv|der BVB
72204|Pepsi|Substantiv|Pepsi
72216|Playmo|Substantiv|Playmo
72219|Joko|Substantiv|Joko
72221|Klaa|Substantiv|Klaa
72246|Norbert-Röttgen-Gefühl|Substantiv|das Norbert-Röttgen-Gefühl
72252|Biden|Substantiv|Biden
72264|nehm|Verb|nehmen
72299|Schnuckelig|Adjektiv|schnuckelig
72360|leideen|Verb|leiden
72361|Wähl|Verb|wählen
72369|entscheideen|Verb|entscheiden
72393|Marc-Uwe|Substantiv|Marc-Uwe
72416|Schiedrichter|Substantiv|der Schiedsrichter
72422|Radiopop|Substantiv|der Radiopop
72429|fulltime|Adjektiv|fulltime
72465|Schmerztabletten|Substantiv|die Schmerztabletten
72492|Ibuprofen|Substantiv|Ibuprofen
72518|hochputschen|Verb|hochputschen
72614|Vollnakose|Substantiv|die Vollnakose
72629|fette|Adjektiv|fett
72673|Möchte|Verb|möchten
72692|Öffnet|Verb|öffnen
72738|Mehlstauballergie|Substantiv|die Mehlstauballergie
72742|Urologen|Substantiv|die Urologen
72762|säufen|Verb|säufen
72993|joben|Verb|joben
73029|Unglücklich|Adjektiv|unglücklich
73138|Low-carb|Adjektiv|low-carb
73140|Ameranth|Substantiv|Ameranth
73143|Linsenbrot|Substantiv|das Linsenbrot
73155|Gibt|Verb|geben
73158|Sandwich-Toast|Substantiv|das Sandwich-Toast
73165|nächstbester|Adjektiv|nächstbester
73166|Quinoa-Brot|Substantiv|das Quinoa-Brot
73168|Hanfmehl|Substantiv|das Hanfmehl
73174|Gehe|Verb|gehen
73197|irritierend|Adjektiv|irritierend
73221|Interessant|Adjektiv|interessant
73240|Snicker|Substantiv|der Snicker
73242|Glutenfrei|Adjektiv|glutenfrei
73246|Höre|Verb|hören
73269|Einmarschbefehl|Substantiv|der Einmarschbefehl
73283|dieserlei|Pronomen|dieserlei
73318|Sojaschnitzel|Substantiv|das Sojaschnitzel
73324|green-smoothy-Diät|Substantiv|die green-smoothy-Diät
73349|-Ich|Pronomen|ich
73381|Goldpreisniveau|Substantiv|das Goldpreisniveau
73390|Stinken|Verb|stinken
73402|Gojibeere|Substantiv|die Gojibeere
73411|Weckgläser|Substantiv|die Weckgläser
73421|schonend|Adjektiv|schonend
73427|Chia-Samen-Superfood|Substantiv|das Chia-Samen-Superfood
73428|Frohlockt|Verb|frohlocken
73505|schäme|Verb|schämen
73516|Sachsen-Bashing|Substantiv|das Sachsen-Bashing
73568|Hyper-Moralist|Substantiv|der Hyper-Moralist
73572|Rechtsradikal-versifft|Adjektiv|rechtsradikal-versifft
73577|Staat-gewordener|Adjektiv|staat-geworden
73578|Nazi-Sumpf|Substantiv|der Nazi-Sumpf
73580|Entwicklungsbundesland|Substantiv|das Entwicklungsbundesland
73596|klärn|Verb|klären
73614|Chillen|Verb|chillen
73627|Saxe|Substantiv|Saxe
73629|taime|Substantiv|die Taime
73630|Saxony|Substantiv|Saxony
73646|Schwarz-gelb|Adjektiv|schwarz-gelb
73649|weiß-grün|Adjektiv|weiß-grün
73659|Frontalaufnahme|Substantiv|die Frontalaufnahme
73701|Nazi-frei-Staat|Substantiv|der Nazi-frei-Staat
73730|Mundlos|Adjektiv|mundlos
73747|Rassistische|Adjektiv|rassistisch
73863|Saxophon-Solo|Substantiv|das Saxophon-Solo
73894|Stumm|Adjektiv|stumm
73933|Erdogan|Substantiv|Erdogan
73941|Nazi-frei|Adjektiv|nazi-frei
74053|rechts-braun|Adjektiv|rechts-braun
74062|Wohw|Interjektion|woh
74084|Kleider|Substantiv|die Kleider
74098|Dufen|Verb|duften
74144|irsinnig|Adjektiv|irsinnig
74146|lust|Substantiv|die Lust
74173|nachhause|Adverb|nach Hause
74175|bleibn|Verb|bleiben
74189|Klappts|Verb|klappen
74197|hinternander|Adverb|hintereinander
74219|Juhu|Interjektion|juhu
74221|Juppiedu|Interjektion|juppiedu
74251|Marlboro-Mann|Substantiv|der Marlboro-Mann
74258|Honky-Tonk|Substantiv|das Honky-Tonk
74285|Maha-rathon|Substantiv|der Maha-rathon
74327|TBC|Abkürzung|TBC
74397|Andres|Substantiv|Andres
74400|rumschmeessen|Verb|rumschmeißen
74406|Hartplastikbehälter|Substantiv|der Hartplastikbehälter
74411|Schlimmsten|Adjektiv|schlimmsten
74427|Stolze|Substantiv|die Stolze
74432|kommuniziern|Verb|kommunizieren
74460|Letzten|Adjektiv|letzten
74462|durchschlief|Verb|durchschlafen
74558|Pitbull-Halter|Substantiv|der Pitbull-Halter
74594|gratulier|Verb|gratulieren
74682|Kinderärztewartezimmer|Substantiv|das Kinderärztewartezimmer
74736|Teletubbie|Substantiv|der Teletubbie
74809|Hi-fi|Substantiv|das Hi-Fi
74837|ka-kaputt|Adjektiv|kaputt
74874|Wohlfühl|Adjektiv|wohlfühl
74878|Wohlfühltee|Substantiv|der Wohlfühltee
74879|Wohlfühlgras|Substantiv|das Wohlfühlgras
74881|Wohlfühlschnee|Substantiv|der Wohlfühlschnee
74933|Schuften|Verb|schuften
74937|Zielgenau|Adjektiv|zielgenau
74939|Demonstrieren|Verb|demonstrieren
74979|Mimimimimimimimimimi|Interjektion|mimimimimimimimimimi
74983|zurückgib|Verb|zurückgeben
75008|Öffne|Verb|öffnen
75023|little|Adjektiv|little
75024|bit|Adjektiv|bit
75030|Swatch|Substantiv|Swatch
75035|after|Adjektiv|after
75036|eight|Adjektiv|eight
75046|McClean|Substantiv|McClean
75080|abfahrn|Verb|abfahren
75082|Traveln|Verb|traveln
75096|McChicken|Substantiv|McChicken
75135|upzudaten|Verb|updaten
75139|abturned|Adjektiv|abturned
75147|Wellness-Weekend|Substantiv|das Wellness-Weekend
75156|good|Adjektiv|good
75157|Vibrations|Substantiv|die Vibrations
75166|Energy|Substantiv|die Energy
75179|Infotainment-Flash|Substantiv|der Infotainment-Flash
75196|Communicating|Verb|kommunizieren
75215|Language|Substantiv|die Language
75248|Coffee-Shop|Substantiv|der Coffee-Shop
75255|Auto-Crash|Substantiv|der Auto-Crash
75257|Lufttasche|Substantiv|die Lufttasche
75264|Bodybuild|Verb|bodybuild
75265|Muskel-Mäster|Substantiv|der Muskel-Mäster
75271|Nordisch|Adjektiv|nordisch
75280|help|Verb|helfen
75295|Happiness|Substantiv|die Happiness
75300|understand|Verb|understand
75307|hearts|Substantiv|die hearts
75309|make|Verb|machen
75326|crisis|Substantiv|die crisis
75329|has|Verb|haben
75337|word|Substantiv|das Wort
75340|goes|Verb|gehen
75350|Kleinweich|Adjektiv|kleinweich
75388|schwörn|Verb|schwören
75409|Crazy|Adjektiv|crazy
75478|bedrohnn|Verb|bedrohen
75481|Facebook-Syndrom|Substantiv|das Facebook-Syndrom
75484|Personn|Substantiv|die Person
75501|Weißes|Adjektiv|weiß
75512|Lemon|Substantiv|die Lemon
75537|wuh|Interjektion|wuh
75586|slash|Substantiv|der Slash
75590|splash|Substantiv|der Splash
75629|Anderen|Pronomen|anderen
75722|ahnst|Verb|ahnen
75745|Falltüre|Substantiv|die Falltüre
75858|Hübsche|Adjektiv|hübsch
75911|Suchen|Verb|suchen
76044|Hundegruß|Substantiv|der Hundegruß
76048|Gemeinschaftsverbund|Substantiv|der Gemeinschaftsverbund
76063|Herrchenmensch|Substantiv|der Herrchenmensch
76064|Hüte|Verb|hüten
76068|Partnerschaftsromanze|Substantiv|die Partnerschaftsromanze
76071|Katzenschlampe|Substantiv|die Katzenschlampe
76074|Rassenschand|Substantiv|der Rassenschand
76085|Tierarztplatz|Substantiv|der Tierarztplatz
76094|sies|Pronomen|sie
76151|streitend|Verb|streiten
76156|Geistern|Verb|geistern
76158|Schmeiß|Verb|schmeißen
76189|Geister|Substantiv|die Geister
76202|Apfelesser|Substantiv|der Apfelesser
76231|Äpfel|Substantiv|die Äpfel
76240|Birnenesser|Substantiv|der Birnenesser
76244|Impfpässen|Substantiv|die Impfpässen
76276|Multivitamin-Irrwahn|Substantiv|der Multivitamin-Irrwahn
76283|Wirtschaftsfrüchtling|Substantiv|der Wirtschaftsfrüchtling
76372|Mützenvolk|Substantiv|das Mützenvolk
76375|Mützenlieder|Substantiv|die Mützenlieder
76384|Mützenführer|Substantiv|der Mützenführer
76395|Ihh|Interjektion|ihh
76425|Hutlüge|Substantiv|die Hutlüge
76432|Wutschub|Substantiv|der Wutschub
76435|Hutverbrennung|Substantiv|die Hutverbrennung
76443|Mützenträger|Substantiv|der Mützenträger
76518|cloud|Substantiv|die Cloud
76519|around|Adverb|around
76524|surrounded|Adjektiv|surrounded
76526|haze|Substantiv|der Haze
76528|Thousand|Numeral|thousand
76529|second|Adjektiv|second
76530|chances|Substantiv|die Chancen
76534|apologies|Substantiv|die Entschuldigungen
76552|Ostwestfaln|Substantiv|Ostwestfaln
76569|Sprite|Substantiv|Sprite
76570|Alright|Adjektiv|alright
76584|100000|Numeral|100000
76585|Meil|Substantiv|die Meile
76591|prophezeit|Verb|prophezeien
76633|weinst|Verb|weinen
76643|Bonnie|Substantiv|Bonnie
76645|Clyde|Substantiv|Clyde
76673|chance|Substantiv|die Chance
76676|thousand|Numeral|thousand
76677|apologie|Substantiv|die Apologie
76699|aufgefangn|Verb|aufgefangen
76701|1000|Numeral|1000
76770|Refused|Verb|verweigern
76771|Servant|Substantiv|der Servant
76772|Of|Präposition|von
76773|Death|Substantiv|der Tod
76774|Tribe|Substantiv|der Stamm
76775|Society|Substantiv|die Gesellschaft
76778|Ambassadors|Substantiv|die Botschafter
76779|Gorgeous|Adjektiv|gorgeous
76780|Nicky|Substantiv|Nicky
76781|Romero|Substantiv|Romero
76782|Lighthouse|Substantiv|das Leuchtturm
76784|Edit|Verb|editieren
76785|FLETCHER|Substantiv|Fletcher
76787|Paint|Verb|malen
76791|feat|Substantiv|das feat
76792|Drake|Substantiv|Drake
76793|Kaptan|Substantiv|Kaptan
76794|Anywhere|Adverb|anywhere
76797|Miguel|Substantiv|Miguel
76798|leaves|Verb|leave
76799|Vince|Substantiv|Vince
76800|Staples|Substantiv|Staples
