-même (aujourd'hui-même)                                          | же (сегодня же)
la queue de cheval                                                | хвост
la racine                                                         | кОрень
la rage                                                           | ярость
la raison                                                         | причИна
la rampe                                                          | перила
la recette                                                        | рецепт
la recherche                                                      | исследование
la reine                                                          | королЕва
la religion                                                       | релИгия
la rencontre                                                      | встреча
la rentabilité                                                    | выгода
la responsabilité                                                 | ответственность
la retraite                                                       | пенсия
la roche                                                          | кАмень, скала
la route                                                          | дорОга
la rubrique                                                       | рубрика
la ruelle                                                         | переулок
la ruine                                                          | разорение
la règle (instrument)                                             | линейка
la récupération des déchets                                       | вывоз мусора
la rénovation                                                     | ремонт
la réponse                                                        | ответ
la réputation                                                     | репутация
la réunion                                                        | совещание
la saison                                                         | время года
la saison                                                         | сезон
la salle de sport                                                 | тренажёрный корт
la salle à manger, la cantine                                     | столОвая
la santé                                                          | здорОвье
la sardine                                                        | сардина
la sauce                                                          | соус
la saucisse                                                       | сОсиски
la science                                                        | наука
la sensation                                                      | сенсация
la serre                                                          | парник
la serviette                                                      | полотЕнце
la signature                                                      | подпись
la soie                                                           | шёлк
la solitude                                                       | уединение
la sonnerie                                                       | звонок
la sorcière                                                       | колдунья
la sortie                                                         | вЫход
la soucoupe                                                       | блюдце
la souris                                                         | мышь
la station service                                                | бензозаправка
la structure                                                      | строение
la sueur                                                          | пот
la supposition                                                    | предположЕние
la surprise                                                       | сюрприз
la synagogue                                                      | синагога
la sécheresse                                                     | засуха
la sécurité                                                       | охрана
la sélection                                                      | подбОр
la table                                                          | стол
la tache                                                          | пятно
la taille                                                         | размЕр
la tante                                                          | тётя
la taxe                                                           | налОг
la technologie, la technique                                      | техника
la température                                                    | температУра
la tendance                                                       | тенденция
la tendance                                                       | тенденция
la tendresse                                                      | нежность
la tentative                                                      | попытка
la tenue de travail                                               | рабочая одежда
la terrasse                                                       | терраса
la terre                                                          | землЯ
la thèse                                                          | диссертация
la théorie                                                        | теория
la timidité                                                       | робость
la tour                                                           | башня
la toux                                                           | кАшель
la tranche                                                        | ломтик
la tristesse                                                      | огорчение
la télécommande                                                   | пульт
la télévision                                                     | телевИдение
la tête                                                           | головА
la vaccination                                                    | прививка
la vache                                                          | корОва
la vague                                                          | волнА
la valeur                                                         | стОимость
la vendeuse                                                       | продавщица
la vengeance                                                      | месть
la veste                                                          | кУртка
la viande                                                         | мЯсо
la viande                                                         | мясо
la vieille femme                                                  | старая женщина
la villa                                                          | вилла
la vitrine                                                        | витрина
la voisine                                                        | соседка
la voix                                                           | гОлос
la véranda                                                        | веранда
la vérité                                                         | правда
la wagon                                                          | вагон
la.preoccupation                                                  | тревOга
labourer                                                          | пахать
laid                                                              | урОдливый
laisser (qqc)                                                     | оставлять - оставить
laisser qq faire quelque chose                                    | позволЯть - позвОлить
lait                                                              | молокО
lampe                                                             | лАмпа
large                                                             | ширОкий
le CD                                                             | компакт-диск
le CV                                                             | резюме
le CV                                                             | резюме
le Danemark                                                       | дАния
le Japon                                                          | япОния
le Menton                                                         | подборОдок
le Mexique                                                        | мЕксика
le Mur                                                            | стена
le Suède                                                          | швЕция
le baby-sitter                                                    | няня
le bachelier                                                      | бакалавр
le bacon                                                          | бекон
le badge                                                          | бэдж
le ballon                                                         | мяч
le banc                                                           | скамейка
le bandit                                                         | бандит
le barman                                                         | бармен
le bateau                                                         | лОдка
le beau frère                                                     | шурин
le beau père                                                      | тесть
le beau-père                                                      | свёкор
le berger                                                         | пастух
le besoin                                                         | потребность
le beurre                                                         | сливочное масло
le bijoutier                                                      | ювелир
le biscuit                                                        | печенье
le bois                                                           | дЕрево
le bois de chauffage                                              | дрова
le bonbon                                                         | конфета
le bonheur                                                        | счастье
le bouc émissaire                                                 | плохой парень
le boucher                                                        | мясник
le bouillon                                                       | бульон
le boulanger                                                      | пЕкарь
le bouton                                                         | кнопка
le bouton (vêtement)                                              | пуговица
le boxer                                                          | трусы
le bras                                                           | рукА
le brevet                                                         | патенть
le briquet                                                        | зажигалка
le brocolis                                                       | капуста брокколи
le bronze                                                         | бронза
le bug jet                                                        | бюджет
le bulletin                                                       | бюллетень
le bureau                                                         | офис
le bureau (table)                                                 | письменный стол
le bureau de change                                               | обменный пункт
le but                                                            | цель
le bébé                                                           | младенец
le cachet                                                         | печать
le cadenas                                                        | навесной замок
le caissier/e                                                     | кассИр
le calcul                                                         | расчёт
le calot                                                          | пилотка
le camion                                                         | грузовИк
le canada                                                         | канада
le canard                                                         | утка
le cancer                                                         | рак
le capital                                                        | капитал
le cappuccino                                                     | кофе со сливками
le caractère                                                      | характер
le carrefour                                                      | перекрёсток
le carton                                                         | картон
le casino                                                         | казино
le casque (d'ouvrier)                                             | каска
le casque (de moto)                                               | шлем
le catalogue                                                      | каталог
le cauchemard                                                     | кошмар
le cendrier                                                       | пепельница
le centre commercial                                              | торгОвый центр
le centre d'affaires                                              | бизнес центр
le certificat                                                     | сертификат
le cerveau                                                        | мозг
le champ                                                          | поле
le champ labouré                                                  | пашня
le champagne                                                      | шампанское
le championnat                                                    | чемпионат
le chandelier                                                     | подсвечник
le changement                                                     | изменение
le charbon                                                        | Утоль
le chargement                                                     | погрузка
le chat                                                           | кот
le chauffeur                                                      | водитель
le chef d'orchestre                                               | дирижёр
le chef d'équipe                                                  | бригадир
le cheval                                                         | лОшадь
le chien                                                          | собАка
le chiffre                                                        | цифра
le chiffre d'affaires                                             | оборОт
le chirurgien                                                     | хирург
le choc                                                           | шок
le chou                                                           | капуста
le chuchotement                                                   | шёпот
le chèque                                                         | чек
le chômage                                                        | безработица
le chômeur                                                        | безработный
le ciel                                                           | нЕбо
le ciment                                                         | цемент
le classeur                                                       | папка
le client                                                         | закАзчик
le clochard                                                       | нищий
le clown                                                          | клоун
le cochons                                                        | свиньЯ
le code                                                           | код
le code barre                                                     | штрих-кОд
le coffre fort                                                    | сейф
le coiffeur                                                       | пахикмахер
le collier (bijou)                                                | ожерелье
le commandant                                                     | командир
le commerce                                                       | бизнес
le commerçant                                                     | коммерсант
le compliment                                                     | комплимент
le comptable                                                      | бухгалтер
le compte                                                         | счёт
le comptoir                                                       | прилавок
le concert                                                        | концЕрт
le concombre                                                      | огурец
le concurrent                                                     | конкурент
le conflit                                                        | конфликт
le confort                                                        | комфорт
le congélateur                                                    | морозильник
le consommateur                                                   | потребитель
le container                                                      | контейнер
le contour                                                        | контур
le contrat                                                        | контракт
le contrôle                                                       | контроль
le copain                                                         | приятель
le copain de classe                                               | одноклассник
le cordonnier                                                     | сапОжник
le corps                                                          | тЕло
le coton                                                          | хлОпок
le couple                                                         | чета
le courage                                                        | смелость
le courage                                                        | хрАбрость
le cousin                                                         | двоюродный брат
le coussin                                                        | подУшечка
le couteau                                                        | нож
le couturier                                                      | модельер
le couvercle                                                      | крышка
le cri                                                            | крик
le crime.                                                         | преступление
le critique                                                       | критик
le croisement                                                     | пересечение
le crâne                                                          | череп
le crédit                                                         | кредит
le cuir                                                           | кОжа
le cuisinier                                                      | повар
le cuivre                                                         | медь
le cycle                                                          | цикл
le côté                                                           | сторонА
le danger                                                         | опасность
le danseur                                                        | танцор
le dentifrice                                                     | зубная паста
le dentiste                                                       | стоматОлог
le dernier étage                                                  | верхний этаж
le design                                                         | дизАйн
le dessin                                                         | рисовАние
le dessin technique                                               | чертёж
le destin                                                         | судьба
le destinataire                                                   | получатель
le diabète                                                        | диабет
le dialogue                                                       | диалог
le diamant                                                        | бриллиант
le dilemme                                                        | дилемма
le diplomate                                                      | дипломат
le discours                                                       | речь
le distributeur                                                   | дистрибьютор
le divertissement                                                 | развлечЕние
le divorce                                                        | развод
le dogme                                                          | догма
le doigt                                                          | пАлец
le domicile                                                       | место жительства
le dos                                                            | пояснИца
le douanier                                                       | таможенник
le doute                                                          | сомнЕние
le drap                                                           | простыня
le débat                                                          | спор
le début                                                          | начало
le déchargement                                                   | разгружать
le défaut                                                         | недостаток
le déjeuner                                                       | обед
le délai                                                          | срок
le département                                                    | отдЕл
le désert                                                         | пустЫня
le déshonneur                                                     | позОр
le désordre                                                       | беспорядок
le détail                                                         | подрОбность
le détective                                                      | сыщик
le dîner                                                          | ужин
le facteur                                                        | почтальон
le fait                                                           | факт
le fauteuil                                                       | крЕсло
le fer                                                            | желЕзо
le fer à repasser                                                 | утюг
le feu                                                            | огОнь
le feu de bois                                                    | костёр
le feu de signalisation                                           | светофОр
le feutre                                                         | фломастер
le fil électrique                                                 | провод
le filtre                                                         | фильтр
le flambeau                                                       | факел
le fonctionnaire                                                  | чинОвник
le fondateur                                                      | основатель
le forum                                                          | форум
le four                                                           | духОвка
le frisson                                                        | ознОб
le fromage                                                        | сыр
le fruit                                                          | фрукт
le fumeur                                                         | курильщик
le fumier                                                         | навоз
le gant                                                           | перчАтка
le garde du corps                                                 | телохранитель
le gendre                                                         | зять
le geste                                                          | жест
le goût                                                           | вкус
le gratte-ciel                                                    | небоскрёб
le grenier.                                                       | чердак
le grille-pain                                                    | тостер
le grincement                                                     | скрип
le gréviste                                                       | забастовщик
le gâteau, la pâtisserie                                          | пирожное
le gâteau.                                                        | пирог
le général                                                        | генерал
le gérant                                                         | управляющий
le hall                                                           | холл
le jambon                                                         | ветчина
le jardin                                                         | сад/огорОд
le jardinier                                                      | садовник
le jouet                                                          | игрушка
le jour d'après                                                   | на следующей день
le jour où...                                                     | в день, когда...
le juge                                                           | судья
le jus                                                            | сок
le jus d'orange                                                   | апельсиновый сок
le krach                                                          | крах
le laissez-passer                                                 | прОпуск
le lapin                                                          | крОлик
le lavabo                                                         | раковина
le lave-vaisselle                                                 | посудомоечная машина
le leader                                                         | лидер
le libre                                                          | книга
le licenciement                                                   | увольнение
le lieutenant                                                     | лейтенант
le lion                                                           | лев
le lit                                                            | кровать
le livreur                                                        | курьер
le logo                                                           | логотип
le long de, à travers, d'après                                    | по
le loyer                                                          | квартирная плата
le lustre                                                         | люстра
le magasin de chaussures                                          | обувной магазин
le magicien                                                       | фокусник
le maillot de bain                                                | купальник
le maire                                                          | мэр
le mais                                                           | кукуруза
le mal de mer                                                     | морская болезнь
le malentendu                                                     | недоразумение
le malheur                                                        | несчастье
le manager                                                        | менеджер
le manuscrit                                                      | рукопись
le mari                                                           | муж
le marin                                                          | моряк
le marketing                                                      | маркетинг
le mass media                                                     | масс медиа
le matelas                                                        | матрАс
le matin (substantif)                                             | Утро
le melon                                                          | дыня
le menuisier                                                      | столяр
le metteur en scène                                               | режиссёр
le micro                                                          | микрофон
le micro-ondes                                                    | микроволновая печь
le miel                                                           | мёд
le militaire                                                      | воЕнный
le mineur                                                         | шахтёр
le ministre                                                       | министр
le miroir                                                         | зЕркало
le modèle (personne)                                              | модель
le moine                                                          | монах
le mollet                                                         | икра
le moment                                                         | мгновение
le monopole                                                       | монопОлия
le monument                                                       | памятник
le morceau                                                        | кусок
le mot                                                            | слОво
le mot de passe                                                   | пароль
le mouton                                                         | овцА
le muscle                                                         | мышца
le musicien                                                       | музыкант
le mécanicien                                                     | механик
le mécanisme                                                      | механизм
le mégot                                                          | окурок
le mépris                                                         | презрение
le métal                                                          | метАлл
le métier                                                         | дело
le même (commun à plusieurs)                                      | один (2)
le même (identique, comme avant)                                  | тот же
le navigateur                                                     | штурман
le neveu                                                          | племянник
le nom de famille                                                 | фамИлия
le nombre                                                         | число
le nombril                                                        | пупок
le nord                                                           | сЕвер
le nuage                                                          | Облако
le paiement                                                       | оплата
le paillasson                                                     | кОврик
le palais                                                         | дворец
le palais                                                         | дворец
le panier                                                         | корзИна для покУпок
le panneau                                                        | дорОжный знак
le papier                                                         | бумага
le papier peint                                                   | обОи
le paradis                                                        | рай
le parapluie                                                      | зОнтик
le parfum                                                         | духи
le parking                                                        | стоянка
le partenariat                                                    | партнёрство
le passé                                                          | прошлое
le patient                                                        | пациент
le paysan                                                         | крестьянин
le peintre                                                        | художник
le peintre                                                        | художник
le permis de conduire                                             | водительские права
le personnel                                                      | персонал
le petit                                                          | малыш
le petit fils                                                     | внук
le peuple, le monde (gens)                                        | нарОд
le physicien                                                      | физик
le pied                                                           | ступня
le pinceau                                                        | кисть
le pirate                                                         | пират
le plan                                                           | схема
le plancher                                                       | пол
le plastique                                                      | пластик
le plateau                                                        | поднОс
le plombier                                                       | сантехник
le plus grand                                                     | наибольший
le plus petit                                                     | наименьший
le poids                                                          | вес
le point de vue                                                   | точка зрения
le pois                                                           | горох
le poisson                                                        | рЫба
le poisson                                                        | рЫба
le poivre                                                         | пЕрец
le policier                                                       | полицейский
le politicien                                                     | политик
le pompier                                                        | пожарный
le portail                                                        | ворОта
le porte-manteau                                                  | вешалка
le positionnement                                                 | позиционирование
le poste                                                          | должность
le postulat                                                       | постулат
le potager                                                        | огород
le poulet                                                         | курЯтина
le pourcent                                                       | процент
le poète                                                          | поэт
le premier ministre                                               | премьер-министр
le pressing                                                       | химчистка
le prince                                                         | принц
le principe                                                       | принцип
le printemps                                                      | веснА
le prisonnier                                                     | заключённый
le prix                                                           | цена
le producteur                                                     | производитель
le producteur (d'art)                                             | продюсер
le professeur                                                     | учитель
le profit                                                         | прибыль
le programme                                                      | программа
le projet                                                         | проект
le pronom-adjectif réfléchi сам (soi,moi,toi,lui..-même)          | сам. самО самого самому 
le propriétaire                                                   | владелец
le propriétaire foncier                                           | землевладелец
le prospectus                                                     | листовка
le proverbe                                                       | пословица
le pré                                                            | луг
le présent                                                        | настоЯщее
le psychiatre                                                     | психиатр
le public                                                         | публика
le puits                                                          | колОдец
le pyjama                                                         | пижама
le pâturage                                                       | пастбище
le pâté                                                           | паштет
le pétrole                                                        | нефть
le pêcheur                                                        | рыбак
le quai                                                           | набережная
le questionnaire                                                  | анкета
le radis                                                          | редис
le raisin                                                         | виногрАд
le raisin sec                                                     | изюм
le rapport                                                        | отчёт
le rasoir                                                         | бритва
le rebord                                                         | подокОнник
le recipient                                                      | сосуд
le refus                                                          | отказ
le regard                                                         | взгляд
le regret                                                         | сожаление
le remède                                                         | средство
le rendez vous                                                    | свидание
le représentant                                                   | представитель
le requin                                                         | акУла
le respect                                                        | уважение
le reste остАток                                                  | 
le reste, les autres                                              | остальнЫе
le revenu                                                         | доход
le rez-de-chaussée.                                               | нижний этаж
le rhume                                                          | насморк
le rideau                                                         | штОра
le rire                                                           | смех
le risque                                                         | риск
le riz                                                            | рис
le robinet                                                        | кран
le roi                                                            | корОль
le royaume uni                                                    | великобритАния
le râteau                                                         | грабли
le réseau (de commerce)                                           | сеть
le résultat                                                       | результат
le réveil                                                         | будИльник
le rêve                                                           | сон
le sable                                                          | песОк
le sac (de course)                                                | сУмка для покУпок
le sac à dos                                                      | рюкзак
le sac à main                                                     | сумочка
le salaire                                                        | заработная плата
le salon                                                          | гостИная
le salon de café                                                  | кофейня
le sandwich                                                       | сАндвич
le sandwich                                                       | бутерброд
le sang                                                           | кровь
le sans abri                                                      | бездомный
le sauvage                                                        | дикарь
le savant                                                         | учёный
le savon                                                          | мыло
le savon                                                          | мЫло
le scientifique                                                   | учёный
le sculpteur                                                      | скульптор
le scénariste                                                     | сценарист
le seau                                                           | ведро
