|frequency_rank|part_of_speech_short|word_de|word_forms_de|sentence_de|word_translations_en|word_en|sentence_en|part_of_speech|sentence_original_de|sentence_original_en|sentence_lemmatized_de
2317|2233|verb|befürchten|befürchten, befürchtet, befürchtete, hat befürchtet|Sie befürchten das Schlimmste.|to fear|to fear|They fear the worst.|verb|Ich befürchte, dass ich den Zug verpassen werde.|I’m afraid I’m gonna miss the train.
2318|2234|prep|hinsichtlich||Hinsichtlich dessen bin ich zufrieden.|with regard to|with regard to|With regard to that, I am satisfied.|preposition|Viele Jugendliche fühlen sich unsicher hinsichtlich ihrer Berufswahl.|Many adolescents feel insecure with regard to their career choices.
2319|2235|die|die Katze|die Katzen|Die Katze sprang leise auf den Tisch.|cat|cat|The cat jumped quietly onto the table.|noun|Neben ihrem Hund hat Ute auch eine Katze, sie liebt beide Tiere sehr.|Besides her dog Ute also has a cat, she loves both animals very much.
2320|2236|adj|äußere|äußere, äußerer, äußeres|Das äußere Tor war verschlossen.|outer, external|outer|The outer gate was locked.|adjective|Das Ohr besteht aus einem äußeren, sichtbaren und einem inneren Teil.|The ear consists of an external, visible and an internal part.
2320.001|2236|adj|äußere|äußere, äußerer, äußeres||outer, external|external||adjective|Das Ohr besteht aus einem äußeren, sichtbaren und einem inneren Teil.|The ear consists of an external, visible and an internal part.
2321|2237|die|die Halle|die Hallen|Die Halle war voll mit Menschen.|hall|hall|The hall was full of people.|noun|Das Konzert findet in einer riesigen Halle statt.|The concert takes place in a huge hall.
2322|2238|die|die Häufigkeit|die Häufigkeiten|Die Häufigkeit der Ereignisse nimmt zu.|frequency|frequency|The frequency of events is increasing.|noun|Die Häufigkeit von Wörtern spielt eine wichtige Rolle beim Lernen von Fremdsprachen.|The frequency of words plays an important role in language learning.
2323|2239|das|das Kapital|die Kapitale|Das Kapital des Unternehmens wächst.|capital|capital|The company’s capital is growing.|noun|Die Firma hat nicht genügend Kapital, um im Wettbewerb zu bleiben.|The company does not have the capital to stay competitive.
2324|2240|die|die Revolution|die Revolutionen|Die Revolution veränderte alles.|revolution|revolution|The revolution changed everything.|noun|Die Französische Revolution begann 1789.|The French Revolution began in 1789.
2325|2241|verb|zuordnen|zuordnen, ordnet zu, ordnete zu, hat zugeordnet|Er ordnet die Dateien dem Projekt zu.|to assign, classify|to assign|He assigns the files to the project.|verb|Dieses Gedicht lässt sich einem der drei Dichter zuordnen.|This poem can be assigned to one of the three poets.
2325.001|2241|verb|zuordnen|zuordnen, ordnet zu, ordnete zu, hat zugeordnet||to assign, classify|to classify||verb|Dieses Gedicht lässt sich einem der drei Dichter zuordnen.|This poem can be assigned to one of the three poets.
2326|2242|verb|aussetzen|aussetzen, setzt aus, setzte aus, hat ausgesetzt||to suspend, expose, skip, sit out|to suspend||verb|Aufgrund ihrer Verletzungen müssen zwei Spieler der deutschen Mannschaft im nächsten Spiel aussetzen.|Because of their injuries, two players of the German team must sit out the next match.
2326.001|2242|verb|aussetzen|aussetzen, setzt aus, setzte aus, hat ausgesetzt||to suspend, expose, skip, sit out|to expose||verb|Aufgrund ihrer Verletzungen müssen zwei Spieler der deutschen Mannschaft im nächsten Spiel aussetzen.|Because of their injuries, two players of the German team must sit out the next match.
2326.002|2242|verb|aussetzen|aussetzen, setzt aus, setzte aus, hat ausgesetzt|Er musste das Training kurz aussetzen.|to suspend, expose, skip, sit out|to skip|He had to skip the training briefly.|verb|Aufgrund ihrer Verletzungen müssen zwei Spieler der deutschen Mannschaft im nächsten Spiel aussetzen.|Because of their injuries, two players of the German team must sit out the next match.
2326.003|2242|verb|aussetzen|aussetzen, setzt aus, setzte aus, hat ausgesetzt||to suspend, expose, skip, sit out|to sit out||verb|Aufgrund ihrer Verletzungen müssen zwei Spieler der deutschen Mannschaft im nächsten Spiel aussetzen.|Because of their injuries, two players of the German team must sit out the next match.
2327|2243|der|der Lohn|die Löhne|Der Lohn wurde pünktlich überwiesen.|wage, pay, reward|wage|The wage was transferred on time.|noun|Ich bekomme meinen Lohn am Ende des Monats.|I get my wages at the end of the month.
2327.001|2243|der|der Lohn|die Löhne||wage, pay, reward|pay||noun|Ich bekomme meinen Lohn am Ende des Monats.|I get my wages at the end of the month.
2327.002|2243|der|der Lohn|die Löhne||wage, pay, reward|reward||noun|Ich bekomme meinen Lohn am Ende des Monats.|I get my wages at the end of the month.
2328|2244|das|das Vermögen|die Vermögen|Das Vermögen wurde gerecht verteilt.|assets, fortune, ability|assets|The assets were distributed fairly.|noun|Das Gericht entscheidet darüber, wer der Erbe des Vermögens sein wird.|The court decides who will inherit the assets.
2328.001|2244|das|das Vermögen|die Vermögen||assets, fortune, ability|fortune||noun|Das Gericht entscheidet darüber, wer der Erbe des Vermögens sein wird.|The court decides who will inherit the assets.
2328.002|2244|das|das Vermögen|die Vermögen||assets, fortune, ability|ability||noun|Das Gericht entscheidet darüber, wer der Erbe des Vermögens sein wird.|The court decides who will inherit the assets.
2329|2245|die|die Verwaltung|die Verwaltungen|Die Verwaltung arbeitet effizient.|administration|administration|The administration works efficiently.|noun|Sie unterrichtet nicht, sondern arbeitet in der Verwaltung der Universität.|She does not teach, but works in the university administration.
2330|2246|conj|zumal|||particularly, especially|particularly||conjunction|Sie kommt zum Fest, zumal sie keine anderen Pläne hat.|She’s coming to the party, especially since she has no other plans.
2330.001|2246|conj|zumal||Er war nervös, zumal es spät war.|particularly, especially|especially|He was nervous, especially since it was late.|conjunction|Sie kommt zum Fest, zumal sie keine anderen Pläne hat.|She’s coming to the party, especially since she has no other plans.
2331|2247|das|das Kohlenstoffdioxid||Kohlenstoffdioxid ist ein Gas.|carbon dioxide|carbon dioxide|Carbon dioxide is a gas.|noun|Wir atmen Sauerstoff ein und Kohlenstoffdioxid aus.|We inhale oxygen and emit carbon dioxide.
2332|2248|adj|ordentlich||Das Büro ist immer ordentlich.|neat, proper, orderly|neat|The office is always neat.|adjective|Jedes Kind braucht ein ordentliches Frühstück, um in der Schule aufmerksam zu sein.|Every child needs a proper breakfast to be attentive in school.
2332.001|2248|adj|ordentlich|||neat, proper, orderly|proper||adjective|Jedes Kind braucht ein ordentliches Frühstück, um in der Schule aufmerksam zu sein.|Every child needs a proper breakfast to be attentive in school.
2332.002|2248|adj|ordentlich|||neat, proper, orderly|orderly||adjective|Jedes Kind braucht ein ordentliches Frühstück, um in der Schule aufmerksam zu sein.|Every child needs a proper breakfast to be attentive in school.
2333|2249|verb|stoppen|stoppen, stoppt, stoppte, hat gestoppt|Er stoppte den Wagen rechtzeitig.|to stop|to stop|He stopped the car in time.|verb|Die Polizei stoppt die Demonstration nach wenigen Metern.|The police stop the demonstration after a few meters.
2334|2250|der|der Bundeskanzler|die Bundeskanzler|Der Bundeskanzler sprach zur Nation.|federal chancellor|federal chancellor|The Federal Chancellor spoke to the nation.|noun|Konrad Adenauer war der erste Bundeskanzler der BRD.|Konrad Adenauer was the first chancellor of West Germany.
2335|2251|der|der Rat|die Räte|Der Rat des Lehrers war hilfreich.|advice|advice|The teacher’s advice was helpful.|noun|In diesem Fall holt sich der Professor Rat von einem Kollegen.|In this case, the professor takes advice from a colleague.
2336|2252|der|der Bewohner|die Bewohner||inhabitant, resident, occupant|inhabitant||noun|Während des Brands müssen alle Bewohner das Haus verlassen.|All residents must leave the house during the fire.
2336.001|2252|der|der Bewohner|die Bewohner|Die Bewohner waren freundlich.|inhabitant, resident, occupant|resident|The residents were friendly.|noun|Während des Brands müssen alle Bewohner das Haus verlassen.|All residents must leave the house during the fire.
2336.002|2252|der|der Bewohner|die Bewohner||inhabitant, resident, occupant|occupant||noun|Während des Brands müssen alle Bewohner das Haus verlassen.|All residents must leave the house during the fire.
2337|2253|adj|gewöhnlich||Er führt ein ganz gewöhnliches Leben.|usual|usual|He leads a very usual life.|adjective|Die Kirche ist nicht nur sonntags, sondern auch an gewöhnlichen Tagen geöffnet.|The church is open not only on Sundays, but also on ordinary days.
2338|2254|adj|großartig||Das Konzert war einfach großartig.|great, splendid, superb, terrific|great|The concert was simply great.|adjective|Das Konzert war großartig und ich werde es nie vergessen.|The concert was great and I will never forget it.
2338.001|2254|adj|großartig|||great, splendid, superb, terrific|splendid||adjective|Das Konzert war großartig und ich werde es nie vergessen.|The concert was great and I will never forget it.
2338.002|2254|adj|großartig|||great, splendid, superb, terrific|superb||adjective|Das Konzert war großartig und ich werde es nie vergessen.|The concert was great and I will never forget it.
2338.003|2254|adj|großartig|||great, splendid, superb, terrific|terrific||adjective|Das Konzert war großartig und ich werde es nie vergessen.|The concert was great and I will never forget it.
2339|2255|verb|trainieren|trainieren, trainiert, trainierte, hat trainiert|Er trainiert täglich im Fitnessstudio.|to train, coach|to train|He trains daily at the gym.|verb|Aaron trainiert jeden Tag für den Wettbewerb im Schwimmen.|Aaron trains every day for the swimming competition.
2339.001|2255|verb|trainieren|trainieren, trainiert, trainierte, hat trainiert||to train, coach|to coach||verb|Aaron trainiert jeden Tag für den Wettbewerb im Schwimmen.|Aaron trains every day for the swimming competition.
2340|2256|die|die Variante|die Varianten|Es gibt eine neue Variante des Spiels.|variant, variation|variant|There is a new variant of the game.|noun|Das Handy gibt es in verschiedenen Varianten und Farben.|The phone is available in many different variants and colors.
2340.001|2256|die|die Variante|die Varianten||variant, variation|variation||noun|Das Handy gibt es in verschiedenen Varianten und Farben.|The phone is available in many different variants and colors.
2341|2257|das|das Medikament|die Medikamente|Das Medikament wirkt sehr schnell.|medicine, drug|medicine|The medicine works very quickly.|noun|Judith nimmt Medikamente gegen ihre Schmerzen.|Judith takes medication for her pain.
2341.001|2257|das|das Medikament|die Medikamente||medicine, drug|drug||noun|Judith nimmt Medikamente gegen ihre Schmerzen.|Judith takes medication for her pain.
2342|2258|der|der Ring|die Ringe|Der Ring fiel zu Boden und rollte weg.|ring|ring|The ring fell to the ground and rolled away.|noun|Die Ringe sind ein Symbol ihrer Liebe.|The rings are a symbol of their love.
2343|2259|adj|beliebig||Wählen Sie eine beliebige Option aus.|any, as you like|any|Select any option you like.|adjective|Jeder kann beliebig viel Freunde mitbringen.|Everyone can bring as many friends as they like.
2343.001|2259|adj|beliebig|||any, as you like|as you like||adjective|Jeder kann beliebig viel Freunde mitbringen.|Everyone can bring as many friends as they like.
2344|2260|das|das HGB (Handelsgesetzbuch)||Das HGB regelt den Handel genau.|Commercial Code|Commercial Code|The Commercial Code regulates trade precisely.|noun|Das HGB beinhaltet alle wichtigen Regeln und Gesetze zum Handel in Deutschland.|The Commercial Code contains all the important rules and laws on trade in Germany.
2345|2261|verb|versetzen|versetzen, versetzt, versetzte, hat versetzt||to move, transfer|to move||verb|Die Hälfte meiner Kollegen wird von unserer Firma nach Berlin versetzt.|Half of my colleagues are being transferred to Berlin by our company.
2345.001|2261|verb|versetzen|versetzen, versetzt, versetzte, hat versetzt|Er wurde nach Berlin versetzt.|to move, transfer|to transfer|He was transferred to Berlin.|verb|Die Hälfte meiner Kollegen wird von unserer Firma nach Berlin versetzt.|Half of my colleagues are being transferred to Berlin by our company.
2346|2262|verb|verurteilen|verurteilen, verurteilt, verurteilte, hat verurteilt|Der Richter verurteilt den Dieb.|to condemn|to condemn|The judge condemns the thief.|verb|Der Mann wird vom Gericht zu 200 Stunden sozialer Arbeit verurteilt.|The man is sentenced by the court to 200 hours of community service.
2347|2263|das|das Vorjahr|die Vorjahre|Das Vorjahr brachte gute Ergebnisse.|previous year|previous year|The previous year brought good results.|noun|Dieses Jahr wurden die Gewinne aus dem Vorjahr verdoppelt.|This year, the profits from the previous year were doubled.
2348|2264|adj|gezielt||Sie machte einen gezielten Vorschlag.|targeted, purposeful, pointed, well-aimed|targeted|She made a targeted suggestion.|adjective|Durch gezielten Einsatz der Substanz können alle Viren abgetötet werden.|All viruses can be killed by targeted use of the substance.
2348.001|2264|adj|gezielt|||targeted, purposeful, pointed, well-aimed|purposeful||adjective|Durch gezielten Einsatz der Substanz können alle Viren abgetötet werden.|All viruses can be killed by targeted use of the substance.
2348.002|2264|adj|gezielt|||targeted, purposeful, pointed, well-aimed|pointed||adjective|Durch gezielten Einsatz der Substanz können alle Viren abgetötet werden.|All viruses can be killed by targeted use of the substance.
2348.003|2264|adj|gezielt|||targeted, purposeful, pointed, well-aimed|well-aimed||adjective|Durch gezielten Einsatz der Substanz können alle Viren abgetötet werden.|All viruses can be killed by targeted use of the substance.
2349|2265|die|die Kommune|die Kommunen|Die Kommune plant neue Wohnprojekte.|municipality, local authority|municipality|The municipality plans new housing projects.|noun|Es ist die Aufgabe der Kommunen, Schulen zu bauen.|It is the task of the municipalities to build schools.
2349.001|2265|die|die Kommune|die Kommunen||municipality, local authority|local authority||noun|Es ist die Aufgabe der Kommunen, Schulen zu bauen.|It is the task of the municipalities to build schools.
2350|2266|der|der Mord|die Morde|Der Mord wurde schnell aufgeklärt.|murder|murder|The murder was quickly solved.|noun|Mord ist eine Tat, bei der eine Person mit Absicht getötet wird.|Murder is an act in which a person is killed on purpose.
2351|2267|adj|extern||Die externe Firma hilft uns weiter.|external|external|The external company is helping us.|adjective|Eine externe Mitarbeiterin arbeitet an diesem Teil des Projekts.|An external collaborator is working on this part of the project.
2352|2268|die|die Partie|die Partien|Die Partie endete unentschieden.|game|game|The game ended in a draw.|noun|Sarah gewinnt die erste Partie.|Sarah wins the first game.
2353|2269|adj|stetig||Die stetige Verbesserung fiel auf.|constant|constant|The constant improvement was noticeable.|adjective|Der stetige Anstieg des Meeresspiegels ist ein globales Problem.|The constant rise in sea level is a global problem.
2354|2270|adj|dumm||Das war wirklich eine sehr dumme Idee.|stupid|stupid|That was really a very stupid idea.|adjective|Es gibt keine dummen Fragen.|There are no stupid questions.
2355|2271|verb|erwidern|erwidern, erwidert, erwiderte, hat erwidert|Er erwidert ihren Gruß höflich.|to reply|to reply|He politely replies to her greeting.|verb|Er erwidert ihren Blick mit einem Lächeln.|He replies to her look with a smile.
2356|2272|die|die Identität|die Identitäten|Seine Identität bleibt unbekannt.|identity|identity|His identity remains unknown.|noun|Die Identität des Täters ist unklar.|The perpetrator’s identity is unclear.
2357|2273|der|der Stock|die Stöcke||stick, floor|stick||noun|Sein Büro ist im dritten Stock des Gebäudes.|His office on the third floor of the building.
2357.001|2273|der|der Stock|die Stöcke|Das Büro ist im dritten Stockwerk.|stick, floor|floor|The office is on the third floor.|noun|Sein Büro ist im dritten Stock des Gebäudes.|His office on the third floor of the building.
2358|2274|das|das Gefäß|die Gefäße|Das Gefäß war mit Wasser gefüllt.|vessel|vessel|The vessel was filled with water.|noun|Das Medikament vergrößert die Gefäße, durch die das Blut fließt.|The medication enlarges the vessels through which the blood flows.
2359|2275|verb|atmen|atmen, atmet, atmete, hat geatmet|Der Patient atmet tief ein und aus.|to breathe|to breathe|The patient breathes in and out deeply.|verb|Der Arzt prüft, ob der Patient noch atmet.|The doctor checks if the patient is still breathing.
2360|2276|die|die Milch|die Milche|Die Milch steht im Kühlschrank.|milk|milk|The milk is in the refrigerator.|noun|Eine normale Kuh produziert etwa acht Liter Milch täglich.|A normal cow produces about eight liters of milk a day.
2361|2277|die|die Tiefe|die Tiefen|Die Tiefe des Sees ist unbekannt.|depth|depth|The depth of the lake is unknown.|noun|Es könnten noch unbekannte Tiere in den Tiefen des Ozeans leben.|There may be still unknown animals living in the depths of the ocean.
2362|2278|verb|unternehmen|unternehmen, unternimmt, unternahm, hat unternommen|Sie unternahmen eine Reise nach Asien.|to undertake, do, take action|to undertake|They undertook a trip to Asia.|verb|Sarah möchte im Urlaub am Strand liegen, während Erik lieber etwas unternehmen möchte.|Sarah wants to lie on the beach on vacation, while Erik would rather do something.
2362.001|2278|verb|unternehmen|unternehmen, unternimmt, unternahm, hat unternommen||to undertake, do, take action|to do||verb|Sarah möchte im Urlaub am Strand liegen, während Erik lieber etwas unternehmen möchte.|Sarah wants to lie on the beach on vacation, while Erik would rather do something.
2362.002|2278|verb|unternehmen|unternehmen, unternimmt, unternahm, hat unternommen||to undertake, do, take action|to take action||verb|Sarah möchte im Urlaub am Strand liegen, während Erik lieber etwas unternehmen möchte.|Sarah wants to lie on the beach on vacation, while Erik would rather do something.
2363|2279|adj|moralisch||Moralische Fragen wurden besprochen.|moral|moral|Moral questions were discussed.|adjective|Es ist für sie eine moralische Pflicht, Geld zu spenden.|For her, it is a moral duty to donate money.
2364|2280|pron|selbe|selbe, selber, selbes|Er trägt denselben Hut wie gestern.|same|same|He is wearing the same hat as yesterday.|pronoun|Robin erledigt die Aufgaben noch am selben Tag.|Robin completes the tasks on the same day.
2365|2281|verb|stärken|stärken, stärkt, stärkte, hat gestärkt|Er stärkt sein Immunsystem durch Sport.|to strengthen|to strengthen|He strengthens his immune system through sports.|verb|Gutes Essen und Sport stärken die Gesundheit.|Good food and exercise strengthen your health.
2366|2282|der|der Millimeter|die Millimeter|Ein Millimeter machte den Unterschied.|millimeter|millimeter|One millimeter made the difference.|noun|Ein Zentimeter hat zehn Millimeter.|One centimeter equals ten millimeters.
2367|2283|die|die FDP (Freie Demokratische Partei)||Die FDP strebt eine Steuerreform an.|FDP|FDP|The FDP is striving for a tax reform.|noun|Die FDP ist eine deutsche Partei und wurde 1948 gegründet.|The FDP is a German party and was founded in 1948.
2368|2284|der|der Konsument|die Konsumenten|Der Konsument hat hohe Erwartungen.|consumer|consumer|The consumer has high expectations.|noun|Viele Konsumenten kaufen lieber regionale Produkte.|Many consumers prefer to buy regional products.
2369|2285|die|die Reform|die Reformen|Die Reform brachte viele Veränderungen.|reform|reform|The reform brought many changes.|noun|Die Regierung plant eine Reform zur Verbesserung der Bildung.|The government is planning a reform to improve education.
2370|2286|der|der Richter|die Richter|Der Richter spricht das Urteil.|judge|judge|The judge delivers the verdict.|noun|Ein Richter entscheidet, ob eine Person schuldig ist und wie sie bestraft wird.|A judge decide whether a person is guilty and how he or she will be punished.
2371|2287|verb|verwandeln|verwandeln, verwandelt, verwandelte, hat verwandelt|Er verwandelte das Zimmer in ein Büro.|to transform, turn into|to transform|He transformed the room into an office.|verb|Da verwandelt sich das Mädchen in eine wunderschöne Prinzessin.|Then the girl turns into a beautiful princess.
2371.001|2287|verb|verwandeln|verwandeln, verwandelt, verwandelte, hat verwandelt||to transform, turn into|to turn into||verb|Da verwandelt sich das Mädchen in eine wunderschöne Prinzessin.|Then the girl turns into a beautiful princess.
2372|2288|verb|streiten|streiten, streitet, stritt, hat gestritten|Sie stritten sich um das Geld.|to quarrel, argue|to quarrel|They quarreled over the money.|verb|Er ist eine schwierige Person, weil er mit jedem streitet.|He’s a difficult person because he argues with everybody.
2372.001|2288|verb|streiten|streiten, streitet, stritt, hat gestritten||to quarrel, argue|to argue||verb|Er ist eine schwierige Person, weil er mit jedem streitet.|He’s a difficult person because he argues with everybody.
2373|2289|verb|widmen|widmen, widmet, widmete, hat gewidmet|Sie widmet ihr Leben der Kunst.|to dedicate|to dedicate|She dedicates her life to art.|verb|Die Autorin widmet das Buch ihrer Mutter.|The author dedicates the book to her mother.
2374|2290|verb|bereitstellen|bereitstellen, stellt bereit, stellte bereit, hat bereitgestellt|Wir stellen die Mittel bereit.|to provide, put on|to provide|We are providing the resources.|verb|Der Laden stellt kostenloses Internet für seine Kunden bereit.|The shop provides free internet for its customers.
2374.001|2290|verb|bereitstellen|bereitstellen, stellt bereit, stellte bereit, hat bereitgestellt||to provide, put on|to put on||verb|Der Laden stellt kostenloses Internet für seine Kunden bereit.|The shop provides free internet for its customers.
2375|2291|verb|hinterlassen|hinterlassen, hinterlässt, hinterließ, hat hinterlassen|Er hat eine Nachricht hinterlassen.|to leave|to leave|He left a message.|verb|Die Eltern hinterlassen ihren Kindern ein Vermögen nach ihrem Tod.|The parents leave their children a fortune after their deaths.
2376|2292|verb|analysieren|analysieren, analysiert, analysierte, hat analysiert|Sie analysiert die Daten sehr genau.|to analyze|to analyze|She analyzes the data very precisely.|verb|Die Daten werden mit Hilfe eines Computerprogramms analysiert.|The data is analyzed by a computer program.
2377|2293|der|der Gipfel|die Gipfel||peak, summit|peak||noun|Die Gipfel der Berge sind mit Schnee bedeckt.|The peaks of the mountains are covered with snow.
2377.001|2293|der|der Gipfel|die Gipfel|Der Gipfel des Berges war schneebedeckt.|peak, summit|summit|The summit of the mountain was snow-covered.|noun|Die Gipfel der Berge sind mit Schnee bedeckt.|The peaks of the mountains are covered with snow.
2378|2294|der|der Nachteil|die Nachteile|Der Nachteil ist offensichtlich.|disadvantage|disadvantage|The disadvantage is obvious.|noun|Das heiße Wetter hat viele Nachteile für die Bauern.|The hot weather has many disadvantages for the farmers.
2379|2295|adv|versus||Es geht um Team A versus Team B.|versus|versus|It’s Team A versus Team B.|adverb|Das heutige Fußballspiel ist England versus Deutschland.|Today’s soccer match is England versus Germany.
2380|2296|adj|vertraut||Er ist mit der Technik vertraut.|familiar, close|familiar|He is familiar with the technology.|adjective|Ich entdecke ein vertrautes Gesicht in der Menge.|I discover a familiar face in the crowd.
2380.001|2296|adj|vertraut|||familiar, close|close||adjective|Ich entdecke ein vertrautes Gesicht in der Menge.|I discover a familiar face in the crowd.
2381|2297|das|das Baby|die Babys|Das Baby schläft ruhig in seinem Bett.|baby|baby|The baby sleeps calmly in its bed.|noun|Das Baby von Ulrike und Peter ist winzig.|The baby of Ulrike and Peter is tiny.
2382|2298|die|die Sitzung|die Sitzungen|Die Sitzung dauert zwei Stunden.|meeting, session|meeting|The meeting lasts two hours.|noun|In der Sitzung stellen sich die neuen Mitarbeiter vor.|At the meeting, the new employees introduce themselves.
2382.001|2298|die|die Sitzung|die Sitzungen||meeting, session|session||noun|In der Sitzung stellen sich die neuen Mitarbeiter vor.|At the meeting, the new employees introduce themselves.
2383|2299|adj|sportlich||Seine sportliche Leistung war top.|athletic|athletic|His athletic performance was top.|adjective|Er präsentiert seinen sportlichen Körper am Strand.|He presents his athletic body on the beach.
2384|2300|die|die Wärme||Die Wärme des Feuers war angenehm.|warmth, heat|warmth|The warmth of the fire was pleasant.|noun|Sie spürt die Wärme der Sonne auf ihrer Haut.|She feels the warmth of the sun on her skin.
2384.001|2300|die|die Wärme|||warmth, heat|heat||noun|Sie spürt die Wärme der Sonne auf ihrer Haut.|She feels the warmth of the sun on her skin.
2385|2301|adj|eventuell||Eine eventuelle Lösung wurde diskutiert.|possible|possible|A possible solution was discussed.|adjective|Es gibt verschiedene Pläne, um auf alle eventuellen Probleme reagieren zu können.|There are several plans to respond to all possible problems.
2386|2302|die|die Gemeinschaft|die Gemeinschaften|Die Gemeinschaft arbeitete eng zusammen.|community|community|The community worked closely together.|noun|Viele Menschen nutzen soziale Medien, weil sie nach Gemeinschaft suchen.|Many people are using social media because they are looking for community.
2387|2303|verb|kennenlernen|kennenlernen, lernt kennen, lernte kennen, hat kennengelernt|Er lernte sie auf einer Party kennen.|to meet, get to know|to meet|He met her at a party.|verb|Ich lerne in der Schule viele neue Menschen kennen.|I get to know a lot of new people at school.
2387.001|2303|verb|kennenlernen|kennenlernen, lernt kennen, lernte kennen, hat kennengelernt||to meet, get to know|to get to know||verb|Ich lerne in der Schule viele neue Menschen kennen.|I get to know a lot of new people at school.
2388|2304|der|der Unternehmer|die Unternehmer|Der Unternehmer investierte klug.|entrepreneur, employer|entrepreneur|The entrepreneur invested wisely.|noun|Frau Günters leitet als Unternehmerin ihr eigenes Unternehmen.|Mrs. Günters runs her own company as an entrepreneur.
2388.001|2304|der|der Unternehmer|die Unternehmer||entrepreneur, employer|employer||noun|Frau Günters leitet als Unternehmerin ihr eigenes Unternehmen.|Mrs. Günters runs her own company as an entrepreneur.
2389|2305|die|die Dienstleistung|die Dienstleistungen|Diese Dienstleistung wird oft genutzt.|service|service|This service is frequently used.|noun|Eine der Dienstleistungen ist es, die Produkte kostenlos zu liefern.|It is one of the services to deliver the products for free.
2390|2306|adj|intern||Die internen Daten wurden ausgewertet.|internal|internal|The internal data was analyzed.|adjective|Die internen Angelegenheiten der Firma sind streng geheim.|The internal matters of the company are strictly confidential.
2391|2307|der|der Investor|die Investoren|Der Investor plant ein großes Projekt.|investor|investor|The investor is planning a large project.|noun|Der Investor bringt neues Kapital in das Unternehmen.|The investor brings new capital into the company.
2392|2308|die|die Periode|die Perioden|Die Periode dauerte mehrere Jahre.|period|period|The period lasted several years.|noun|Nach einer langen Periode der Kälte wird es endlich wieder warm.|After a long period of cold it finally gets warm again.
2393|2309|adj|schriftlich||Die schriftliche Aussage war eindeutig.|written|written|The written statement was clear.|adjective|Seine Eltern müssen eine schriftliche Erklärung schicken, damit er teilnehmen darf.|His parents have to send a written declaration so that he can participate.
2394|2310|adj|genetisch||Genetische Merkmale beeinflussen vieles.|genetic|genetic|Genetic traits influence many things.|adjective|Diese Lebensmittel sind genetisch verändert.|These foods are genetically modified.
2395|2311|der|der Einwohner|die Einwohner|Der Einwohner verließ die Stadt.|inhabitant|inhabitant|The inhabitant left the city.|noun|Leipzig hat ca. 590.000 Einwohner.|Leipzig has approximately 590,000 inhabitants.
2396|2312|verb|testen|testen, testet, testete, hat getestet|Wir haben das System getestet.|to test|to test|We tested the system.|verb|Herr Gottfried testet ein neues Medikament gegen Schmerzen.|Mr. Gottfried is testing a new drug for pain.
2397|2313|verb|umgeben|umgeben, gibt um, gab um, hat umgegeben|Das Haus ist von Bäumen umgeben.|to surround, enclose|to surround|The house is surrounded by trees.|verb|Mit Schnee bedeckte Berge umgeben die kleine Stadt im Tal.|Snow-capped mountains surround the small town in the valley.
2397.001|2313|verb|umgeben|umgeben, gibt um, gab um, hat umgegeben||to surround, enclose|to enclose||verb|Mit Schnee bedeckte Berge umgeben die kleine Stadt im Tal.|Snow-capped mountains surround the small town in the valley.
2398|2314|adj|lebendig|||living, lively|living||adjective|Wir haben eine lebendige Diskussion im Seminar.|We have a lively discussion in the seminar.
2398.001|2314|adj|lebendig||Die Stadt ist nachts besonders lebendig.|living, lively|lively|The city is especially lively at night.|adjective|Wir haben eine lebendige Diskussion im Seminar.|We have a lively discussion in the seminar.
2399|2315|verb|waschen|waschen, wäscht, wusch, hat gewaschen|Er wäscht das Auto jeden Samstag.|to wash|to wash|He washes the car every Saturday.|verb|Katja wäscht ihre Hände, bevor sie etwas isst.|Katja washes her hands before she eats anything.
2400|2316|das|das Hormon|die Hormone|Hormone beeinflussen das Verhalten.|hormone|hormone|Hormones influence behavior.|noun|Testosteron wird oft als das männliche Hormon bezeichnet.|Testosterone is often referred to as the male hormone.
2401|2317|das|das Lebensmittel|die Lebensmittel|Lebensmittel sind teuer geworden.|food|food|Food has become expensive.|noun|Viele abgelaufene Lebensmittel sind im Grunde noch gut.|Many expired foods are basically still good.
2402|2318|die|die Zeile|die Zeilen|Schreib eine Zeile in das Buch.|line|line|Write a line in the book.|noun|Übersetzer werden pro Zeile bezahlt.|Translators are paid per line.
2403|2319|verb|belasten|belasten, belastet, belastete, hat belastet||to load, burden|to load||verb|Hohe Steuern belasten die Unternehmer.|High taxes burden entrepreneurs.
2403.001|2319|verb|belasten|belasten, belastet, belastete, hat belastet|Die Sorgen belasten ihn schwer.|to load, burden|to burden|The worries burden him greatly.|verb|Hohe Steuern belasten die Unternehmer.|High taxes burden entrepreneurs.
2404|2320|adj|braun||Die Blätter sind braun geworden.|brown|brown|The leaves have turned brown.|adjective|Rachel hat braune Augen.|Rachel has brown eyes.
2405|2321|die|die Ehe|die Ehen|Ihre Ehe dauert schon seit 20 Jahren.|marriage|marriage|Their marriage has lasted for 20 years.|noun|In vielen Ländern sind gleichgeschlechtliche Ehen nicht erlaubt.|In many countries same-sex marriages are not allowed.
2406|2322|der|der Passagier|die Passagiere|Der Passagier hat seinen Sitz gefunden.|passenger|passenger|The passenger found his seat.|noun|In das Flugzeug passen 300 Passagiere.|The plane can carry 300 passengers.
